episode_id,event_type,event_day,segment,n_rows,log_rv_ratio__lag1,log_rv_ratio__restoring_fraction,log_rv_ratio__same_side_run_length,downside_pressure__lag1,downside_pressure__restoring_fraction,downside_pressure__same_side_run_length,drawdown_state__lag1,drawdown_state__restoring_fraction,drawdown_state__same_side_run_length,log_rv_ratio__shock_carryover_lag1,log_rv_ratio__shock_carryover_lag3,log_rv_ratio__shock_carryover_lag5
5,recovery,57,late_residence,10,0.6759400601819885,0.5555555555555556,3.3333333333333335,0.41776912276737005,0.4444444444444444,3.3333333333333335,-0.2167839842206223,0.5555555555555556,5.0,,,
6,relapse,42,pre_entry,20,0.5845587155848345,0.631578947368421,5.0,0.25314794488055914,0.631578947368421,2.857142857142857,0.3163221797010312,0.42105263157894735,10.0,1.0,0.9676437342485333,0.3294606526344256
6,relapse,42,early_residence,20,0.5831553369733922,0.5789473684210527,4.0,0.5140302459483201,0.7894736842105263,3.3333333333333335,0.7282334958351258,0.5789473684210527,5.0,1.0,1.718882497015701,1.821052231512915
6,relapse,42,late_residence,10,-0.21142442023573052,0.7777777777777778,1.4285714285714286,0.3380707385980249,0.5555555555555556,2.5,0.4123812799765864,0.8888888888888888,2.5,,,
7,relapse,22,pre_entry,20,0.5903681058881626,0.5263157894736842,4.0,0.6397212811586414,0.7894736842105263,4.0,0.7138118823514904,0.631578947368421,4.0,1.0,2.348747253360257,2.5673844234008176
7,relapse,22,early_residence,20,0.35368290510186023,0.631578947368421,2.5,0.457081973684036,0.5263157894736842,4.0,0.3667207881682609,0.7368421052631579,2.5,1.0,-2.5768196773725713,-0.2873487905036931
7,relapse,22,late_residence,10,-0.21142442023573052,0.7777777777777778,1.4285714285714286,0.3380707385980249,0.5555555555555556,2.5,0.4123812799765864,0.8888888888888888,2.5,,,
8,relapse,49,pre_entry,20,0.3893770967780478,0.6842105263157895,2.0,0.5863292880282953,0.6842105263157895,4.0,0.6260990755104732,0.7368421052631579,4.0,1.0,2.064194721875237,0.517201455358953
8,relapse,49,early_residence,20,0.655292819553596,0.631578947368421,5.0,0.6085016371958067,0.631578947368421,5.0,0.13864409046650156,0.631578947368421,5.0,,,
8,relapse,49,late_residence,10,-0.20139949069492058,0.6666666666666666,2.0,-0.15852520293861813,0.7777777777777778,2.0,0.20102738451196117,0.5555555555555556,3.3333333333333335,,,
9,relapse,4,pre_entry,20,0.5237450271269983,0.5789473684210527,5.0,0.55459436297708,0.47368421052631576,5.0,0.46831765562876043,0.631578947368421,10.0,1.0,0.9065079626501902,0.2308415362534979
10,recovery,6,pre_entry,20,0.4880765761237508,0.631578947368421,2.857142857142857,0.6558916637559551,0.6842105263157895,2.5,0.42700473366970365,0.6842105263157895,2.5,1.0,3.00064245944964,7.646881637816923
11,recovery,11,pre_entry,20,0.5152950680785092,0.6842105263157895,3.3333333333333335,0.515791142393977,0.5789473684210527,5.0,0.5178929250394211,0.5263157894736842,10.0,1.0,5.126904397979515,4.386028498496945
11,recovery,11,early_residence,10,-0.2153030589446496,0.6666666666666666,2.5,0.29619661107271533,0.7777777777777778,2.0,0.3585730705973292,0.7777777777777778,2.5,,,
11,recovery,11,late_residence,10,-0.2153030589446496,0.6666666666666666,2.5,0.29619661107271533,0.7777777777777778,2.0,0.3585730705973292,0.7777777777777778,2.5,,,
12,relapse,7,pre_entry,20,0.21618512383006824,0.7894736842105263,2.2222222222222223,0.31023969981402905,0.5263157894736842,2.857142857142857,0.36049466480220305,0.5789473684210527,3.3333333333333335,1.0,-0.35329014400073755,0.15039658272497156
13,relapse,47,pre_entry,20,0.5386719333595565,0.631578947368421,5.0,0.6948028127694649,0.6842105263157895,4.0,0.7158772049188856,0.5263157894736842,6.666666666666667,1.0,1.3310030454480823,1.1133749321091784
13,relapse,47,early_residence,20,0.24399339302642198,0.631578947368421,3.3333333333333335,0.7368384176755168,0.5263157894736842,5.0,0.4860720637209784,0.5263157894736842,6.666666666666667,,,
13,relapse,47,late_residence,10,-0.02228616587776273,0.6666666666666666,5.0,0.002940409148332407,0.5555555555555556,1.6666666666666667,-0.1033779955285543,0.6666666666666666,1.6666666666666667,,,
14,relapse,9,pre_entry,20,0.4452626997721015,0.7368421052631579,2.2222222222222223,0.5125052803117007,0.47368421052631576,10.0,0.729615616187429,0.5789473684210527,5.0,1.0,3.605593554332765,3.5058815339193394
