model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,stage,reference_rmse,reference_qlike,reference_mz_alpha,reference_mz_beta,reference_mz_r2,reference_model,delta_rmse,delta_qlike,delta_mz_r2
persistence,L5,path,174,1740,0.7427706628374907,3.372102518276352,-3.0526824381920368,0.3028878079015531,0.06166420386670013,development_all,0.5888664219029806,1.7085108428503106,-0.5279890605077865,0.8368496076644671,0.16438142504557252,sequence_ridge,0.15390424093451016,1.6635916754260414,-0.10271722117887239
har,L5,path,174,1740,0.5963396435275534,1.7879717011118628,-0.48999953333727775,0.8410377005176992,0.1713748354875072,development_all,0.5888664219029806,1.7085108428503106,-0.5279890605077865,0.8368496076644671,0.16438142504557252,sequence_ridge,0.007473221624572868,0.07946085826155214,0.006993410441934689
garch_1_1_t,L5,path,174,1740,0.5698162505750629,0.8490928358615629,-1.915607753145974,0.5924472485694149,0.1374115941752413,development_all,0.5888664219029806,1.7085108428503106,-0.5279890605077865,0.8368496076644671,0.16438142504557252,sequence_ridge,-0.019050171327917642,-0.8594180069887477,-0.026969830870331224
esn_direct_tuned,L5,path,174,1740,0.5869990635730783,1.6797656897290925,-0.058063643817238636,0.934072201457942,0.1729339622273064,development_all,0.5888664219029806,1.7085108428503106,-0.5279890605077865,0.8368496076644671,0.16438142504557252,sequence_ridge,-0.0018673583299022578,-0.02874515312121817,0.008552537181733877
esn_shuffled_tuned,L5,path,174,1740,0.5857227694835037,1.6677465565376015,-0.01888758296002773,0.94441335886002,0.16057871639397503,development_all,0.5888664219029806,1.7085108428503106,-0.5279890605077865,0.8368496076644671,0.16438142504557252,sequence_ridge,-0.0031436524194768944,-0.04076428631270912,-0.003802708651597486
persistence,L10,path,171,1710,0.5893151469978822,1.1927518028256225,-3.404244867188495,0.29264128512550486,0.07727700135542881,development_all,0.43607638787262226,0.47107210250503667,-0.7375616011001425,0.8561426393400231,0.2629612310643421,sequence_ridge,0.15323875912525997,0.7216797003205859,-0.1856842297089133
har,L10,path,171,1710,0.4410796982670777,0.4930567286658356,-0.9925277317678776,0.8016817114535543,0.25109620377912156,development_all,0.43607638787262226,0.47107210250503667,-0.7375616011001425,0.8561426393400231,0.2629612310643421,sequence_ridge,0.005003310394455451,0.021984626160798937,-0.011865027285220542
garch_1_1_t,L10,path,171,1710,0.6364506323364253,0.531404481262994,-2.1139895758901894,0.6172403842151263,0.21867103592619563,development_all,0.43607638787262226,0.47107210250503667,-0.7375616011001425,0.8561426393400231,0.2629612310643421,sequence_ridge,0.20037424446380303,0.06033237875795733,-0.04429019513814647
esn_direct_tuned,L10,path,171,1710,0.4351172392980397,0.46512817289652447,-0.36204621518436253,0.9350545578959149,0.26067382452834875,development_all,0.43607638787262226,0.47107210250503667,-0.7375616011001425,0.8561426393400231,0.2629612310643421,sequence_ridge,-0.000959148574582569,-0.0059439296085121995,-0.0022874065359933526
esn_shuffled_tuned,L10,path,171,1710,0.43665590742955757,0.46594096958745956,-0.21165632476313287,0.967276008657559,0.2558976203694362,development_all,0.43607638787262226,0.47107210250503667,-0.7375616011001425,0.8561426393400231,0.2629612310643421,sequence_ridge,0.000579519556935304,-0.005131132917577108,-0.0070636106949059085
persistence,Controls,path,1542,15420,0.5508110704713236,0.900886607553445,-2.1005952459252457,0.5709368536840764,0.20657872884616235,development_all,0.4666469402722756,0.5502726966700732,0.9128097292706648,1.2092780225566662,0.3803596755774934,sequence_ridge,0.084164130199048,0.3506139108833718,-0.17378094673133104
har,Controls,path,1542,15420,0.465510297803405,0.545121937631797,0.7624066125856812,1.1763736065861152,0.3776521869693398,development_all,0.4666469402722756,0.5502726966700732,0.9128097292706648,1.2092780225566662,0.3803596755774934,sequence_ridge,-0.0011366424688705745,-0.00515075903827622,-0.0027074886081536187
garch_1_1_t,Controls,path,1542,15420,0.6610977335696068,0.5923317040936527,-0.969100509633527,0.8838341645244703,0.31892547858444453,development_all,0.4666469402722756,0.5502726966700732,0.9128097292706648,1.2092780225566662,0.3803596755774934,sequence_ridge,0.19445079329733117,0.042059007423579486,-0.06143419699304886
esn_direct_tuned,Controls,path,1542,15420,0.4703115483587666,0.5638051850037326,1.378409817325445,1.3061789358234874,0.37851550757072516,development_all,0.4666469402722756,0.5502726966700732,0.9128097292706648,1.2092780225566662,0.3803596755774934,sequence_ridge,0.0036646080864909947,0.013532488333659387,-0.001844168006768232
esn_shuffled_tuned,Controls,path,1542,15420,0.47769757860904605,0.5907064951439518,1.5698682365317482,1.3473097301448416,0.36285143111980933,development_all,0.4666469402722756,0.5502726966700732,0.9128097292706648,1.2092780225566662,0.3803596755774934,sequence_ridge,0.011050638336770446,0.040433798473878624,-0.017508244457684063
persistence,Pooled,path,2062,20620,0.5995414779931003,1.3964396841964721,-2.3314913271735085,0.5053590263443972,0.14915547457426603,development_all,0.5038734621526879,0.8457388441349567,0.5114372632012274,1.1075790052248573,0.29116722887402247,sequence_ridge,0.0956680158404124,0.5507008400615154,-0.14201175429975643
har,Pooled,path,2062,20620,0.5052187238660618,0.857582973221692,0.3430300139044783,1.0705417665546755,0.28590512546430613,development_all,0.5038734621526879,0.8457388441349567,0.5114372632012274,1.1075790052248573,0.29116722887402247,sequence_ridge,0.001345261713373902,0.011844129086735267,-0.005262103409716334
garch_1_1_t,Pooled,path,2062,20620,0.6428793532617384,0.661346054594202,-1.2393002610524495,0.8034313931991548,0.24364079403916072,development_all,0.5038734621526879,0.8457388441349567,0.5114372632012274,1.1075790052248573,0.29116722887402247,sequence_ridge,0.13900589110905048,-0.18439278954075466,-0.04752643483486174
esn_direct_tuned,Pooled,path,2062,20620,0.5059143902121925,0.8487790627403747,0.9503993256904801,1.1988648225895275,0.2906177356251026,development_all,0.5038734621526879,0.8457388441349567,0.5114372632012274,1.1075790052248573,0.29116722887402247,sequence_ridge,0.002040928059504621,0.0030402186054180325,-0.0005494932489198412
esn_shuffled_tuned,Pooled,path,2062,20620,0.5105347695329466,0.8676663569420113,1.122951757933103,1.236309065943335,0.2797888370570064,development_all,0.5038734621526879,0.8457388441349567,0.5114372632012274,1.1075790052248573,0.29116722887402247,sequence_ridge,0.006661307380258719,0.021927512807054628,-0.011378391817016054
persistence,Transition,path,307,3070,0.7026062519030386,2.5812803536687055,-3.0070018370271145,0.30789372224934414,0.06289356164989046,selection,0.5643697287326642,1.4094139129726038,-0.8973976482488576,0.7627111414341536,0.14119110700389415,sequence_ridge,0.13823652317037438,1.1718664406961017,-0.07829754535400368
har,Transition,path,307,3070,0.5725149860591987,1.4719213490063452,-0.979291984588953,0.7424617609512056,0.14145572924208438,selection,0.5643697287326642,1.4094139129726038,-0.8973976482488576,0.7627111414341536,0.14119110700389415,sequence_ridge,0.008145257326534483,0.06250743603374143,0.00026462223819023745
garch_1_1_t,Transition,path,307,3070,0.5682739460314229,0.7639798567093757,-2.211661988721843,0.5236527947217052,0.11787090785748278,selection,0.5643697287326642,1.4094139129726038,-0.8973976482488576,0.7627111414341536,0.14119110700389415,sequence_ridge,0.003904217298758672,-0.645434056263228,-0.02332019914641137
esn_direct_tuned,Transition,path,307,3070,0.5629570133072659,1.391269111922199,-0.43558505382847235,0.8595842283816684,0.14603492627327785,selection,0.5643697287326642,1.4094139129726038,-0.8973976482488576,0.7627111414341536,0.14119110700389415,sequence_ridge,-0.0014127154253983365,-0.018144801050404835,0.004843819269383709
