model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,fold
garch_1_1_t,L1,path,29,290,0.5173199485471803,1.016982981358621,-1.329421929773413,0.657279112160003,0.19070940117158952,5
garch_1_1_t,L5,path,28,280,0.5674105347294327,0.9051808516217672,-1.4617827577326692,0.6913027716031793,0.16271343216776402,5
garch_1_1_t,L10,path,28,280,0.5871939974702519,0.4606959155628704,-1.4200423954446701,0.7668301790254867,0.26720656842495194,5
garch_1_1_t,Controls,path,253,2530,0.6411234527095696,0.6431508634224958,-1.1532995029267061,0.8424719826001749,0.26014423943987974,5
garch_1_1_t,Pooled,path,338,3380,0.6211817291922783,0.6818172319126073,-1.1220947187947135,0.828774391391165,0.2249154200821034,5
har,Transition,path,85,850,0.594346128793838,1.672963757645021,0.5600477995561158,1.0565988048863837,0.22235623910266533,5
har,L1,path,29,290,0.7179014559866257,2.756308109886852,0.5422780081341789,0.9942122452405162,0.25635707674219266,5
har,L5,path,28,280,0.5920995579000017,1.785498648849995,1.3008432489195494,1.2095527253617844,0.26671102988703455,5
har,L10,path,28,280,0.4335747148203959,0.43839364447529405,0.20832826725809753,1.0450125494851346,0.30694120037448236,5
har,Controls,path,253,2530,0.4634080846159298,0.6015435430193762,0.7597467388427137,1.179514892192648,0.31925976955643576,5
har,Pooled,path,338,3380,0.4995768228428458,0.8709835378216834,0.7667335069015455,1.1604189753032481,0.26960267067272037,5
persistence,Transition,path,85,850,0.7143200968069039,2.959816601132804,-2.7829474842986284,0.366024745920947,0.08984760145090487,5
persistence,L1,path,29,290,0.7724244113009442,3.36258522586555,-1.8458573361351176,0.5021514060662147,0.21127467588887083,5
persistence,L5,path,28,280,0.7461002907612374,4.480317925605418,-2.615948154444873,0.3929936129094067,0.08131215851081275,5
persistence,L10,path,28,280,0.6118572244516312,1.0221620581869886,-3.298765431007453,0.32445338998895085,0.11228951701110035,5
persistence,Controls,path,253,2530,0.5403288400917605,0.9779273718087649,-2.4380895659106447,0.5193972666554258,0.20052243538532188,5
persistence,Pooled,path,338,3380,0.5889419901028234,1.47633146794055,-2.5147216738148046,0.48296320185556696,0.15277459525146952,5
sequence_ridge,Transition,path,85,850,0.5979364714299449,1.6989376481786551,0.7278385843257014,1.0927833683403125,0.19922905069155572,5
sequence_ridge,L1,path,29,290,0.7197955080212088,2.763380710769658,0.42112579429077207,0.9712892829213247,0.20227838665341957,5
sequence_ridge,L5,path,28,280,0.5993141883468812,1.869405901498357,1.2453247749110234,1.1989729946281429,0.23604023560861476,5
sequence_ridge,L10,path,28,280,0.4353918802581131,0.42601050860398626,0.8332541761704677,1.1758286223865932,0.30829943379172353,5
sequence_ridge,Controls,path,253,2530,0.46675837261258607,0.6097910838110439,1.0620825162314003,1.2397934198007865,0.3072963581509851,5
sequence_ridge,Pooled,path,338,3380,0.5029772800779446,0.8836888884597035,1.1315486124476954,1.2345082470924977,0.26366032275671536,5
esn_direct_tuned,Transition,path,150,1500,0.5372236123602522,1.152198269961519,-1.2873781926456482,0.6830369214447151,0.09750897218446919,6
esn_direct_tuned,L1,path,51,510,0.6386257126668045,1.9425195152455221,0.23339291277444915,0.9532224124179436,0.16827739974061628,6
esn_direct_tuned,L5,path,51,510,0.507124613801014,1.0685276173498757,-0.5831361627962732,0.8350645947386391,0.149974222870075,6
esn_direct_tuned,L10,path,48,480,0.44195245164466823,0.4013820152471364,-1.679170745477716,0.6575392702162193,0.1467669947623419,6
esn_direct_tuned,Controls,path,434,4340,0.4534383555457738,0.6454766744483078,0.8924563216482475,1.193850475702547,0.2774724462841478,6
esn_direct_tuned,Pooled,path,584,5840,0.4763670558716083,0.7756277691862901,0.19150385550594717,1.0311034176176588,0.20946948497587303,6
esn_shuffled_tuned,Transition,path,150,1500,0.5276297355706683,1.1013038358373173,-1.0660982279473374,0.7332544798358694,0.10814010730999757,6
esn_shuffled_tuned,L1,path,51,510,0.6223350426051415,1.844696724330073,-0.17109386534303553,0.8722560661695675,0.14558350496058836,6
esn_shuffled_tuned,L5,path,51,510,0.5053942675621761,1.037994305937074,-0.6824060967042518,0.8166919887061416,0.13484713395712977,6
esn_shuffled_tuned,L10,path,48,480,0.4325321004673229,0.3787152673327733,-1.3792588417024074,0.7225476978537645,0.1699848467968954,6
esn_shuffled_tuned,Controls,path,434,4340,0.45807531557935544,0.6814564221442765,0.9784136838249171,1.212985293409467,0.26325230335869265,6
esn_shuffled_tuned,Pooled,path,584,5840,0.4769094469008505,0.7892939427846123,0.3327159297927116,1.0629786701377684,0.20651548644971407,6
garch_1_1_t,Transition,path,150,1500,0.5773584995773411,0.6487559014312484,-2.5177413489878133,0.4568009007657501,0.08313681409415252,6
garch_1_1_t,L1,path,51,510,0.47391730468344767,0.7296180436446408,-1.5392661879156007,0.6267284878613579,0.147254058087805,6
garch_1_1_t,L5,path,51,510,0.5576827128346504,0.6409441705304345,-2.398486916579478,0.48579793359391804,0.0993675332069549,6
