model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,stage
garch_1_1_t,L1,7,71,71,0.6100514882010223,1.6254933045509177,-1.8682805395030146,0.5411607919315109,0.08474255053606394,confirmation
garch_1_1_t,L1,8,71,71,0.5881458304532454,1.8762590169159812,-1.9814741232391222,0.5037473394616738,0.08817127081716458,confirmation
garch_1_1_t,L1,9,71,71,0.6466924157848051,1.6811914224813558,-2.5054036955183925,0.38694310915053853,0.043791489488480995,confirmation
garch_1_1_t,L1,10,71,71,0.6047940404851675,1.660707557858159,-1.8992412909536422,0.5108220952358691,0.09072535607838361,confirmation
garch_1_1_t,L5,1,71,71,0.6570869550936578,0.5323074824775781,-3.061882434126243,0.4215005328463716,0.09932036070906713,confirmation
garch_1_1_t,L5,2,71,71,0.5751222794817119,0.42535235826598566,-1.8752758852721143,0.681921755314409,0.30219763502557795,confirmation
garch_1_1_t,L5,3,71,71,0.6344472849112197,0.4783525556193403,-1.6210692768628354,0.750216042940319,0.3027367847339203,confirmation
garch_1_1_t,L5,4,71,71,0.5928082901177987,0.4325982076190925,-2.7513440808181913,0.4941991671251737,0.21135202816823273,confirmation
garch_1_1_t,L5,5,71,71,0.4878999492592745,1.000994828890307,-1.3186664782289526,0.6419153273818982,0.2645875258984548,confirmation
garch_1_1_t,L5,6,71,71,0.5694727718278751,1.046353875235134,-1.9080531473459375,0.5626193762911026,0.10839086885743354,confirmation
garch_1_1_t,L5,7,71,71,0.5609078006243432,1.4524237751924398,-1.2357140418557293,0.7072479779825002,0.15933065831740878,confirmation
garch_1_1_t,L5,8,71,71,0.6372358816030371,1.6554115139644903,-0.10946402545086635,0.9304828452978293,0.20926034036525354,confirmation
garch_1_1_t,L5,9,71,71,0.6080172133122389,1.2639700791581818,-2.233728573083199,0.46172352294831437,0.07215229331211859,confirmation
garch_1_1_t,L5,10,71,71,0.607205426320369,1.5464123402455172,-1.2326835318509988,0.6793467790292415,0.13781274463077953,confirmation
garch_1_1_t,L10,1,71,71,0.6410698529832568,0.5058207671713385,-2.7082305413929695,0.5162512377800605,0.24221551752687354,confirmation
garch_1_1_t,L10,2,71,71,0.7428864362808264,0.6670269734511947,-1.3383126264678453,0.8339728555262378,0.3006020703534943,confirmation
garch_1_1_t,L10,3,71,71,0.6051066654147197,0.4720223914981277,-1.6558889737320113,0.7303723580021877,0.28600348331707304,confirmation
garch_1_1_t,L10,4,71,71,0.6997566372236643,0.5855127783782456,-2.4647566227365423,0.5766316187715254,0.2045728664207871,confirmation
garch_1_1_t,L10,5,71,71,0.6045573511556407,0.453729487230532,-0.7928917765096143,0.9193778960713369,0.3578971330049914,confirmation
garch_1_1_t,L10,6,71,71,0.6831887093823988,0.5469007740943199,-3.003334390295729,0.4386288481567293,0.10137483267316494,confirmation
garch_1_1_t,L10,7,71,71,0.6197148356763341,0.4740661261354327,-2.1435196431901553,0.6286441164942417,0.24298619576647884,confirmation
