episode_id,start_idx,branch_idx,end_idx,start_date,branch_date,end_date,candidate_days,calendar_rows,rv_20d,branch_stress_cut,drawdown_120d,rv_ratio_5_20_branch,rv_5d_change_5d_branch,return_5d_branch,worst_return_5d_in_prior_window
23,4195,4195,4215,2002-07-29,2002-07-29,2002-08-27,18,21,0.5294618108071923,0.15967728277618354,-0.20943478923339987,0.9457528037451033,-0.16640340432011125,0.07590513509926566,-0.14141828402321366
24,4225,4225,4250,2002-09-10,2002-09-10,2002-10-15,6,26,0.32743278606368686,0.16026927611427544,-0.21454758872625823,0.8380760300136462,-0.022033742104773046,0.035807569200542844,-0.09940984060554214
25,4255,4255,4279,2002-10-22,2002-10-22,2002-11-25,13,25,0.3859335258419623,0.1608491532165608,-0.21681044891626144,0.7047827188234076,-0.12959444781773943,-0.0027760251837722905,-0.044748964435713745
26,4300,4300,4308,2002-12-24,2002-12-24,2003-01-08,7,9,0.21474835816119126,0.1617007914882979,-0.13225796510629673,0.94375574152846,-0.11084914476065147,0.008506179955398707,-0.0544977947200973
27,4332,4332,4341,2003-02-11,2003-02-11,2003-02-24,9,10,0.2944199649672073,0.16257296593881118,-0.17540654243413067,1.0964847456272973,-0.06996259705836427,0.021799108215548202,-0.08208544604086754
28,4358,4358,4383,2003-03-19,2003-03-19,2003-04-25,18,26,0.37620203884597647,0.16331026453355912,-0.10132935560859191,0.941973888457499,0.02445130565647774,0.13587460079852676,-0.08076696905686909
29,5165,5165,5178,2006-05-31,2006-05-31,2006-06-19,7,14,0.24477531645272813,0.1578450807981994,-0.06667982011303253,1.3175883703131632,-0.02260256829993046,0.007910573309342084,-0.06940520313309406
30,5466,5466,5491,2007-08-07,2007-08-07,2007-09-12,11,26,0.21513490091110055,0.15675157115077476,-0.06291367120194868,1.105603956020505,-0.08088901349426861,-0.008093848328835307,-0.06522088062170717
31,5538,5538,5550,2007-11-16,2007-11-16,2007-12-04,3,13,0.16479366810174084,0.15790461653456797,-0.06553680708216969,0.9701191623570786,0.04402033008157526,-0.0021752842400264427,-0.05135460713099249
32,5587,5587,5610,2008-01-29,2008-01-29,2008-02-29,20,24,0.34042838694922856,0.15891926217139182,-0.12561379111564752,1.2819437364815043,-0.050446271850563995,0.024969147618030263,-0.10820521874964228
33,5627,5627,5638,2008-03-27,2008-03-27,2008-04-11,12,12,0.2873229060530743,0.15971698445384278,-0.15053983903629775,1.0517972831534526,-0.15126536752007236,0.019729975422118073,-0.053935810260799855
