run_name,virtual_nodes,ridge_alpha,split,n,rmse,qlike,corr,actual_std,pred_std,pred_mean,effective_rank,q80_f1,q80_precision,q80_recall,q80_pred_rate,q80_actual_rate,q90_f1,q90_precision,q90_recall,q90_pred_rate,q90_actual_rate,q95_f1,q95_precision,q95_recall,q95_pred_rate,q95_actual_rate,top20_pred_actual_ratio
rf_qrc_ring_tm_vn2_alpha1000,2,1000.0,val,1219,0.0737286777339326,-1.8008999414502447,0.3139552784394258,0.06081226069827106,0.043137346654117996,0.08324768471532107,13.251318230454743,0.07741935483870968,0.2222222222222222,0.046875,0.022149302707136997,0.10500410172272355,0.0,0.0,0.0,0.011484823625922888,0.026251025430680888,0.0,0.0,0.0,0.006562756357670222,0.0,
rf_qrc_ring_tm_vn2_alpha1000,2,1000.0,test,1136,0.12764950548684842,0.8455757878136335,0.5602552531915821,0.12273565132235827,0.07427826137567806,0.10137777766677818,13.163286207104875,0.41739130434782606,0.9,0.27169811320754716,0.07042253521126761,0.23327464788732394,0.32786885245901637,0.5660377358490566,0.23076923076923078,0.04665492957746479,0.11443661971830986,0.3488372093023256,0.42857142857142855,0.29411764705882354,0.030809859154929578,0.0448943661971831,0.5112116591833512
rf_qrc_ring_tm_vn2_alpha3000,2,3000.0,train,5420,0.07676441553281561,-2.557327395054723,0.6594682705632781,0.09931935412572275,0.05332833769847608,0.15047611959218876,13.180362906171231,0.43290627107215107,0.8045112781954887,0.29612546125461253,0.07361623616236163,0.2,0.4892268694550063,0.7813765182186235,0.35608856088560886,0.045571955719557196,0.1,0.38256658595641646,0.5563380281690141,0.2915129151291513,0.026199261992619925,0.05,
rf_qrc_ring_tm_vn2_alpha3000,2,3000.0,val,1219,0.07177469339336452,-1.9850291980691888,0.3117583793747389,0.06081226069827106,0.04104617996319638,0.08588664763877067,13.251318230454743,0.08917197452229299,0.2413793103448276,0.0546875,0.02378999179655455,0.10500410172272355,0.0,0.0,0.0,0.01066447908121411,0.026251025430680888,0.0,0.0,0.0,0.003281378178835111,0.0,
rf_qrc_ring_tm_vn2_alpha3000,2,3000.0,test,1136,0.12713918199103025,0.5286513073611331,0.5572777239357041,0.12273565132235827,0.07053930895574584,0.10238652689527583,13.163286207104875,0.3941176470588235,0.8933333333333333,0.2528301886792453,0.06602112676056338,0.23327464788732394,0.34594594594594597,0.5818181818181818,0.24615384615384617,0.04841549295774648,0.11443661971830986,0.35,0.4827586206896552,0.27450980392156865,0.025528169014084508,0.0448943661971831,0.4988031424396228
rf_qrc_ring_tm_vn2_alpha10000,2,10000.0,train,5420,0.08134005770540867,-2.515625668554665,0.6441914331041286,0.09931935412572275,0.03947424561883683,0.14787983942498786,13.180362906171231,0.39859154929577467,0.8422619047619048,0.261070110701107,0.06199261992619926,0.2,0.2831050228310502,0.808695652173913,0.17158671586715868,0.021217712177121772,0.1,0.06315789473684211,0.6428571428571429,0.033210332103321034,0.0025830258302583027,0.05,
rf_qrc_ring_tm_vn2_alpha10000,2,10000.0,val,1219,0.06632735657958501,-2.435993903583147,0.31708283843421625,0.06081226069827106,0.03555902792439086,0.09386121591636491,13.251318230454743,0.07792207792207792,0.23076923076923078,0.046875,0.02132895816242822,0.10500410172272355,0.0,0.0,0.0,0.005742411812961444,0.026251025430680888,0.0,0.0,0.0,0.0008203445447087777,0.0,
rf_qrc_ring_tm_vn2_alpha10000,2,10000.0,test,1136,0.12531570165784342,-0.3930019788547428,0.5547638596520089,0.12273565132235827,0.05681498531611034,0.10661671068247247,13.163286207104875,0.3772455089820359,0.9130434782608695,0.23773584905660378,0.06073943661971831,0.23327464788732394,0.29545454545454547,0.5652173913043478,0.2,0.040492957746478875,0.11443661971830986,0.2318840579710145,0.4444444444444444,0.1568627450980392,0.01584507042253521,0.0448943661971831,0.4689347142244714
rf_qrc_ring_tm_vn3_alpha1000,3,1000.0,train,5420,0.0738321518862718,-2.5848222326937633,0.6793856106054788,0.09931935412572275,0.06333914447639635,0.1524469311768415,15.3075556696905,0.46335078534031415,0.7972972972972973,0.32656826568265684,0.08191881918819188,0.2,0.5067319461444308,0.7527272727272727,0.38191881918819187,0.0507380073800738,0.1,0.48625792811839325,0.5693069306930693,0.42435424354243545,0.03726937269372694,0.05,
rf_qrc_ring_tm_vn3_alpha1000,3,1000.0,val,1219,0.07362191068413138,-1.812238322264393,0.3181709445192313,0.06081226069827106,0.04329629854670931,0.08326308486847697,15.054902302957569,0.10191082802547771,0.27586206896551724,0.0625,0.02378999179655455,0.10500410172272355,0.0,0.0,0.0,0.013125512715340444,0.026251025430680888,0.0,0.0,0.0,0.006562756357670222,0.0,
