candidate,from_state,to_state,raw_transition_days,episode_count,episodes_1993_2004,episodes_2005_2014,episodes_2015_2019,episodes_2020_2024,fwd_return_5d_mean,fwd_return_5d_median,fwd_return_10d_mean,fwd_return_10d_median,fwd_return_20d_mean,fwd_return_20d_median,fwd_max_drawdown_20d_mean,fwd_max_drawdown_20d_median,fwd_max_upside_20d_mean,fwd_max_upside_20d_median,future_rv_20d_mean,future_rv_20d_median
state__risk4_k4,2,1,1,1,1,0,0,0,0.07813647779501776,0.07813647779501776,0.05949905750415363,0.05949905750415363,0.0896058004253597,0.0896058004253597,0.031541095200323666,0.031541095200323666,0.10967757299534164,0.10967757299534164,0.2893379917834004,0.2893379917834004
state__risk4_k4,2,3,98,77,34,23,8,12,0.00489301119718503,0.007245304448366907,0.006414020270994219,0.007944289583477593,0.010197386407174432,0.02254571157130636,-0.03398283664449119,-0.023348215217073753,0.03884803095899845,0.03554799463030989,0.19762535761309188,0.1815590663038494
state__risk4_k4,3,0,96,81,33,25,11,12,0.002215564574894164,0.003763578900314535,0.0014383621390255555,0.007274545276493516,0.0077431997173066655,0.014299379081172736,-0.03125032163132434,-0.026085102794280113,0.034755239423420146,0.03354713385556418,0.17845965806054304,0.1813250967928403
state__risk4_k4,3,1,36,27,11,10,1,5,0.02076673469574428,0.02579761455642937,0.014226427923000539,0.004186505606100344,0.01273959942218036,0.0438985901606066,-0.05880121134237638,-0.026576796298759864,0.07387119949482307,0.06418414556634588,0.370063929930467,0.3001911698455724
state__risk4_k4,3,2,109,88,43,22,8,15,0.003003655733392573,0.0038900728193839162,0.005028931995289677,0.008268903396192129,0.00637799096721762,0.01329314236941026,-0.0325794081910605,-0.021640323916334803,0.03319744552962101,0.03144372456581568,0.18678627604900058,0.1695809500978406
state__state8_k4,0,1,802,506,199,153,88,66,0.0019313567336676032,0.004550209490024826,0.002763927350016235,0.005497338246217343,0.006551183857758064,0.010483416865608497,-0.020245781429738104,-0.012243593056475266,0.023911055424919055,0.021462749494129962,0.1225371078452448,0.10952075699510885
state__state8_k4,0,3,314,209,89,67,22,31,0.00345971469514497,0.0047453426081394134,0.005574424373935245,0.006219719366603149,0.010731978432906646,0.01733654907961557,-0.028134003042410385,-0.02239584880776313,0.03362028611297767,0.03084543592746969,0.16917727823020506,0.1586166857343607
state__state8_k4,1,0,733,456,192,133,79,52,0.0006926760522678085,0.0026456015652099873,0.0030020553242244225,0.005586779479176851,0.007494547269816606,0.01184444994318512,-0.020010700919785494,-0.012535541652592186,0.023106498027614542,0.02072434211684726,0.12026162069892359,0.1090172649727814
state__state8_k4,1,2,1,1,0,0,0,1,0.037157796188020065,0.037157796188020065,0.026920916429669095,0.026920916429669095,0.061135115083641,0.061135115083641,0.0025302503047111014,0.0025302503047111014,0.061135115083641,0.061135115083641,0.1961272327499756,0.1961272327499756
state__state8_k4,1,3,173,157,70,43,17,27,0.0025784845682797937,0.0023272573325849866,0.0030248898552952706,0.008294577811231552,0.005279568088711604,0.012423335054207563,-0.030820022676175278,-0.02139596176156311,0.03294381374191292,0.030296896328544376,0.1797281621502279,0.168052967978693
state__state8_k4,2,0,1,1,0,1,0,0,-0.019024553945970135,-0.019024553945970135,-0.07274456065775492,-0.07274456065775492,-0.08212763577381277,-0.08212763577381277,-0.09185524917500976,-0.09185524917500976,0.011105766541752882,0.011105766541752882,0.2876214360788652,0.2876214360788652
state__state8_k4,2,3,56,43,18,16,3,6,0.004376621822373502,0.005996309963099522,0.002436882673311015,0.0035104363234021996,-0.004132421116877536,0.004666768617196171,-0.05512526376432507,-0.04127608681806272,0.048538794368177415,0.039007455562857674,0.30088081089863405,0.2871332652643102
state__state8_k4,3,0,382,248,103,83,27,35,0.0023806068856765893,0.0038415231467993083,0.005353192124209688,0.007676170522299075,0.009022806670141879,0.015092093499287307,-0.02700713469498287,-0.019694721423120454,0.03198315586757016,0.029476020782535084,0.16148210983916322,0.1535626211806749
state__state8_k4,3,1,105,91,47,22,7,15,-0.00044240724989087597,0.00010237679780433773,-0.001211558169220027,0.008185955314805593,0.005332354739217281,0.008050248818557204,-0.032380958243036474,-0.027277605779153724,0.03206209601527237,0.029114224705850456,0.1767741948254263,0.1773162713921609
