candidate,period,outcome,state,n,mean,median,std
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_10d,3,128,-0.0013714927927319731,0.007333548772206044,0.03535168771126189
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_10d,4,126,0.004925002589291511,0.01237666794404313,0.03174363328011847
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_10d,5,121,0.01689964263584513,0.01857378725172354,0.022758711445800106
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_10d,6,171,0.011588979854928494,0.011058216727637182,0.04078744091961518
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_10d,7,139,0.010854592155837851,0.015376996824853162,0.0449872525047537
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_10d,8,122,-0.010211528903342676,-0.0032552623144258552,0.06847988119147179
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_20d,0,82,0.012953943843860144,0.01868153167766684,0.02652684757718332
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_20d,1,77,0.003335600196043072,0.0062829963335768735,0.025539905204047007
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_20d,2,82,0.010378025445520871,0.01900296142125535,0.030342921762672986
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_20d,3,125,0.0001909458489939615,0.02062610464280845,0.07583357289868439
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_20d,4,124,0.011161357423467652,0.01949539722737792,0.04438693275760621
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_20d,5,116,0.016632227716866003,0.024610180097612733,0.047912308069990514
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_20d,6,171,0.021366850344988916,0.03173884862412346,0.05823634682807067
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_20d,7,139,0.015418328283056048,0.028746115381122817,0.057348462437663415
state__vol_level_x_acceleration_grid,2020_2024,fwd_return_20d,8,122,0.004711825034312078,0.01733293323413132,0.0832840769082397
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_drawdown_20d,0,82,-0.01777758589556439,-0.016605748486820338,0.0165976362263336
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_drawdown_20d,1,77,-0.02295811994890687,-0.02456561447736294,0.016076426259728584
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_drawdown_20d,2,82,-0.019717498857900164,-0.015491575674164038,0.023896750171207844
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_drawdown_20d,3,125,-0.03499746515754429,-0.011803688373701715,0.06772372163097014
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_drawdown_20d,4,124,-0.024989780850680085,-0.01731351892174887,0.031755662894434024
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_drawdown_20d,5,116,-0.02231125344716052,-0.01343005538044545,0.03349364952437552
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_drawdown_20d,6,171,-0.02942435510520497,-0.021712618402282113,0.03567546221574192
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_drawdown_20d,7,139,-0.031008811711251416,-0.020959186793813922,0.03573646493373595
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_drawdown_20d,8,122,-0.05912327180390945,-0.03305535541020116,0.0755352606192827
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_upside_20d,0,82,0.02702300347623004,0.030864611243549556,0.01799798324252515
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_upside_20d,1,77,0.02189858658448895,0.01874052208005894,0.016516082275738354
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_upside_20d,2,82,0.02560592368760802,0.02777671852444885,0.01472988888658288
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_upside_20d,3,125,0.028289317640665543,0.02518697613395382,0.022440195682014837
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_upside_20d,4,124,0.03221864503158998,0.0310524845463499,0.02515300769425467
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_upside_20d,5,116,0.03886675361944848,0.039398976577604494,0.02307698786164604
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_upside_20d,6,171,0.050357061227493276,0.0462771453304911,0.03984227454950875
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_upside_20d,7,139,0.049007021638902304,0.051572188093347515,0.03781114509996376
state__vol_level_x_acceleration_grid,2020_2024,fwd_max_upside_20d,8,122,0.04733819205249264,0.04172051314552183,0.046427935976364
state__vol_level_x_acceleration_grid,2020_2024,future_rv_20d,0,82,0.12595106591235,0.11442026137692474,0.03386582431294189
state__vol_level_x_acceleration_grid,2020_2024,future_rv_20d,1,77,0.13224380598938795,0.1283640659449643,0.03574145692453138
state__vol_level_x_acceleration_grid,2020_2024,future_rv_20d,2,82,0.13547336830984397,0.1190765498256937,0.04506181675705228
state__vol_level_x_acceleration_grid,2020_2024,future_rv_20d,3,131,0.16519594793380185,0.1215580208288314,0.15961164328835598
state__vol_level_x_acceleration_grid,2020_2024,future_rv_20d,4,133,0.13816108662590995,0.1220962946232297,0.0567363693319961
state__vol_level_x_acceleration_grid,2020_2024,future_rv_20d,5,121,0.15407483847618203,0.1395156483861502,0.06881888223515874
state__vol_level_x_acceleration_grid,2020_2024,future_rv_20d,6,171,0.21131636994793782,0.2034547621243354,0.07673605012330555
state__vol_level_x_acceleration_grid,2020_2024,future_rv_20d,7,139,0.2223728031809652,0.2086595665014665,0.06889609770793712
