event_id,event_date,origin_regime,destination_regime,relative_week,score,value,above_threshold
4,2006-11-03,0,1,-2,long_regime_uncertainty,0.20684351451806982,0
4,2006-11-03,0,1,-2,one_week_probability_motion,0.06405065717165002,0
4,2006-11-03,0,1,-1,long_regime_uncertainty,0.11268144501351995,0
4,2006-11-03,0,1,-1,one_week_probability_motion,0.04708103475227499,0
4,2006-11-03,0,1,0,long_regime_uncertainty,0.03459697512780324,0
4,2006-11-03,0,1,0,one_week_probability_motion,0.9263607899293383,1
4,2006-11-03,0,1,1,long_regime_uncertainty,0.03018405438870908,0
4,2006-11-03,0,1,1,one_week_probability_motion,0.002206460369547081,0
4,2006-11-03,0,1,2,long_regime_uncertainty,0.027745680758418767,0
4,2006-11-03,0,1,2,one_week_probability_motion,0.0012191868151452123,0
5,2007-07-27,1,0,-8,long_regime_uncertainty,0.09395370537853831,0
5,2007-07-27,1,0,-8,one_week_probability_motion,0.013589795820120543,0
5,2007-07-27,1,0,-7,long_regime_uncertainty,0.16953992416092012,0
5,2007-07-27,1,0,-7,one_week_probability_motion,0.03779310939119096,0
5,2007-07-27,1,0,-6,long_regime_uncertainty,0.18706326772525106,0
5,2007-07-27,1,0,-6,one_week_probability_motion,0.00876167178216547,0
5,2007-07-27,1,0,-5,long_regime_uncertainty,0.22157317664895415,0
5,2007-07-27,1,0,-5,one_week_probability_motion,0.017254954461851657,0
5,2007-07-27,1,0,-4,long_regime_uncertainty,0.15917912067252615,0
5,2007-07-27,1,0,-4,one_week_probability_motion,0.03119702798821411,0
5,2007-07-27,1,0,-3,long_regime_uncertainty,0.1846700033480697,0
5,2007-07-27,1,0,-3,one_week_probability_motion,0.01274544133777189,0
5,2007-07-27,1,0,-2,long_regime_uncertainty,0.16663006351676457,0
5,2007-07-27,1,0,-2,one_week_probability_motion,0.00901996991565257,0
5,2007-07-27,1,0,-1,long_regime_uncertainty,0.1767058684240318,0
5,2007-07-27,1,0,-1,one_week_probability_motion,0.005037902453633558,0
5,2007-07-27,1,0,0,long_regime_uncertainty,0.5496061440650528,1
5,2007-07-27,1,0,0,one_week_probability_motion,0.6368439937554577,1
5,2007-07-27,1,0,1,long_regime_uncertainty,0.5932773152852368,1
5,2007-07-27,1,0,1,one_week_probability_motion,0.021835585610091968,0
5,2007-07-27,1,0,2,long_regime_uncertainty,0.7448538198856615,1
5,2007-07-27,1,0,2,one_week_probability_motion,0.07578825230021236,0
6,2007-11-02,0,1,-8,long_regime_uncertainty,0.9706344237269118,1
6,2007-11-02,0,1,-8,one_week_probability_motion,0.017603710560559704,0
6,2007-11-02,0,1,-7,long_regime_uncertainty,0.8162233993687321,1
6,2007-11-02,0,1,-7,one_week_probability_motion,0.07720551217908989,0
6,2007-11-02,0,1,-6,long_regime_uncertainty,0.47214887627457114,0
6,2007-11-02,0,1,-6,one_week_probability_motion,0.1720372615470805,1
6,2007-11-02,0,1,-5,long_regime_uncertainty,0.6296901212207233,1
6,2007-11-02,0,1,-5,one_week_probability_motion,0.07877062247307598,1
6,2007-11-02,0,1,-4,long_regime_uncertainty,0.5185977159055233,0
6,2007-11-02,0,1,-4,one_week_probability_motion,0.05554620265759996,0
6,2007-11-02,0,1,-3,long_regime_uncertainty,0.71654744864698,1
6,2007-11-02,0,1,-3,one_week_probability_motion,0.0989748663707285,1
6,2007-11-02,0,1,-2,long_regime_uncertainty,0.22889046767268129,0
6,2007-11-02,0,1,-2,one_week_probability_motion,0.24382849048714939,1
6,2007-11-02,0,1,-1,long_regime_uncertainty,0.1655906240431333,0
6,2007-11-02,0,1,-1,one_week_probability_motion,0.03164992181477404,0
6,2007-11-02,0,1,0,long_regime_uncertainty,0.3474863548439677,0
6,2007-11-02,0,1,0,one_week_probability_motion,0.7434615105564495,1
6,2007-11-02,0,1,1,long_regime_uncertainty,0.6838886604157776,1
6,2007-11-02,0,1,1,one_week_probability_motion,0.16820115278590486,1
6,2007-11-02,0,1,2,long_regime_uncertainty,0.5625175017845078,1
6,2007-11-02,0,1,2,one_week_probability_motion,0.0606855793156349,0
7,2008-01-18,1,0,-8,long_regime_uncertainty,0.47364704443446504,0
7,2008-01-18,1,0,-8,one_week_probability_motion,0.044435228675021365,0
7,2008-01-18,1,0,-7,long_regime_uncertainty,0.614836084131368,1
7,2008-01-18,1,0,-7,one_week_probability_motion,0.07059451984845144,0
7,2008-01-18,1,0,-6,long_regime_uncertainty,0.44916434956432827,0
7,2008-01-18,1,0,-6,one_week_probability_motion,0.08283586728351988,1
7,2008-01-18,1,0,-5,long_regime_uncertainty,0.47255029192007625,0
7,2008-01-18,1,0,-5,one_week_probability_motion,0.011692971177874045,0
7,2008-01-18,1,0,-4,long_regime_uncertainty,0.3623228184091639,0
7,2008-01-18,1,0,-4,one_week_probability_motion,0.055113736755456166,0
7,2008-01-18,1,0,-3,long_regime_uncertainty,0.2968135605763327,0
7,2008-01-18,1,0,-3,one_week_probability_motion,0.03275462891641556,0
7,2008-01-18,1,0,-2,long_regime_uncertainty,0.7816490531860727,1
7,2008-01-18,1,0,-2,one_week_probability_motion,0.2424177463048699,1
7,2008-01-18,1,0,-1,long_regime_uncertainty,0.6086940280325935,1
7,2008-01-18,1,0,-1,one_week_probability_motion,0.08647751257673952,1
7,2008-01-18,1,0,0,long_regime_uncertainty,0.5894597575350458,1
7,2008-01-18,1,0,0,one_week_probability_motion,0.40092310721618035,1
7,2008-01-18,1,0,1,long_regime_uncertainty,0.882661466026704,1
7,2008-01-18,1,0,1,one_week_probability_motion,0.14660085424582908,1
7,2008-01-18,1,0,2,long_regime_uncertainty,0.2540832081892337,0
7,2008-01-18,1,0,2,one_week_probability_motion,0.3142891289187351,1
8,2008-02-29,0,1,-8,long_regime_uncertainty,0.7816490531860727,1
8,2008-02-29,0,1,-8,one_week_probability_motion,0.2424177463048699,1
8,2008-02-29,0,1,-7,long_regime_uncertainty,0.6086940280325935,1
8,2008-02-29,0,1,-7,one_week_probability_motion,0.08647751257673952,1
8,2008-02-29,0,1,-6,long_regime_uncertainty,0.5894597575350458,1
8,2008-02-29,0,1,-6,one_week_probability_motion,0.40092310721618035,1
8,2008-02-29,0,1,-5,long_regime_uncertainty,0.882661466026704,1
8,2008-02-29,0,1,-5,one_week_probability_motion,0.14660085424582908,1
8,2008-02-29,0,1,-4,long_regime_uncertainty,0.2540832081892337,0
8,2008-02-29,0,1,-4,one_week_probability_motion,0.3142891289187351,1
8,2008-02-29,0,1,-3,long_regime_uncertainty,0.07913424389775547,0
8,2008-02-29,0,1,-3,one_week_probability_motion,0.08747448214573919,1
8,2008-02-29,0,1,-2,long_regime_uncertainty,0.4836517523168856,0
8,2008-02-29,0,1,-2,one_week_probability_motion,0.20225875420956518,1
8,2008-02-29,0,1,-1,long_regime_uncertainty,0.8997800794717004,1
8,2008-02-29,0,1,-1,one_week_probability_motion,0.20806416357740734,1
8,2008-02-29,0,1,0,long_regime_uncertainty,0.9299320977974568,1
8,2008-02-29,0,1,0,one_week_probability_motion,0.08514391136542138,1
8,2008-02-29,0,1,1,long_regime_uncertainty,0.9326959668728236,1
8,2008-02-29,0,1,1,one_week_probability_motion,0.0013819345376833159,0
8,2008-02-29,0,1,2,long_regime_uncertainty,0.7049849518261206,1
8,2008-02-29,0,1,2,one_week_probability_motion,0.1138555075233515,1
9,2008-04-11,1,0,-8,long_regime_uncertainty,0.4836517523168856,0
9,2008-04-11,1,0,-8,one_week_probability_motion,0.20225875420956518,1
9,2008-04-11,1,0,-7,long_regime_uncertainty,0.8997800794717004,1
9,2008-04-11,1,0,-7,one_week_probability_motion,0.20806416357740734,1
9,2008-04-11,1,0,-6,long_regime_uncertainty,0.9299320977974568,1
9,2008-04-11,1,0,-6,one_week_probability_motion,0.08514391136542138,1
9,2008-04-11,1,0,-5,long_regime_uncertainty,0.9326959668728236,1
9,2008-04-11,1,0,-5,one_week_probability_motion,0.0013819345376833159,0
9,2008-04-11,1,0,-4,long_regime_uncertainty,0.7049849518261206,1
9,2008-04-11,1,0,-4,one_week_probability_motion,0.1138555075233515,1
9,2008-04-11,1,0,-3,long_regime_uncertainty,0.7544105939703186,1
9,2008-04-11,1,0,-3,one_week_probability_motion,0.024712821072099045,0
9,2008-04-11,1,0,-2,long_regime_uncertainty,0.5572678616241631,1
9,2008-04-11,1,0,-2,one_week_probability_motion,0.09857136617307771,1
9,2008-04-11,1,0,-1,long_regime_uncertainty,0.9131932424515835,1
9,2008-04-11,1,0,-1,one_week_probability_motion,0.17796269041371016,1
9,2008-04-11,1,0,0,long_regime_uncertainty,0.9551845157106567,1
9,2008-04-11,1,0,0,one_week_probability_motion,0.06581112091887986,0
9,2008-04-11,1,0,1,long_regime_uncertainty,0.48850342866877206,0
9,2008-04-11,1,0,1,one_week_probability_motion,0.23334054352094236,1
9,2008-04-11,1,0,2,long_regime_uncertainty,0.9802759686256611,1
9,2008-04-11,1,0,2,one_week_probability_motion,0.24588626997844443,1
10,2008-05-02,0,1,-8,long_regime_uncertainty,0.9326959668728236,1
10,2008-05-02,0,1,-8,one_week_probability_motion,0.0013819345376833159,0
10,2008-05-02,0,1,-7,long_regime_uncertainty,0.7049849518261206,1
10,2008-05-02,0,1,-7,one_week_probability_motion,0.1138555075233515,1
10,2008-05-02,0,1,-6,long_regime_uncertainty,0.7544105939703186,1
10,2008-05-02,0,1,-6,one_week_probability_motion,0.024712821072099045,0
10,2008-05-02,0,1,-5,long_regime_uncertainty,0.5572678616241631,1
10,2008-05-02,0,1,-5,one_week_probability_motion,0.09857136617307771,1
10,2008-05-02,0,1,-4,long_regime_uncertainty,0.9131932424515835,1
10,2008-05-02,0,1,-4,one_week_probability_motion,0.17796269041371016,1
10,2008-05-02,0,1,-3,long_regime_uncertainty,0.9551845157106567,1
10,2008-05-02,0,1,-3,one_week_probability_motion,0.06581112091887986,0
10,2008-05-02,0,1,-2,long_regime_uncertainty,0.48850342866877206,0
10,2008-05-02,0,1,-2,one_week_probability_motion,0.23334054352094236,1
10,2008-05-02,0,1,-1,long_regime_uncertainty,0.9802759686256611,1
10,2008-05-02,0,1,-1,one_week_probability_motion,0.24588626997844443,1
10,2008-05-02,0,1,0,long_regime_uncertainty,0.6883191042209347,1
10,2008-05-02,0,1,0,one_week_probability_motion,0.16570246357670226,1
10,2008-05-02,0,1,1,long_regime_uncertainty,0.5823033497129987,1
10,2008-05-02,0,1,1,one_week_probability_motion,0.05300787725396794,0
10,2008-05-02,0,1,2,long_regime_uncertainty,0.5002515377456237,0
10,2008-05-02,0,1,2,one_week_probability_motion,0.041025905983687494,0
11,2008-10-03,1,0,-8,long_regime_uncertainty,0.4080789385224133,0
11,2008-10-03,1,0,-8,one_week_probability_motion,0.021342746521151423,0
11,2008-10-03,1,0,-7,long_regime_uncertainty,0.3481276659532395,0
11,2008-10-03,1,0,-7,one_week_probability_motion,0.029975636284586882,0
11,2008-10-03,1,0,-6,long_regime_uncertainty,0.36803350200885343,0
11,2008-10-03,1,0,-6,one_week_probability_motion,0.009952918027806956,0
11,2008-10-03,1,0,-5,long_regime_uncertainty,0.41838768916761415,0
11,2008-10-03,1,0,-5,one_week_probability_motion,0.02517709357938036,0
11,2008-10-03,1,0,-4,long_regime_uncertainty,0.3010064978301136,0
11,2008-10-03,1,0,-4,one_week_probability_motion,0.058690595668750345,0
11,2008-10-03,1,0,-3,long_regime_uncertainty,0.3373576003684128,0
11,2008-10-03,1,0,-3,one_week_probability_motion,0.018175551269149604,0
11,2008-10-03,1,0,-2,long_regime_uncertainty,0.3549830409737207,0
11,2008-10-03,1,0,-2,one_week_probability_motion,0.008812720302653898,0
11,2008-10-03,1,0,-1,long_regime_uncertainty,0.4150665263025981,0
11,2008-10-03,1,0,-1,one_week_probability_motion,0.03004174266443882,0
11,2008-10-03,1,0,0,long_regime_uncertainty,0.010467953360731475,0
11,2008-10-03,1,0,0,one_week_probability_motion,0.7872327601683351,1
11,2008-10-03,1,0,1,long_regime_uncertainty,1.9984014443252818e-15,0
11,2008-10-03,1,0,1,one_week_probability_motion,0.005233976680364751,0
11,2008-10-03,1,0,2,long_regime_uncertainty,0.07146316522633356,0
11,2008-10-03,1,0,2,one_week_probability_motion,0.035731582613165676,0
12,2008-10-31,0,1,-8,long_regime_uncertainty,0.3010064978301136,0
12,2008-10-31,0,1,-8,one_week_probability_motion,0.058690595668750345,0
12,2008-10-31,0,1,-7,long_regime_uncertainty,0.3373576003684128,0
12,2008-10-31,0,1,-7,one_week_probability_motion,0.018175551269149604,0
12,2008-10-31,0,1,-6,long_regime_uncertainty,0.3549830409737207,0
12,2008-10-31,0,1,-6,one_week_probability_motion,0.008812720302653898,0
12,2008-10-31,0,1,-5,long_regime_uncertainty,0.4150665263025981,0
12,2008-10-31,0,1,-5,one_week_probability_motion,0.03004174266443882,0
12,2008-10-31,0,1,-4,long_regime_uncertainty,0.010467953360731475,0
12,2008-10-31,0,1,-4,one_week_probability_motion,0.7872327601683351,1
12,2008-10-31,0,1,-3,long_regime_uncertainty,1.9984014443252818e-15,0
12,2008-10-31,0,1,-3,one_week_probability_motion,0.005233976680364751,0
12,2008-10-31,0,1,-2,long_regime_uncertainty,0.07146316522633356,0
12,2008-10-31,0,1,-2,one_week_probability_motion,0.035731582613165676,0
12,2008-10-31,0,1,-1,long_regime_uncertainty,0.001012070117314412,0
12,2008-10-31,0,1,-1,one_week_probability_motion,0.0352255475545096,0
12,2008-10-31,0,1,0,long_regime_uncertainty,0.014687469154000765,0
12,2008-10-31,0,1,0,one_week_probability_motion,0.9921502303643425,1
12,2008-10-31,0,1,1,long_regime_uncertainty,0.2877096757871568,0
12,2008-10-31,0,1,1,one_week_probability_motion,0.136511103316578,1
12,2008-10-31,0,1,2,long_regime_uncertainty,0.1621881317495507,0
12,2008-10-31,0,1,2,one_week_probability_motion,0.06276077201880303,0
13,2008-12-12,1,0,-8,long_regime_uncertainty,0.07146316522633356,0
13,2008-12-12,1,0,-8,one_week_probability_motion,0.035731582613165676,0
13,2008-12-12,1,0,-7,long_regime_uncertainty,0.001012070117314412,0
13,2008-12-12,1,0,-7,one_week_probability_motion,0.0352255475545096,0
13,2008-12-12,1,0,-6,long_regime_uncertainty,0.014687469154000765,0
13,2008-12-12,1,0,-6,one_week_probability_motion,0.9921502303643425,1
13,2008-12-12,1,0,-5,long_regime_uncertainty,0.2877096757871568,0
13,2008-12-12,1,0,-5,one_week_probability_motion,0.136511103316578,1
13,2008-12-12,1,0,-4,long_regime_uncertainty,0.1621881317495507,0
13,2008-12-12,1,0,-4,one_week_probability_motion,0.06276077201880303,0
13,2008-12-12,1,0,-3,long_regime_uncertainty,0.021476313118211854,0
13,2008-12-12,1,0,-3,one_week_probability_motion,0.07035590931566948,0
13,2008-12-12,1,0,-2,long_regime_uncertainty,0.0029727213334077573,0
13,2008-12-12,1,0,-2,one_week_probability_motion,0.009251795892401993,0
13,2008-12-12,1,0,-1,long_regime_uncertainty,0.45035394919285887,0
13,2008-12-12,1,0,-1,one_week_probability_motion,0.22369061392972556,1
13,2008-12-12,1,0,0,long_regime_uncertainty,0.9670872203829699,1
13,2008-12-12,1,0,0,one_week_probability_motion,0.2912794152120856,1
13,2008-12-12,1,0,1,long_regime_uncertainty,0.6898716575605277,1
13,2008-12-12,1,0,1,one_week_probability_motion,0.1386077814112211,1
13,2008-12-12,1,0,2,long_regime_uncertainty,0.6359407453118169,1
13,2008-12-12,1,0,2,one_week_probability_motion,0.026965456124355414,0
14,2009-02-20,0,1,-8,long_regime_uncertainty,0.6359407453118169,1
14,2009-02-20,0,1,-8,one_week_probability_motion,0.026965456124355414,0
14,2009-02-20,0,1,-7,long_regime_uncertainty,0.5058999543448808,0
14,2009-02-20,0,1,-7,one_week_probability_motion,0.06502039548346816,0
14,2009-02-20,0,1,-6,long_regime_uncertainty,0.5839685844178341,1
14,2009-02-20,0,1,-6,one_week_probability_motion,0.03903431503647675,0
14,2009-02-20,0,1,-5,long_regime_uncertainty,0.6848800988155057,1
14,2009-02-20,0,1,-5,one_week_probability_motion,0.05045575719883583,0
14,2009-02-20,0,1,-4,long_regime_uncertainty,0.49987254894261557,0
14,2009-02-20,0,1,-4,one_week_probability_motion,0.0925037749364451,1
14,2009-02-20,0,1,-3,long_regime_uncertainty,0.4941473294250385,0
14,2009-02-20,0,1,-3,one_week_probability_motion,0.0028626097587884924,0
14,2009-02-20,0,1,-2,long_regime_uncertainty,0.3020633011667281,0
14,2009-02-20,0,1,-2,one_week_probability_motion,0.0960420141291552,1
14,2009-02-20,0,1,-1,long_regime_uncertainty,0.31325023849408073,0
14,2009-02-20,0,1,-1,one_week_probability_motion,0.005593468663676299,0
14,2009-02-20,0,1,0,long_regime_uncertainty,0.9831779812483825,1
14,2009-02-20,0,1,0,one_week_probability_motion,0.3517858901287683,1
14,2009-02-20,0,1,1,long_regime_uncertainty,0.8990676662338604,1
14,2009-02-20,0,1,1,one_week_probability_motion,0.04205515750726119,0
14,2009-02-20,0,1,2,long_regime_uncertainty,0.24643103330369953,0
14,2009-02-20,0,1,2,one_week_probability_motion,0.32631831646508036,1
15,2009-04-10,1,0,-8,long_regime_uncertainty,0.31325023849408073,0
15,2009-04-10,1,0,-8,one_week_probability_motion,0.005593468663676299,0
15,2009-04-10,1,0,-7,long_regime_uncertainty,0.9831779812483825,1
15,2009-04-10,1,0,-7,one_week_probability_motion,0.3517858901287683,1
15,2009-04-10,1,0,-6,long_regime_uncertainty,0.8990676662338604,1
15,2009-04-10,1,0,-6,one_week_probability_motion,0.04205515750726119,0
15,2009-04-10,1,0,-5,long_regime_uncertainty,0.24643103330369953,0
15,2009-04-10,1,0,-5,one_week_probability_motion,0.32631831646508036,1
15,2009-04-10,1,0,-4,long_regime_uncertainty,0.016605571870766167,0
15,2009-04-10,1,0,-4,one_week_probability_motion,0.11491273071646668,1
15,2009-04-10,1,0,-3,long_regime_uncertainty,0.5792993813681251,1
15,2009-04-10,1,0,-3,one_week_probability_motion,0.2813469047486794,1
15,2009-04-10,1,0,-2,long_regime_uncertainty,0.5010450532332458,0
15,2009-04-10,1,0,-2,one_week_probability_motion,0.03912716406743966,0
15,2009-04-10,1,0,-1,long_regime_uncertainty,0.9154251054031847,1
15,2009-04-10,1,0,-1,one_week_probability_motion,0.2071900260849695,1
15,2009-04-10,1,0,0,long_regime_uncertainty,0.7234521003548131,1
15,2009-04-10,1,0,0,one_week_probability_motion,0.1805613971210011,1
