index,lead,feature,smd,n_positive,n_negative,abs_smd,stable_stratum
^AXJO_data,10,level,0.24895157076499272,3,9,0.24895157076499272,False
^AXJO_data,10,mean5,-0.2758751662162667,3,9,0.2758751662162667,False
^AXJO_data,10,mean20,-0.21318812711812105,3,9,0.21318812711812105,False
^AXJO_data,10,slope5,0.13750934895889258,3,9,0.13750934895889258,False
^AXJO_data,10,slope20,-0.06388619676320303,3,9,0.06388619676320303,False
^AXJO_data,10,std20,-0.15253861276634376,3,9,0.15253861276634376,False
^AXJO_data,10,max20,0.341787902461194,3,9,0.341787902461194,False
^BFX_data,1,level,-0.10637938820015796,17,51,0.10637938820015796,True
^BFX_data,1,mean5,-0.05965813635497097,17,51,0.05965813635497097,True
^BFX_data,1,mean20,-0.004404598377440247,17,51,0.004404598377440247,True
^BFX_data,1,slope5,0.04123884884333462,17,51,0.04123884884333462,True
^BFX_data,1,slope20,0.013123339995784722,17,51,0.013123339995784722,True
^BFX_data,1,std20,0.0718501213811056,17,51,0.0718501213811056,True
^BFX_data,1,max20,0.05315043285528316,17,51,0.05315043285528316,True
^BFX_data,5,level,-0.08239648479289222,17,51,0.08239648479289222,True
^BFX_data,5,mean5,0.005390333472234557,17,51,0.005390333472234557,True
^BFX_data,5,mean20,0.034413828391177126,17,51,0.034413828391177126,True
^BFX_data,5,slope5,-0.018478445470295164,17,51,0.018478445470295164,True
^BFX_data,5,slope20,0.020479918427104178,17,51,0.020479918427104178,True
^BFX_data,5,std20,0.0884857550231583,17,51,0.0884857550231583,True
^BFX_data,5,max20,0.13919195644244692,17,51,0.13919195644244692,True
^BFX_data,10,level,0.12800424569955365,17,51,0.12800424569955365,True
^BFX_data,10,mean5,0.051160479735291496,17,51,0.051160479735291496,True
^BFX_data,10,mean20,-0.055624035158838715,17,51,0.055624035158838715,True
^BFX_data,10,slope5,-0.07800127335171388,17,51,0.07800127335171388,True
^BFX_data,10,slope20,0.026573815999673893,17,51,0.026573815999673893,True
^BFX_data,10,std20,-0.07697619323901814,17,51,0.07697619323901814,True
^BFX_data,10,max20,0.09390726525875262,17,51,0.09390726525875262,True
^BSESN_data,1,level,0.07384954369140563,15,45,0.07384954369140563,True
^BSESN_data,1,mean5,-0.030053326788977406,15,45,0.030053326788977406,True
^BSESN_data,1,mean20,-0.023358381822813176,15,45,0.023358381822813176,True
^BSESN_data,1,slope5,0.01241716831268701,15,45,0.01241716831268701,True
^BSESN_data,1,slope20,0.10099106351383637,15,45,0.10099106351383637,True
^BSESN_data,1,std20,0.007878604307694215,15,45,0.007878604307694215,True
