episode_id,start_idx,branch_idx,end_idx,start_date,branch_date,end_date,candidate_days,calendar_rows,rv_20d,branch_stress_cut,drawdown_120d,rv_ratio_5_20_branch,rv_5d_change_5d_branch,return_5d_branch,worst_return_5d_in_prior_window
26,3395,3395,3430,2000-12-12,2000-12-12,2001-02-02,21,36,0.35411553300727183,0.1274258561292264,-0.12366557834109826,1.0953223921620474,-0.05738512033138743,0.013889551272890266,-0.07140097644342447
27,3451,3451,3469,2001-03-06,2001-03-06,2001-03-30,7,19,0.19510822397874872,0.12935777072632626,-0.10771313588397846,0.6699948598476366,-0.14202321889939634,0.00495896336474555,-0.06369383524172889
28,3478,3478,3487,2001-04-12,2001-04-12,2001-04-26,10,10,0.33189268655970955,0.13001308830094382,-0.11069851072978154,0.8916336192598667,-0.19124382884081126,0.02287401757781815,-0.06961136133552603
29,3547,3547,3558,2001-07-23,2001-07-23,2001-08-07,7,12,0.2325177920767585,0.13414725167684352,-0.06675946870831162,0.8204104136832966,-0.08947474430082308,-0.002276255509479519,-0.053718434816118155
30,3592,3592,3606,2001-10-01,2001-10-01,2001-10-19,14,15,0.3278552006838679,0.13630105333506887,-0.23128975504127758,0.9586252713175473,-0.15562580961723654,0.009628702500629416,-0.15118651756208212
31,3687,3687,3687,2002-02-15,2002-02-15,2002-02-15,1,1,0.18248422655905464,0.14096624383514578,-0.06018425796114557,0.7858300885035551,-0.09092012323217019,0.005513305699744286,-0.052481506159830715
32,3778,3778,3779,2002-06-27,2002-06-27,2002-06-28,2,2,0.19510078980872353,0.14550867034778459,-0.12282244956496802,0.8056466704541702,-0.08208296129781112,-0.0033298179781278137,-0.04730611739693735
33,3800,3800,3819,2002-07-30,2002-07-30,2002-08-26,15,20,0.36742734191227383,0.14611272404139317,-0.23336839085954686,0.9756496621886377,0.06846723649154252,0.09661056848175509,-0.11234996142777565
34,3830,3830,3832,2002-09-11,2002-09-11,2002-09-13,3,3,0.3054299637246397,0.14704180315223736,-0.24778659527679514,0.9222150110188043,-0.09835569786662707,0.009245136847952473,-0.0727260364511384
35,3856,3856,3870,2002-10-17,2002-10-17,2002-11-06,15,15,0.37648281955845764,0.14793954901388187,-0.2939790473965027,1.140177799997938,-0.012598475146825716,0.07557082829568618,-0.0966324683336266
36,3878,3878,3905,2002-11-18,2002-11-18,2002-12-27,13,28,0.25010874687079715,0.14949560769892384,-0.21517221572609602,0.877075045487886,-0.06419431532690839,0.03576180584536193,-0.04717119476600917
37,3932,3932,3945,2003-02-06,2003-02-06,2003-02-26,5,14,0.17841259718637847,0.15311462858229033,-0.11091068642745705,0.6931871881196842,-0.128328822893169,-0.007865024976932311,-0.051605253970969045
38,4246,4246,4266,2004-05-06,2004-05-06,2004-06-04,11,21,0.18798845151039253,0.16435691894088036,-0.07140619073533527,0.9167849988504045,0.0001057230243848295,-0.0073606503920888855,-0.053745626155749626
39,4303,4303,4329,2004-07-29,2004-07-29,2004-09-03,18,27,0.20005291469893396,0.16884310695889898,-0.0932733059582116,1.256464011040185,-0.008726008267029406,0.006038236068698133,-0.053491657368438084
40,4495,4495,4511,2005-05-03,2005-05-03,2005-05-25,13,17,0.2195957370706737,0.16798350726603295,-0.10707792902210611,0.8973077048304544,-0.10262771747969376,-0.005425986318951637,-0.050315682481878454
41,4611,4611,4621,2005-10-17,2005-10-17,2005-10-31,3,11,0.17558801278519934,0.16738935106962047,-0.08008598277439682,1.092235620164417,-0.013059941157700428,-0.007236490748221414,-0.05219436113379672
42,4783,4783,4792,2006-06-23,2006-06-23,2006-07-07,5,10,0.2681151944350126,0.16714050212284823,-0.11727613419797145,0.8026568707961897,-0.16408833249371793,-0.0042365286288337245,-0.05528697390557724
43,4806,4806,4814,2006-07-27,2006-07-27,2006-08-08,8,9,0.2835995436922257,0.16838672562293472,-0.12296790862463702,1.0206497812457107,-0.043442804912308286,0.0030380509746930073,-0.04738337773668633
44,4963,4963,4965,2007-03-14,2007-03-14,2007-03-16,2,3,0.22299046807528905,0.16703021608185514,-0.06481481481481499,1.0185187469197707,-0.061293918890613336,-0.00028358189906363407,-0.08039686799853296
45,5061,5061,5078,2007-08-02,2007-08-02,2007-08-27,8,18,0.19623757574899475,0.16640358014397297,-0.08387767741332364,0.9272441013529845,-0.03876940667381182,-0.00950834535721956,-0.07350584446731201
46,5084,5084,5086,2007-09-05,2007-09-05,2007-09-07,3,3,0.26489861259404784,0.1676742883049781,-0.07631723477102481,0.900575225776287,-0.046366465563003584,0.029046700005187276,-0.05704752426145898
47,5134,5134,5151,2007-11-14,2007-11-14,2007-12-10,8,18,0.28285712046801176,0.16973907610809014,-0.08565385559203986,0.9179043422868972,-0.1096185823667804,0.008354610558311215,-0.0649363362200086
48,5160,5160,5162,2007-12-21,2007-12-21,2007-12-26,3,3,0.29274252306913573,0.17093111693110785,-0.08199633078981494,0.952696276971489,0.0023084273607591466,0.041148231538318925,-0.06817167185771922
49,5182,5182,5197,2008-01-25,2008-01-25,2008-02-15,10,16,0.26526739344561445,0.17201333238491484,-0.18578252849642907,1.0191420179785267,-0.005955031482874795,0.011729868563155499,-0.08322213193248729
50,5202,5202,5231,2008-02-25,2008-02-25,2008-04-07,14,30,0.2662605419902853,0.1724104122546972,-0.1599347301707421,0.9081692351893702,-0.029391398345985698,0.012663238099820617,-0.044221560707670804
51,5279,5279,5281,2008-06-13,2008-06-13,2008-06-17,3,3,0.20916828864849935,0.17424859469097037,-0.07957040512904157,1.089109590846532,-0.10158009165035306,-0.009172508983756877,-0.058582869912845226
52,5301,5301,5314,2008-07-16,2008-07-16,2008-08-04,10,14,0.2895410800370909,0.17489761852339084,-0.10025285940754902,1.0532309313623802,-0.11576767621233203,0.034064752419234345,-0.06333490866705294
53,5370,5370,5380,2008-10-22,2008-10-22,2008-11-05,6,11,0.8095483115807783,0.1770205691021736,-0.3423428144693227,0.9905631077854834,-0.513011690286225,-0.00027886224385920144,-0.2448140910947938
54,5395,5395,5423,2008-11-26,2008-11-26,2009-01-08,20,29,0.810394650089196,0.1778857592517692,-0.378482992656221,1.105013422098356,-0.14377969027095872,0.1283589620598029,-0.24286424478895263
55,5435,5435,5446,2009-01-27,2009-01-27,2009-02-11,10,12,0.5015048576230908,0.17903338399983015,-0.3960868527797662,0.9347358216816539,-0.18030850260924491,0.0493335753227333,-0.09252388207780537
