model,split,n_rows,rmse,qlike,corr,actual_std,pred_std,pred_mean,n_qubits,h,seed,features,effective_rank,elapsed_feature_seconds,q80_precision,q80_recall,q80_f1,q80_pred_rate,q90_precision,q90_recall,q90_f1,q90_pred_rate,q95_precision,q95_recall,q95_f1,q95_pred_rate,top20_pred_actual_ratio
TFIM_4q_h0.2_seed2,val,500,0.056537404726487515,-2.8596840016551672,0.28168253110268443,0.0542449043115403,0.008360100442747882,0.1559819284277298,4,0.2,2,10,7.518133294451892,1.7518222332000732,0.875,0.08433734939759036,0.15384615384615385,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_4q_h0.2_seed2,test,700,0.15003873372860532,-1.421946908224068,0.524457537142331,0.14797582618463517,0.006576299106382508,0.15325855902794938,4,0.2,2,10,7.518133294451892,1.7518222332000732,1.0,0.04296875,0.08239700374531835,0.015714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39199141135848614
TFIM_4q_h0.5_seed0,train,1600,0.06523008471270242,-2.7055867114752665,0.4831777922949466,0.06876837833520376,0.011749832475486556,0.12716459680115666,4,0.5,0,10,8.051769597222162,1.8368780612945557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_4q_h0.5_seed0,val,500,0.055242435416749745,-2.8384480911710135,-0.3217765429895882,0.0542449043115403,0.002605211594327488,0.1384049664788004,4,0.5,0,10,8.051769597222162,1.8368780612945557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_4q_h0.5_seed0,test,700,0.15828065515672549,-0.7890956139320081,-0.6346994993667848,0.14797582618463517,0.0013621953367073017,0.13932689045351762,4,0.5,0,10,8.051769597222162,1.8368780612945557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34301197437629954
TFIM_4q_h0.5_seed1,train,1600,0.058379945272147696,-2.819181398503016,0.6621428769233985,0.06876837833520376,0.02086425678010468,0.12815528774155438,4,0.5,1,10,8.599476710368684,1.748229742050171,0.7407407407407407,0.0625,0.11527377521613832,0.016875,1.0,0.05625,0.10650887573964497,0.005625,0.0,0.0,0.0,0.0,
TFIM_4q_h0.5_seed1,val,500,0.06579476297020521,-2.8061846944177034,0.3089032886314652,0.0542449043115403,0.01037361889322978,0.17534588776601737,4,0.5,1,10,8.599476710368684,1.748229742050171,0.5675675675675675,0.25301204819277107,0.35,0.074,0.5,0.10526315789473684,0.17391304347826086,0.016,0.0,0.0,0.0,0.0,
TFIM_4q_h0.5_seed1,test,700,0.14518651782158823,-1.6981162367284626,0.5740294253564705,0.14797582618463517,0.007400730245998745,0.17354587412411646,4,0.5,1,10,8.599476710368684,1.748229742050171,1.0,0.0859375,0.15827338129496402,0.03142857142857143,1.0,0.04712041884816754,0.09,0.012857142857142857,0.0,0.0,0.0,0.0,0.44394146960520703
TFIM_4q_h0.5_seed2,train,1600,0.06173040810195392,-2.758423783465753,0.5405401732849745,0.06876837833520376,0.01944670945862576,0.127939228881743,4,0.5,2,10,7.749145893817266,1.7477657794952393,0.9411764705882353,0.05,0.09495548961424333,0.010625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_4q_h0.5_seed2,val,500,0.05377014060463961,-2.860686886787645,0.17955112194804193,0.0542449043115403,0.007069484059726011,0.14105368966739526,4,0.5,2,10,7.749145893817266,1.7477657794952393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_4q_h0.5_seed2,test,700,0.15406340574303573,-1.1588601708760038,0.5252547791639116,0.14797582618463517,0.0052783804618145615,0.14186503392462763,4,0.5,2,10,7.749145893817266,1.7477657794952393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36049810450866154
TFIM_4q_h1_seed0,train,1600,0.055638374468081536,-2.8659466679995704,0.6630905904434446,0.06876837833520376,0.027465337156356382,0.12933369936530537,4,1.0,0,10,8.063105549310071,1.745297908782959,0.45,0.028125,0.052941176470588235,0.0125,1.0,0.0125,0.024691358024691357,0.00125,0.0,0.0,0.0,0.0,
TFIM_4q_h1_seed0,val,500,0.057229156142554465,-2.8482620437739232,-0.15059518594151544,0.0542449043115403,0.0023116584461406755,0.1520325740007816,4,1.0,0,10,8.063105549310071,1.745297908782959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_4q_h1_seed0,test,700,0.15302465627531925,-1.2454746730376984,0.13489897597096873,0.14797582618463517,0.0013377738539069207,0.153521857812344,4,1.0,0,10,8.063105549310071,1.745297908782959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.381042567875983
TFIM_4q_h1_seed1,train,1600,0.060409428054022295,-2.791942095752493,0.6007741222233596,0.06876837833520376,0.01940054266837874,0.12803217994248584,4,1.0,1,10,8.447994340961037,1.758162021636963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_4q_h1_seed1,val,500,0.052566938798822536,-2.8537373879495407,0.27464038405443575,0.0542449043115403,0.009349026327036882,0.13156231484940129,4,1.0,1,10,8.447994340961037,1.758162021636963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_4q_h1_seed1,test,700,0.16151257239194325,-0.5193511710008569,0.30049733197452905,0.14797582618463517,0.004144292686378368,0.1257758711420992,4,1.0,1,10,8.447994340961037,1.758162021636963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31487699491522503
TFIM_4q_h1_seed2,train,1600,0.06325015914235745,-2.7498418639638817,0.5494102166495649,0.06876837833520376,0.014591525731063162,0.127455523212128,4,1.0,2,10,8.467318884588257,1.7571263313293457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_4q_h1_seed2,val,500,0.059833149483580136,-2.8398963264699706,0.3094805440183842,0.0542449043115403,0.002860752897700126,0.16194883158995454,4,1.0,2,10,8.467318884588257,1.7571263313293457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_4q_h1_seed2,test,700,0.1503076526445703,-1.4363324959522514,0.5507867027454415,0.14797582618463517,0.002143543776924149,0.16090709299002814,4,1.0,2,10,8.467318884588257,1.7571263313293457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40301735946200723
TFIM_6q_h0.2_seed0,train,1600,0.0599643366222845,-2.802767986563145,0.548096011420301,0.06876837833520376,0.02483229452567347,0.12910880819572151,6,0.2,0,21,13.179210953655177,8.34888505935669,0.0,0.0,0.0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_6q_h0.2_seed0,val,500,0.09168093890630188,-2.6470928562353704,-0.19625036414881386,0.0542449043115403,0.004178221928133633,0.2082041566861263,6,0.2,0,21,13.179210953655177,8.34888505935669,0.16633266533066132,1.0,0.2852233676975945,0.998,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,
TFIM_6q_h0.2_seed0,test,700,0.15093857036446337,-1.7427355032404979,-0.24774616556163073,0.14797582618463517,0.006719352094846318,0.21181081292013734,6,0.2,0,21,13.179210953655177,8.34888505935669,0.3657142857142857,1.0,0.5355648535564853,1.0,0.10833333333333334,0.06806282722513089,0.08360128617363344,0.17142857142857143,0.0,0.0,0.0,0.0,0.5176450822197343
TFIM_6q_h0.2_seed1,train,1600,0.06271717733660609,-2.740359915379417,0.4748610310173245,0.06876837833520376,0.02135991538407557,0.128186797267733,6,0.2,1,21,13.586682245330165,8.29469895362854,0.7333333333333333,0.103125,0.18082191780821918,0.028125,1.0,0.0375,0.07228915662650602,0.00375,0.0,0.0,0.0,0.0,
TFIM_6q_h0.2_seed1,val,500,0.05727657010320903,-2.857261539139433,0.2718353025403616,0.0542449043115403,0.011695188081067686,0.1583877262294781,6,0.2,1,21,13.586682245330165,8.29469895362854,0.5714285714285714,0.14457831325301204,0.23076923076923078,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_6q_h0.2_seed1,test,700,0.150341543418397,-1.473027505013724,0.1434155459942355,0.14797582618463517,0.014504092061731755,0.1598303843105714,6,0.2,1,21,13.586682245330165,8.29469895362854,0.5,0.08203125,0.14093959731543623,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39791102415825746
TFIM_6q_h0.2_seed2,train,1600,0.05581044524244372,-2.830495750535066,0.622399161388681,0.06876837833520376,0.03203035160231329,0.13006840758491106,6,0.2,2,21,13.763606092112616,8.486562013626099,0.6881720430107527,0.2,0.3099273607748184,0.058125,0.6756756756756757,0.15625,0.25380710659898476,0.023125,1.0,0.05,0.09523809523809523,0.0025,
