index,market_group,onset_date,effective_start,threshold,train_days,history_start,history_end,pre_onset_level,onset_level,jump_logvol,peak60,peak_gain60,persist60,recovery_days,episode_id,representative_rank
^KLSE_data,malaysia,2008-09-30,1993-01-01,-4.656571353749344,5437,1993-12-03,2024-06-24,-5.497833331585226,-4.036833437058203,1.4609998945270233,-3.623278489307552,1.874554842277674,23,1.0,GE126,0
^KS11_data,south_korea,2008-09-23,1996-01-01,-4.167921631193132,4705,1996-12-11,2024-06-24,-4.344199461149582,-4.14835818804946,0.19584127310012178,-2.3524292138258,1.9917702473237822,46,1.0,GE126,0
^MERV_data,argentina,2009-01-02,1996-01-01,-3.9763398936998335,4716,1996-10-08,2024-06-24,-4.720067203037614,-3.4389848458592547,1.281082357178359,-3.05368088799816,1.6663863150394538,29,4.0,GE127,0
^N100_data,europe_regional,2009-01-02,2002-01-01,-4.458896466871115,3551,2002-01-02,2024-06-24,-4.953424795374885,-3.8431682219030407,1.1102565734718444,-3.295707103096119,1.6577176922787662,50,1.0,GE127,0
^STOXX50E_data,eurozone_regional,2009-01-09,2007-01-01,-4.237814620924024,2180,2007-03-30,2024-06-24,-4.417046517949216,-3.983119637404742,0.4339268805444738,-3.2377686087066557,1.1792779092425603,49,1.0,GE127,0
^FCHI_data,france,2009-01-06,1990-01-01,-4.369383425697008,6539,1990-03-01,2024-06-24,-4.537636499698469,-4.173224640960585,0.36441185873788395,-3.2498734141855694,1.2877630855128999,53,24.0,GE127,0
^N225_data,japan,2009-01-07,1989-01-01,-4.395430311287022,6639,1989-01-04,2024-06-24,-4.676556838982212,-4.24806756233552,0.4284892766466921,-3.5226207392040743,1.153936099778138,41,4.0,GE127,0
^MXX_data,mexico,2009-01-06,1994-01-01,-4.298841359743097,5510,1994-01-03,2024-06-24,-4.886543224932351,-4.1583808929474495,0.7281623319849011,-3.2512330429731886,1.635310181959162,39,2.0,GE127,0
399001.SZ_data,china_mainland,2009-02-03,1997-01-01,-4.044947295855071,4447,1997-08-22,2024-06-24,-4.731604194863068,-3.9929178165688097,0.7386863782942581,-2.93359389571463,1.7980102991484377,36,1.0,GE128,1
^NZ50_data,new_zealand,2009-02-16,2004-01-01,-5.095025226371794,2919,2004-01-05,2024-06-24,-6.283736267096333,-4.1598104985399,2.1239257685564326,-3.9308466301404352,2.3528896369558976,41,1.0,GE129,0
