x,delta_end_over_omega,omega_max_rad_s,shots_requested,shots_returned,valid_shots,empty_site_fraction,n_unique_states,entropy_bits,mean_excitation,var_excitation,nearest_pair_11_mean,next_nearest_pair_11_mean,blockade_contrast_nnn_minus_nn,staggered_even_minus_odd,top1_state,top1_freq,top2_state,top2_freq,top3_state,top3_freq,top4_state,top4_freq,top5_state,top5_freq,site_0_excitation,site_1_excitation,site_2_excitation,site_3_excitation,site_4_excitation,site_5_excitation
-0.15000000000000002,0.2499999999999999,6300000.0,300,300,300,0.0,21,4.038499016440089,4.653333333333333,0.6598222222222224,0.5933333333333334,0.6125,0.019166666666666665,0.026666666666666394,b111111,0.15333333333333332,b011111,0.11666666666666667,b111110,0.09666666666666666,b110111,0.07666666666666666,b111011,0.06666666666666667,0.6633333333333333,0.86,0.8033333333333333,0.7766666666666666,0.8733333333333333,0.6766666666666666
-0.135,0.32499999999999996,6300000.0,300,300,300,0.0,21,4.076127970054934,4.623333333333333,0.5214555555555556,0.578,0.595,0.017000000000000015,-0.0033333333333334103,b111110,0.10666666666666667,b111111,0.1,b011111,0.09333333333333334,b111011,0.08,b110111,0.07333333333333333,0.6566666666666666,0.8366666666666667,0.7933333333333333,0.7766666666666666,0.86,0.7
-0.12000000000000002,0.3999999999999999,6300000.0,300,300,300,0.0,21,4.195829493475894,4.483333333333333,0.6563888888888889,0.542,0.5733333333333334,0.031333333333333324,0.043333333333333,b111111,0.10666666666666667,b011110,0.09,b111011,0.08333333333333333,b011111,0.07,b111110,0.06666666666666667,0.6166666666666667,0.83,0.78,0.75,0.8666666666666667,0.64
-0.10500000000000001,0.475,6300000.0,300,300,300,0.0,21,4.164707563257322,4.46,0.6817333333333334,0.5466666666666666,0.5658333333333333,0.019166666666666665,-0.020000000000000018,b111111,0.10333333333333333,b011110,0.09333333333333334,b011111,0.09,b111110,0.08333333333333333,b111011,0.06666666666666667,0.5666666666666667,0.8833333333333333,0.7966666666666666,0.7366666666666667,0.8566666666666667,0.62
-0.09000000000000002,0.5499999999999998,6300000.0,300,300,300,0.0,21,4.220737225505114,4.376666666666667,0.5947888888888888,0.5226666666666666,0.5525,0.02983333333333338,-0.043333333333333446,b011110,0.09666666666666666,b111110,0.08666666666666667,b011111,0.08333333333333333,b111111,0.07,b110110,0.06,0.57,0.8366666666666667,0.7466666666666667,0.8033333333333333,0.85,0.57
-0.07500000000000001,0.625,6300000.0,300,300,300,0.0,21,4.258231906413375,4.296666666666667,0.5886555555555556,0.49466666666666664,0.535,0.04033333333333339,-0.06333333333333346,b011110,0.09666666666666666,b111110,0.08333333333333333,b010111,0.06666666666666667,b011111,0.06333333333333334,b011011,0.06333333333333334,0.5533333333333333,0.8266666666666667,0.7366666666666667,0.7866666666666666,0.8266666666666667,0.5666666666666667
-0.060000000000000026,0.6999999999999998,6300000.0,300,300,300,0.0,21,4.2556407572017685,4.15,0.6075,0.45,0.5008333333333334,0.05083333333333334,0.17666666666666697,b101110,0.08333333333333333,b011010,0.08333333333333333,b111110,0.07666666666666666,b011011,0.07,b011111,0.06666666666666667,0.5466666666666666,0.8,0.7766666666666666,0.6833333333333333,0.84,0.5033333333333333
-0.04500000000000004,0.7749999999999998,6300000.0,300,300,300,0.0,21,4.218700529163716,4.096666666666667,0.6139888888888888,0.444,0.495,0.05099999999999999,0.0033333333333329662,b010110,0.10333333333333333,b011111,0.08666666666666667,b011110,0.07666666666666666,b011010,0.07666666666666666,b101110,0.06666666666666667,0.49333333333333335,0.8233333333333334,0.7,0.7433333333333333,0.8566666666666667,0.48
-0.030000000000000027,0.8499999999999999,6300000.0,300,300,300,0.0,21,4.099524337763247,3.99,0.6099,0.42866666666666664,0.48333333333333334,0.0546666666666667,-0.08333333333333326,b011110,0.12333333333333334,b010110,0.12,b011111,0.07666666666666666,b011010,0.07666666666666666,b111110,0.07333333333333333,0.4066666666666667,0.8766666666666667,0.71,0.73,0.8366666666666667,0.43
-0.015000000000000013,0.9249999999999999,6300000.0,300,300,300,0.0,21,4.08260382563915,3.8733333333333335,0.5839555555555556,0.388,0.45666666666666667,0.06866666666666665,0.10666666666666669,b011010,0.13666666666666666,b011110,0.10666666666666667,b010110,0.10666666666666667,b110110,0.07333333333333333,b111010,0.06,0.44333333333333336,0.8433333333333334,0.6966666666666667,0.6766666666666666,0.85,0.36333333333333334
-5.551115123125783e-17,0.9999999999999998,6300000.0,300,300,300,0.0,21,4.010747987405952,3.8666666666666667,0.5822222222222221,0.388,0.44333333333333336,0.055333333333333345,-0.11333333333333329,b010110,0.14333333333333334,b011010,0.13666666666666666,b011110,0.1,b111010,0.07,b010101,0.06333333333333334,0.4066666666666667,0.8933333333333333,0.63,0.71,0.84,0.38666666666666666
0.014999999999999958,1.0749999999999997,6300000.0,300,300,300,0.0,21,3.9661403107860167,3.76,0.5090666666666666,0.358,0.4325,0.07450000000000001,0.026666666666666616,b010110,0.14666666666666667,b011010,0.14333333333333334,b011110,0.11666666666666667,b010101,0.06,b111010,0.056666666666666664,0.36333333333333334,0.8566666666666667,0.6666666666666666,0.6433333333333333,0.8633333333333333,0.36666666666666664
0.02999999999999997,1.15,6300000.0,300,300,300,0.0,20,3.825453218488522,3.6566666666666667,0.45878888888888886,0.328,0.42,0.09199999999999997,-0.1299999999999999,b010110,0.17,b011010,0.14333333333333334,b011110,0.12,b010101,0.09,b110110,0.05,0.32,0.86,0.61,0.68,0.8333333333333334,0.35333333333333333
0.044999999999999984,1.2249999999999999,6300000.0,300,300,300,0.0,20,3.6048653734236713,3.566666666666667,0.4055555555555556,0.31333333333333335,0.39666666666666667,0.08333333333333331,-0.15333333333333332,b011010,0.18666666666666668,b010110,0.18666666666666668,b011110,0.12666666666666668,b010101,0.08333333333333333,b111010,0.05333333333333334,0.25,0.9066666666666666,0.62,0.6366666666666667,0.8366666666666667,0.31666666666666665
0.05999999999999994,1.2999999999999998,6300000.0,300,300,300,0.0,19,3.3953991061698594,3.48,0.38960000000000006,0.2926666666666667,0.37916666666666665,0.08649999999999997,0.006666666666666821,b011010,0.26666666666666666,b010110,0.20333333333333334,b011110,0.08666666666666667,b010101,0.07666666666666666,b010111,0.05333333333333334,0.25333333333333335,0.8866666666666667,0.6033333333333334,0.6066666666666667,0.8866666666666667,0.24333333333333335
0.07499999999999996,1.3749999999999998,6300000.0,300,300,300,0.0,19,3.322115029034279,3.4166666666666665,0.3230555555555556,0.272,0.37833333333333335,0.10633333333333334,0.06333333333333324,b011010,0.24333333333333335,b010110,0.21,b011110,0.11,b101010,0.08333333333333333,b010101,0.08333333333333333,0.26,0.88,0.61,0.5833333333333334,0.87,0.21333333333333335
0.08999999999999997,1.4499999999999997,6300000.0,300,300,300,0.0,17,3.1222159391447573,3.3766666666666665,0.2881222222222222,0.2713333333333333,0.36083333333333334,0.08950000000000002,-0.0033333333333331883,b010110,0.2866666666666667,b011010,0.22333333333333333,b011110,0.11666666666666667,b101010,0.07666666666666666,b010101,0.06333333333333334,0.2,0.8966666666666666,0.5733333333333334,0.5966666666666667,0.9133333333333333,0.19666666666666666
0.10499999999999993,1.5249999999999997,6300000.0,300,300,300,0.0,17,3.124968266514031,3.36,0.2904,0.258,0.36666666666666664,0.10866666666666663,-0.026666666666666616,b010110,0.27,b011010,0.21666666666666667,b101010,0.1,b011110,0.1,b010101,0.08333333333333333,0.21,0.89,0.57,0.5833333333333334,0.8866666666666667,0.22
0.11999999999999994,1.5999999999999996,6300000.0,300,300,300,0.0,18,2.9758017033040858,3.29,0.2525666666666667,0.23933333333333334,0.35,0.11066666666666664,-0.036666666666666625,b011010,0.2966666666666667,b010110,0.2633333333333333,b010101,0.09666666666666666,b011110,0.09333333333333334,b101010,0.07333333333333333,0.17666666666666667,0.8933333333333333,0.57,0.5633333333333334,0.88,0.20666666666666667
0.13499999999999995,1.6749999999999998,6300000.0,300,300,300,0.0,14,2.712910939386758,3.2333333333333334,0.18555555555555558,0.22733333333333333,0.335,0.10766666666666669,-0.14000000000000012,b010110,0.36333333333333334,b011010,0.25333333333333335,b010101,0.09,b011110,0.07,b101010,0.06333333333333334,0.16333333333333333,0.9166666666666666,0.48,0.6033333333333334,0.9033333333333333,0.16666666666666666
0.15,1.75,6300000.0,300,300,300,0.0,12,2.589807266403517,3.19,0.16723333333333337,0.21266666666666667,0.3383333333333333,0.12566666666666665,-0.030000000000000027,b010110,0.33666666666666667,b011010,0.29333333333333333,b010101,0.09666666666666666,b101010,0.09,b011110,0.07333333333333333,0.15666666666666668,0.8933333333333333,0.5233333333333333,0.5566666666666666,0.9,0.16
