date,y_true,origin_regime,p_momentum,p_rydberg,momentum_log_loss,rydberg_log_loss,rydberg_minus_momentum_log_loss,probability_shift,momentum_correct_0_5,rydberg_correct_0_5
2008-02-15,0,bear_side,0.5182762501787032,0.518605665313813,0.730384462385959,0.7310685221149876,0.0006840597290286299,0.0003294151351098673,False,False
2008-08-29,0,bull_side,0.4790023220284267,0.4357802181271111,0.6520096941070834,0.572311419219447,-0.07969827488763648,-0.04322210390131559,True,True
2008-12-05,0,bull_side,0.1445235193253475,0.1284029376173176,0.15609667793352291,0.1374280462905938,-0.018668631642929118,-0.01612058170802988,True,True
2009-02-20,1,bull_side,0.5406186316636519,0.4413034117726345,0.6150411809470575,0.8180226315499484,0.20298145060289086,-0.09931521989101738,True,False
2009-06-05,1,bear_side,0.9252497600574842,0.9021746203866868,0.07769156704313131,0.10294718520967519,0.025255618166543883,-0.02307513967079733,True,True
2009-08-07,1,bear_side,0.730660243522167,0.7107034604441224,0.3138067104209339,0.3415000100966665,0.027693299675732586,-0.019956783078044604,True,True
2009-12-04,0,bear_side,0.7372086020848309,0.700027296478213,1.3363947253458732,1.204063796726329,-0.1323309286195442,-0.03718130560661781,False,False
2010-10-01,1,bear_side,0.7581021128122992,0.8280528786118937,0.27693718894012015,0.188678263578193,-0.08825892536192714,0.06995076579959447,True,True
2010-11-19,1,bear_side,0.756586843340943,0.7347299449950875,0.2789379561216303,0.3082522690606105,0.02931431293898018,-0.02185689834585547,True,True
2011-07-08,0,bear_side,0.6269303177490397,0.7031876741197897,0.9859900610999782,1.2146552393052352,0.228665178205257,0.07625735637074993,False,False
2012-07-13,1,bear_side,0.5860077011788725,0.5553043285662914,0.5344223475480107,0.5882389757599296,0.053816628211918904,-0.030703372612581048,True,True
2012-11-23,1,bull_side,0.6037550024510692,0.5551397470540156,0.5045867884164394,0.5885354004373975,0.08394861202095805,-0.04861525539705358,True,True
2013-01-04,1,bear_side,0.6120063528866392,0.5481255581727742,0.4910126159899642,0.601250897525035,0.11023828153507081,-0.06388079471386499,True,True
2014-10-24,1,bear_side,0.6024449980638111,0.7215203527508876,0.5067589073051143,0.3263946922251371,-0.18036421507997719,0.11907535468707642,True,True
2015-08-28,1,bear_side,0.5224137585387014,0.4684976313182185,0.6492953641946398,0.7582242332007134,0.10892886900607357,-0.053916127220482946,True,False
2015-11-06,0,bear_side,0.6374437574248188,0.5878793219007701,1.0145756647906894,0.8864390645139467,-0.12813660027674267,-0.04956443552404877,False,False
2016-05-06,1,bear_side,0.7414101960283842,0.7785277634349402,0.2992012359613847,0.2503506256144526,-0.04885061034693211,0.03711756740655603,True,True
2016-11-11,1,bull_side,0.6039731517468757,0.7344246869589125,0.5042255327854918,0.3086678251007011,-0.19555770768479064,0.13045153521203678,True,True
2018-05-25,1,bear_side,0.6069010678993509,0.7277327233074001,0.4993894865449883,0.31782143651123285,-0.18156805003375548,0.12083165540804919,True,True
2018-10-26,0,bull_side,0.5311066101364658,0.6625581786282598,0.7573798500993457,1.0863621646496555,0.3289823145503098,0.13145156849179407,False,False
2019-02-08,1,bear_side,0.5772547890233256,0.5450053174218211,0.5494715345094029,0.6069597276292031,0.057488193119800246,-0.03224947160150449,True,True
2019-06-07,1,bear_side,0.6949801706261177,0.5452460967927012,0.36387196529758703,0.6065180324905307,0.24264606719294368,-0.14973407383341653,True,True
2019-08-02,1,bull_side,0.6172529225974426,0.4451737890321974,0.4824764158997829,0.8092905359046756,0.3268141200048927,-0.17207913356524518,True,False
2020-07-24,1,bear_side,0.8023875724857822,0.8331388206042095,0.2201635303833358,0.18255499931448826,-0.03760853106884754,0.030751248118427332,True,True
2021-01-01,1,bear_side,0.7955194050344631,0.8199927734135842,0.22876003799525904,0.1984597516729353,-0.030300286322323733,0.024473368379121174,True,True
2021-04-30,1,bear_side,0.804211035920305,0.8386506591389555,0.21789356175773053,0.1759610368893114,-0.04193252486841914,0.03443962321865057,True,True
2021-12-24,0,bull_side,0.7308965316975151,0.7654665965042635,1.3126593328058194,1.4501572556293991,0.13749792282357975,0.0345700648067484,False,False
2022-02-04,1,bear_side,0.5606009899127344,0.5648120304028075,0.5787458744436353,0.5712622927416958,-0.0074835817019395234,0.004211040490073037,True,True
