date,model,train_n,intercept,momentum_13w,return_1w,vol_13w,bull_probability,long_regime_uncertainty,one_week_probability_motion
2010-10-01,compact_transition,104,0.43225293279566585,0.508660085741797,-0.07117493818491342,0.027119330128112195,-0.36941583776889364,0.21775629886844322,-0.46602850245216093
2010-11-19,momentum_13w,104,0.41285345467491563,0.5386484071460207,,,,,
2010-11-19,compact_directional,104,0.42648945005279976,0.5636159891739755,0.04618803243986913,0.015354807428114417,-0.27508914575266774,,
2010-11-19,compact_transition,104,0.43225293279566585,0.508660085741797,-0.07117493818491342,0.027119330128112195,-0.36941583776889364,0.21775629886844322,-0.46602850245216093
2011-07-08,momentum_13w,106,0.4497880093093229,0.5772419422374166,,,,,
2011-07-08,compact_directional,106,0.46654524498229305,0.6039309977836906,0.03864696837999723,0.019946212557679036,-0.29231174415477484,,
2011-07-08,compact_transition,106,0.4740878650517652,0.5402974626386076,-0.08055015495708984,0.030150464401912342,-0.3871108657666216,0.22017167269854312,-0.4770553486636572
2012-07-13,momentum_13w,107,0.4238245356037984,0.5682206770758603,,,,,
2012-07-13,compact_directional,107,0.4384833808795639,0.5936434822781563,0.03404376645538111,0.026294611330974146,-0.2706435337249421,,
2012-07-13,compact_transition,107,0.444397670630954,0.5341633199676181,-0.07678322133184727,0.03701979655524112,-0.3537245973444883,0.18857861332123313,-0.4337335523880079
2012-11-23,momentum_13w,108,0.44007110401533067,0.5648173878256263,,,,,
2012-11-23,compact_directional,108,0.455749943638108,0.591687853037871,0.035098488064501145,0.024108423998856574,-0.2861480364973331,,
2012-11-23,compact_transition,108,0.4628110563929188,0.5307188468141587,-0.07994034449683758,0.03507828744247401,-0.3697109193769699,0.18417823700277405,-0.4434382989682244
2013-01-04,momentum_13w,108,0.44007110401533067,0.5648173878256263,,,,,
2013-01-04,compact_directional,108,0.455749943638108,0.591687853037871,0.035098488064501145,0.024108423998856574,-0.2861480364973331,,
2013-01-04,compact_transition,108,0.4628110563929188,0.5307188468141587,-0.07994034449683758,0.03507828744247401,-0.3697109193769699,0.18417823700277405,-0.4434382989682244
2014-10-24,momentum_13w,110,0.47215052752784015,0.5635041877323309,,,,,
2014-10-24,compact_directional,110,0.48810681855864246,0.5695598575186027,0.09957544530954678,0.02131138489329804,-0.2587070744097883,,
2014-10-24,compact_transition,110,0.49200876147244826,0.5147703076172176,0.021943362823047888,0.028208331432107155,-0.3245516567466637,0.18362252370590798,-0.37157186581429835
2015-08-28,momentum_13w,111,0.4876825103922625,0.5610656626893594,,,,,
2015-08-28,compact_directional,111,0.5046662670941173,0.5608899231358504,0.12083766294539303,0.012886555818813253,-0.2707440138009221,,
2015-08-28,compact_transition,111,0.5086120969938697,0.5226239535205848,0.08458641554696296,0.01017915844090771,-0.31815944524492323,0.07721613991114991,-0.2239545039496333
2015-11-06,momentum_13w,112,0.5018940288579703,0.5454122270167271,,,,,
