model,transition,n,true_change_rate,mean_p_change,accuracy,mean_abs_error,mean_brier
no_change,calm -> calm,2636,0.0,1.0000000000000002e-06,1.0,1.0000000000000002e-06,1e-12
no_change,mild_stress -> mild_stress,32,0.0,1e-06,1.0,1e-06,1e-12
no_change,acute_crisis -> acute_crisis,30,0.0,1.0000000000000002e-06,1.0,1.0000000000000002e-06,1e-12
no_change,easing_normalization -> easing_normalization,14,0.0,1.0000000000000002e-06,1.0,1.0000000000000002e-06,1e-12
no_change,deterioration -> deterioration,118,0.0,1.0000000000000002e-06,1.0,1.0000000000000002e-06,9.999999999999998e-13
no_change,volatile_rebound -> volatile_rebound,70,0.0,9.999999999999997e-07,1.0,9.999999999999997e-07,9.999999999999998e-13
state_change_logit,acute_crisis -> acute_crisis,30,0.0,0.9097948610788126,0.0,0.9097948610788126,0.8291383179459235
state_change_logit,volatile_rebound -> volatile_rebound,70,0.0,0.8282641138013448,0.0,0.8282641138013448,0.6970971650652997
state_change_logit,easing_normalization -> easing_normalization,14,0.0,0.7616380067849541,0.14285714285714285,0.7616380067849541,0.5997239781892232
state_change_logit,deterioration -> deterioration,118,0.0,0.7380464940201029,0.059322033898305086,0.7380464940201029,0.5592080468424412
state_change_logit,mild_stress -> mild_stress,32,0.0,0.7265597427942119,0.0625,0.7265597427942119,0.5425429100042989
state_change_logit,calm -> deterioration,197,1.0,0.3401851677684303,0.15736040609137056,0.6598148322315697,0.46302330335716013
state_change_logit,calm -> volatile_rebound,104,1.0,0.3810659868561101,0.3173076923076923,0.6189340131438901,0.4148280459554511
state_change_logit,calm -> mild_stress,98,1.0,0.379447756706682,0.24489795918367346,0.620552243293318,0.4144002639194496
state_change_logit,calm -> easing_normalization,53,1.0,0.40481616508517126,0.2830188679245283,0.5951838349148287,0.3796630466955387
state_change_logit,calm -> acute_crisis,21,1.0,0.41166745249687103,0.19047619047619047,0.588332547503129,0.3521054078249196
state_change_logit,deterioration -> calm,141,1.0,0.6372251344477905,0.8156028368794326,0.3627748655522096,0.15352904468578984
state_change_logit,easing_normalization -> calm,67,1.0,0.6471505251114561,0.8059701492537313,0.3528494748885439,0.14421677102570377
state_change_logit,mild_stress -> calm,104,1.0,0.6529767469753269,0.8846153846153846,0.347023253024673,0.13309300033456556
state_change_logit,calm -> calm,2636,0.0,0.3167371935162215,0.840288315629742,0.3167371935162215,0.12597423275644062
state_change_logit,volatile_rebound -> calm,161,1.0,0.6778801329136541,0.9316770186335404,0.3221198670863458,0.11741531123034449
state_change_logit,easing_normalization -> mild_stress,31,1.0,0.7062043043427045,0.9032258064516129,0.2937956956572957,0.10520898834082898
state_change_logit,easing_normalization -> deterioration,53,1.0,0.7125324548535714,0.8490566037735849,0.2874675451464287,0.10262679781037468
state_change_logit,mild_stress -> easing_normalization,36,1.0,0.7383962326002163,0.9444444444444444,0.26160376739978364,0.08328076674721169
state_change_logit,deterioration -> easing_normalization,46,1.0,0.7491265387418696,0.9782608695652174,0.2508734612581304,0.07870813026209801
state_change_logit,mild_stress -> deterioration,63,1.0,0.742488352048362,0.9682539682539683,0.2575116479516378,0.07824891942065254
state_change_logit,easing_normalization -> acute_crisis,12,1.0,0.7554848237808233,1.0,0.2445151762191767,0.07680992921632021
state_change_logit,volatile_rebound -> easing_normalization,39,1.0,0.7626085039628644,0.9487179487179487,0.23739149603713564,0.07477818650032696
state_change_logit,deterioration -> mild_stress,74,1.0,0.7559752280582845,0.9864864864864865,0.24402477194171532,0.07297843242330525
state_change_logit,volatile_rebound -> deterioration,83,1.0,0.7609762158976309,0.963855421686747,0.23902378410236916,0.0721608008863283
state_change_logit,volatile_rebound -> mild_stress,50,1.0,0.7706349177025191,1.0,0.22936508229748095,0.06697543263771237
state_change_logit,mild_stress -> volatile_rebound,55,1.0,0.7787011472454359,0.9818181818181818,0.2212988527545641,0.06020530461764173
state_change_logit,deterioration -> volatile_rebound,128,1.0,0.795467093847074,0.984375,0.20453290615292605,0.05837885904260528
state_change_logit,easing_normalization -> volatile_rebound,26,1.0,0.8063150674226895,1.0,0.19368493257731026,0.05357361883910032
state_change_logit,mild_stress -> acute_crisis,13,1.0,0.8197262931590701,1.0,0.18027370684092994,0.04712694057387505
state_change_logit,volatile_rebound -> acute_crisis,26,1.0,0.8317509613488981,1.0,0.16824903865110186,0.04572440122235865
state_change_logit,deterioration -> acute_crisis,45,1.0,0.8288447472077961,1.0,0.1711552527922038,0.04089522205549762
state_change_logit,acute_crisis -> mild_stress,18,1.0,0.8863127887794645,1.0,0.11368721122053545,0.01712810771473095
state_change_logit,acute_crisis -> volatile_rebound,46,1.0,0.897082463528627,1.0,0.10291753647137311,0.01361331611274876
state_change_logit,acute_crisis -> easing_normalization,15,1.0,0.8899632037697311,1.0,0.11003679623026891,0.01348606866114971
state_change_logit,acute_crisis -> deterioration,38,1.0,0.9068169351789007,1.0,0.09318306482109939,0.01145162142579306
