episode_id,branch_idx,model,n_risk_days,episode_loglik,episode_nll
28,4328,H0_constant,13,-3.7125864448315067,3.7125864448315067
28,4328,H1_duration,13,-3.657189052346667,3.657189052346667
28,4328,HP_downside,13,-4.144058675912642,4.144058675912642
28,4328,H1P_duration_plus_downside,13,-4.123398538704742,4.123398538704742
29,4608,H0_constant,107,-7.264156345381606,7.264156345381606
29,4608,H1_duration,107,-7.560649217516588,7.560649217516588
29,4608,HP_downside,107,-7.247213848424527,7.247213848424527
29,4608,H1P_duration_plus_downside,107,-7.300689060058898,7.300689060058898
30,4628,H0_constant,29,-4.351818051245355,4.351818051245355
30,4628,H1_duration,29,-4.226028674816398,4.226028674816398
30,4628,HP_downside,29,-4.892233292729289,4.892233292729289
30,4628,H1P_duration_plus_downside,29,-4.834012771819388,4.834012771819388
31,4648,H0_constant,12,-3.717077653805403,3.717077653805403
31,4648,H1_duration,12,-3.700004535890361,3.700004535890361
31,4648,HP_downside,12,-3.9698717485338024,3.9698717485338024
31,4648,H1P_duration_plus_downside,12,-3.9652168663814638,3.9652168663814638
32,4682,H0_constant,18,-3.9352921128650857,3.9352921128650857
32,4682,H1_duration,18,-3.84234914405863,3.84234914405863
32,4682,HP_downside,18,-4.222656619080715,4.222656619080715
32,4682,H1P_duration_plus_downside,18,-4.172731647787002,4.172731647787002
33,5625,H0_constant,41,-4.7700293971516565,4.7700293971516565
33,5625,H1_duration,41,-4.657903070581505,4.657903070581505
33,5625,HP_downside,41,-4.957503943627121,4.957503943627121
33,5625,H1P_duration_plus_downside,41,-4.88296907076397,4.88296907076397
34,5725,H0_constant,25,-4.211655369667249,4.211655369667249
34,5725,H1_duration,25,-4.101140894851193,4.101140894851193
34,5725,HP_downside,25,-4.480869473760859,4.480869473760859
34,5725,H1P_duration_plus_downside,25,-4.400192089447275,4.400192089447275
35,6242,H0_constant,101,-6.85066742485761,6.85066742485761
35,6242,H1_duration,101,-7.061342830931951,7.061342830931951
35,6242,HP_downside,101,-7.305304470675199,7.305304470675199
35,6242,H1P_duration_plus_downside,101,-7.407659894434466,7.407659894434466
36,6277,H0_constant,44,-4.870897430480781,4.870897430480781
36,6277,H1_duration,44,-4.727646205302482,4.727646205302482
36,6277,HP_downside,44,-4.938469868903145,4.938469868903145
36,6277,H1P_duration_plus_downside,44,-4.821935018909029,4.821935018909029
37,6424,H0_constant,33,-4.482052960533084,4.482052960533084
37,6424,H1_duration,33,-4.346365543546317,4.346365543546317
37,6424,HP_downside,33,-4.291531967488183,4.291531967488183
37,6424,H1P_duration_plus_downside,33,-4.204295845206825,4.204295845206825
38,6467,H0_constant,18,-4.001653700581414,4.001653700581414
38,6467,H1_duration,18,-3.93210713351124,3.93210713351124
38,6467,HP_downside,18,-4.188567002898752,4.188567002898752
38,6467,H1P_duration_plus_downside,18,-4.136602454150673,4.136602454150673
39,6774,H0_constant,39,-4.676940909074418,4.676940909074418
39,6774,H1_duration,39,-4.512012327531326,4.512012327531326
39,6774,HP_downside,39,-4.740178513991266,4.740178513991266
39,6774,H1P_duration_plus_downside,39,-4.613163798765729,4.613163798765729
40,6833,H0_constant,31,-4.41784883682956,4.41784883682956
40,6833,H1_duration,31,-4.249494430848917,4.249494430848917
40,6833,HP_downside,31,-4.510303452135938,4.510303452135938
40,6833,H1P_duration_plus_downside,31,-4.37074050165089,4.37074050165089
41,6896,H0_constant,17,-3.9669160429011074,3.9669160429011074
41,6896,H1_duration,17,-3.8947447111777724,3.8947447111777724
41,6896,HP_downside,17,-4.077596642094182,4.077596642094182
41,6896,H1P_duration_plus_downside,17,-4.010530598917289,4.010530598917289
42,7263,H0_constant,18,-3.994144656557656,3.994144656557656
42,7263,H1_duration,18,-3.905208809908809,3.905208809908809
42,7263,HP_downside,18,-4.18663274253645,4.18663274253645
42,7263,H1P_duration_plus_downside,18,-4.0862763567516245,4.0862763567516245
43,7308,H0_constant,25,-4.220179552046505,4.220179552046505
43,7308,H1_duration,25,-4.058897346714537,4.058897346714537
