episode_id,branch_idx,branch_date,event_day,event_idx,event_type,day_in_state,event_today,y_recovery,cumulative_return,distance_to_recovery,distance_to_relapse,downside_shock_pressure
24,3947,2008-12-30,32,3979,relapse,17,0,0,-0.05945805630704659,0.7873835902387758,0.212616409761224,0.323420089093142
24,3947,2008-12-30,32,3979,relapse,18,0,0,-0.04990449439045219,0.7315669214089593,0.26843307859104054,0.024510661409737775
24,3947,2008-12-30,32,3979,relapse,19,0,0,-0.017758191500376053,0.5437522028586267,0.4562477971413732,0.02206461614001737
24,3947,2008-12-30,32,3979,relapse,20,0,0,-0.049679422254832684,0.7302519378492808,0.26974806215071917,0.09446275595345377
24,3947,2008-12-30,32,3979,relapse,21,0,0,-0.06901161822364077,0.8432002590685911,0.15679974093140878,0.12855442955529692
24,3947,2008-12-30,32,3979,relapse,22,0,0,-0.07182201895707585,0.8596200204504421,0.14037997954955778,0.13968236311095417
24,3947,2008-12-30,32,3979,relapse,23,0,0,-0.05878434038109215,0.7834474061168041,0.2165525938831957,0.13725088649849393
24,3947,2008-12-30,32,3979,relapse,24,0,0,-0.0633923172376748,0.8103695028619539,0.18963049713804594,0.1396756939035855
24,3947,2008-12-30,32,3979,relapse,25,0,0,-0.049454350119213286,0.7289369542896027,0.2710630457103972,0.04393799097417692
24,3947,2008-12-30,32,3979,relapse,26,0,0,-0.022378172204191582,0.5707444320602918,0.42925556793970815,0.002982102559690608
24,3947,2008-12-30,32,3979,relapse,27,0,0,-0.02101873650504993,0.5628019313598338,0.43719806864016614,0.002256504846380633
24,3947,2008-12-30,32,3979,relapse,28,0,0,-0.06586510976768067,0.8248167889042872,0.17518321109571255,0.1809908563698811
24,3947,2008-12-30,32,3979,relapse,29,0,0,-0.06035684436862021,0.7926347579204243,0.20736524207957563,0.17857623438761747
24,3947,2008-12-30,32,3979,relapse,30,0,0,-0.05968312844266588,0.7886985737984532,0.21130142620154665,0.19472169030594264
24,3947,2008-12-30,32,3979,relapse,31,0,0,-0.06979937069830888,0.8478027015274653,0.1521972984725345,0.20298196492103238
24,3947,2008-12-30,32,3979,relapse,32,1,0,-0.10958762283311807,1.0802654952074124,-0.08026549520741269,0.31878360969511293
25,3999,2009-03-17,17,4016,recovery,1,0,1,0.0223828095651164,0.3339211277568931,0.6660788722431068,0.000622215382203853
25,3999,2009-03-17,17,4016,recovery,2,0,1,0.009721188194553587,0.39392836285627014,0.6060716371437298,0.011134965423347881
25,3999,2009-03-17,17,4016,recovery,3,0,1,-0.011775393253054989,0.49580713327650866,0.5041928667234913,0.041457449493007836
25,3999,2009-03-17,17,4016,recovery,4,0,1,0.05920823457894775,0.15939435335997143,0.8406056466400285,0.03320821057913467
25,3999,2009-03-17,17,4016,recovery,5,0,1,0.03833833081751559,0.2583031095817637,0.7416968904182362,0.05752854423747712
