run_tag,scalar,lookback,delta_min,delta_max,split,task,raw_rmse,raw_plus_rydberg_rmse,delta_rmse,raw_corr,raw_plus_rydberg_corr,delta_corr,raw_precision,raw_plus_rydberg_precision,delta_precision,raw_recall,raw_plus_rydberg_recall,delta_recall,raw_f1,raw_plus_rydberg_f1,delta_f1,raw_average_precision,raw_plus_rydberg_average_precision,delta_average_precision,raw_roc_auc,raw_plus_rydberg_roc_auc,delta_roc_auc,rydberg_only_rmse,rydberg_only_corr,rydberg_only_f1,rydberg_only_average_precision,rydberg_only_roc_auc
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,val,q90_warning,,,,,,,0.0526315789473684,0.125,0.07236842105263161,0.03125,0.0625,0.03125,0.0392156862745098,0.0833333333333333,0.0441176470588235,0.0824749892914194,0.0758711007792891,-0.006603888512130299,0.7414973498233215,0.668258613074205,-0.07323873674911652,,,0.0120481927710843,0.0242648710915868,0.4625662544169611
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,val,q95_crisis,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,val,regression,0.0534271915434915,0.0533110788815484,-0.0001161126619430991,0.5335705690918268,0.5301587821974485,-0.003411786894378266,,,,,,,,,,,,,,,,0.0727063210397297,0.1316895837151772,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,test,q90_warning,,,,,,,0.4529411764705882,0.4351145038167939,-0.017826672653794284,0.5923076923076923,0.4384615384615384,-0.1538461538461539,0.5133333333333333,0.4367816091954023,-0.07655172413793099,0.5290705175862221,0.502547367752027,-0.026523149834195126,0.8380970093736052,0.8466225264097605,0.008525517036155339,,,0.2983050847457627,0.2908082404802111,0.6717824728463027
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,test,q95_crisis,,,,,,,0.4264705882352941,0.16,-0.2664705882352941,0.5686274509803921,0.0784313725490196,-0.49019607843137253,0.4873949579831932,0.1052631578947368,-0.38213180008845643,0.5690479189602731,0.0916506773591132,-0.47739724160115987,0.7472825608230713,0.5586737839790004,-0.18860877684407096,,,0.02,0.0357078851100564,0.4011239716012191
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,test,regression,0.0970798996818297,0.0975277783199714,0.0004478786381417049,0.6094008928922269,0.6053511216638299,-0.004049771228397003,,,,,,,,,,,,,,,,0.1194349754166988,0.2049225467210429,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,train,q90_warning,,,,,,,0.6040515653775322,0.6169429097605893,0.012891344383057057,0.6040515653775322,0.6169429097605893,0.012891344383057057,0.6040515653775322,0.6169429097605893,0.012891344383057057,0.6644328124491512,0.7129775571345652,0.04854474468541403,0.9132923095942932,0.9554045873917962,0.04211227779750304,,,0.3333333333333333,0.3160336162888644,0.8054851347368247
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,train,q95_crisis,,,,,,,0.5845588235294118,0.5955882352941176,0.011029411764705843,0.5845588235294118,0.5955882352941176,0.011029411764705843,0.5845588235294118,0.5955882352941176,0.011029411764705843,0.6164070119190418,0.670736346024618,0.054329334105576166,0.918731963407818,0.9729764797134676,0.054244516305649526,,,0.2867647058823529,0.2469907136029689,0.8867202203743626
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,train,regression,0.0609667077565228,0.0592718913849303,-0.0016948163715924947,0.7899746046380782,0.8032262136738753,0.01325160903579703,,,,,,,,,,,,,,,,0.0913642204669807,0.3949845917950186,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,val,q90_warning,,,,,,,0.0526315789473684,0.2142857142857142,0.1616541353383458,0.03125,0.1875,0.15625,0.0392156862745098,0.2,0.1607843137254902,0.0828398521369542,0.1048753429582671,0.022035490821312897,0.7423740053050398,0.6702309902740937,-0.07214301503094611,,,0.0422535211267605,0.0344009824936754,0.5676945181255526
