episode_id,start_idx,branch_idx,end_idx,start_date,branch_date,end_date,candidate_days,calendar_rows,rv_20d,branch_stress_cut,drawdown_120d,rv_ratio_5_20_branch,rv_5d_change_5d_branch,return_5d_branch,worst_return_5d_in_prior_window,outcome,forward_return_h,worst_forward_drawdown_h,vol_scaled_move_unit,outcome_complete,outcome_horizon,har_future_rv20_pred,actual_future_rv20,har_log_residual_actual
49,14500,14500,14512,2007-08-21,2007-08-21,2007-09-07,2,13,0.2444826176636042,0.1390076528652344,-0.0682256959948615,0.8197454875462141,-0.0687326492345867,0.0143234117171546,-0.0625438655971164,recovery,0.0650395236295284,-0.0101995755814497,0.0974042063721673,True,40,0.17903360070353902,0.2013004360055477,0.11722499694008344
50,14608,14608,14624,2008-01-25,2008-01-25,2008-02-19,12,17,0.2380436080814946,0.1396930516694688,-0.1498514745577208,0.9275779995791626,-0.0841131081268039,-0.0019820978033955,-0.0776037895787551,mixed,0.0168193573843498,-0.0430178571215603,0.0948388435493954,True,40,0.199127864609319,0.1955183442429616,-0.018292946643767488
51,14776,14776,14777,2008-09-24,2008-09-24,2008-09-25,2,2,0.4105657823492482,0.1407229009575014,-0.1687613529377588,1.2384890154439825,-0.0013480384602311,0.0251735820452951,-0.0633682675590394,relapse,-0.3198411120856991,-0.3198411120856991,0.1635733230258597,True,40,0.3068879916193977,0.8327511723981296,0.9982520520674227
52,14801,14801,14812,2008-10-29,2008-10-29,2008-11-13,7,12,0.842986912889649,0.1409719688878608,-0.3480509847177446,0.9622281112934596,0.1420190180683942,0.0364707818708529,-0.2026070969195039,mixed,-0.0615962298361495,-0.1910030419471086,0.3358540251933962,True,40,0.5428107578902294,0.6847202266432093,0.2322495795578339
53,14822,14822,14837,2008-11-28,2008-11-28,2008-12-19,12,16,0.6795764165993466,0.1411418530115145,-0.3410678455291011,0.9929427744544376,-0.0833456577402205,0.1748869608847787,-0.1915398915260082,mixed,-0.0247143216328852,-0.1015576413940728,0.2707497251161625,True,40,0.5501478513049732,0.4999807146352863,-0.09561753570634757
54,14843,14843,14863,2008-12-30,2008-12-30,2009-01-29,8,21,0.3834957865860775,0.1413116063306678,-0.3176845131490807,0.5082094887758678,-0.2195911938866916,0.0215752943290139,-0.056332962833502,relapse,-0.1746496735320937,-0.1746496735320937,0.1527883785622922,True,40,0.37045864836713727,0.3853345630434934,0.0393701236863287
55,14868,14868,14870,2009-02-05,2009-02-05,2009-02-09,3,3,0.3672806830201507,0.1415033393928022,-0.3496863635506178,0.6406595043607997,-0.1125907852937234,0.0008396986183427,-0.077676533175004,relapse,-0.0039604843443034,-0.2001772786855862,0.146328126667187,True,40,0.30936704904128853,0.4253006438266965,0.31826788315206955
56,14895,14895,14907,2009-03-17,2009-03-17,2009-04-02,6,13,0.4398387990131366,0.1417282699174334,-0.3586588454416634,0.8343689484487181,-0.1988357462033482,0.0781852795053668,-0.1064711239486868,recovery,0.135968730346063,-0.0123117477380862,0.1752359720252603,True,40,0.33761545180080693,0.3966847023536952,0.16123423329581982
57,15124,15124,15125,2010-02-11,2010-02-11,2010-02-12,2,2,0.2042723733088969,0.1432875950069826,-0.0623875320450096,0.6532378062256409,-0.1410874728147811,0.0143447819411326,-0.0517953222989477,recovery,0.1094235472209639,-0.0027445928193718,0.0813840615584763,True,40,0.16163432997309515,0.1120049345583698,-0.36679363259615194
58,15197,15197,15213,2010-05-27,2010-05-27,2010-06-21,10,17,0.322197417379829,0.1433902674066796,-0.0938321240422392,0.8447624149452555,-0.0587437843521507,0.0289446941016944,-0.0770671242497211,mixed,0.0108334546961201,-0.0729607067873595,0.1283665237020087,True,40,0.23070711320608484,0.2428681406040534,0.051369666956532924
59,15224,15224,15241,2010-07-07,2010-07-07,2010-07-30,11,18,0.2284235223777896,0.1437065931177611,-0.1289842977678005,1.038251819468855,-0.0189240300475951,0.0181113098588401,-0.0577996951996038,mixed,0.0188820009643402,-0.0123082314766331,0.091006109663623,True,40,0.21776840461296182,0.1894251155794149,-0.13943835594307652
60,15504,15504,15518,2011-08-15,2011-08-15,2011-09-02,10,15,0.4427750963016974,0.1442945926688584,-0.1166902536843506,1.3147614709444893,-0.0469363599487591,0.0732098414429947,-0.1394208706635451,mixed,-0.0074304902858789,-0.0873896924167406,0.17640582086686,True,40,0.36595139626954115,0.3098653545021529,-0.16636266469481784
61,15524,15524,15537,2011-09-13,2011-09-13,2011-09-30,6,14,0.3098653545021529,0.1444816642238866,-0.1398786986626523,0.9652140506957124,0.088050114355407,0.0065266664232597,-0.0693226842251544,recovery,0.0878614418112289,-0.0627861697843841,0.1234533122475057,True,40,0.2599256059080708,0.3080113526717601,0.16974118266877977
62,15544,15544,15555,2011-10-11,2011-10-11,2011-10-26,12,12,0.3080113526717601,0.1446491000646791,-0.1232536781737713,0.9876162506224472,-0.0486176932304399,0.0617487757809103,-0.0680563114252459,mixed,0.0547618386369261,-0.0308396154980301,0.1227146602376911,True,40,0.2796865432180926,0.2700898005767936,-0.034914989137244175
63,15578,15578,15594,2011-11-29,2011-11-29,2011-12-21,5,17,0.2717322444926197,0.1448838529246111,-0.1167807398044558,0.963199005574736,0.0434447570216881,0.0018507573921544,-0.0626544088987293,recovery,0.1013562869395514,0.0085007694824918,0.1082607175654091,True,40,0.23501031448087778,0.2358530763767186,0.0035796488413631657
64,16521,16521,16535,2015-08-31,2015-08-31,2015-09-21,13,15,0.2721227142794149,0.1440856064277207,-0.0744502161417047,1.2509755707507126,-0.0608732458170935,0.0408657766744582,-0.1158100334747969,mixed,0.0475158638233152,-0.0458426876438426,0.1084162844521618,True,40,0.23659365955610606,0.2165484249317135,-0.08852995885666382
