family,model,n_oos,future_rv_rmse,future_rv_mae,qlike,mz_intercept,mz_slope,har_residual_rmse,residual_r2_vs_har,outcome
generic,reset_esn_seed2,15,0.1705728986325778,0.11003005050639399,0.1503299204829358,0.09402000689503777,1.0247764554445753,0.47692557639898714,0.14625740167497248,relapse
volatility_failure,full_path_linear,25,0.10696361485666604,0.06758672063813194,0.03365241934080425,0.0640812916895603,0.6341483807013542,0.27918186780602045,-0.27917938866866865,mixed
volatility_failure,full_path_linear,22,0.07365729057981638,0.05556403314070413,0.06368945338781161,0.09368387178483266,0.4598956584735557,0.3631312788824416,-0.36743622661292163,recovery
volatility_failure,full_path_linear,15,0.16626909417318145,0.10433022903298242,0.14418832171082077,0.041996044198630234,1.2439719176903639,0.46840129260397245,0.17650324004870188,relapse
volatility_failure,har_zero_residual,25,0.09391548754156744,0.05773885318687978,0.026890127841287016,0.06339125491963955,0.6942695509119902,0.24684337853969526,0.0,mixed
volatility_failure,har_zero_residual,22,0.059139820247427824,0.04564605150856627,0.048997925096233484,0.06893712514698372,0.6305651867725928,0.3105346871848671,0.0,recovery
volatility_failure,har_zero_residual,15,0.17778940793299058,0.1171866974299599,0.17847830133760814,0.05236411325280868,1.3023541610752007,0.5161633180561049,0.0,relapse
volatility_failure,reset_esn_ensemble,25,0.10202732483676098,0.06557136514890538,0.031109243715514944,0.06016719576069455,0.6605856100854517,0.26836974065767205,-0.18201810601637702,mixed
volatility_failure,reset_esn_ensemble,22,0.06427504561047628,0.04862929123369497,0.05495938984263646,0.07135379565512412,0.576602615537313,0.3372550893185369,-0.1794968544826252,recovery
volatility_failure,reset_esn_ensemble,15,0.16996058430029615,0.10875362542875584,0.15053973947427784,0.08590929645333194,1.0680150326943747,0.47718038512577954,0.14534489377656878,relapse
volatility_failure,reset_esn_seed0,25,0.10395785327458533,0.06642597612635653,0.03174299058551077,0.062103878168589324,0.6521965108982166,0.2713463375826668,-0.20838399510387173,mixed
volatility_failure,reset_esn_seed0,22,0.0645712855231251,0.04892883691064778,0.054773843009436655,0.07336442726269633,0.5684162686939653,0.33677610896364546,-0.17614891604811755,recovery
volatility_failure,reset_esn_seed0,15,0.170552975090387,0.10955187230760162,0.1523756745536522,0.08447845769983085,1.079905473237039,0.4800317262030828,0.13510057508090278,relapse
volatility_failure,reset_esn_seed1,25,0.10020039304373621,0.06471486279059917,0.03070534673588389,0.057599329355032806,0.6699841148540735,0.26637584826594435,-0.1645193988664191,mixed
volatility_failure,reset_esn_seed1,22,0.06377901144413912,0.04835214194845067,0.05492345495114584,0.06883413660008186,0.5873765977323,0.33667049183171094,-0.1754113221794107,recovery
volatility_failure,reset_esn_seed1,15,0.169587685082431,0.10784922702389377,0.14886349181279013,0.08983841058939719,1.0449030142581628,0.47431114054581586,0.15559192877647032,relapse
volatility_failure,reset_esn_seed2,25,0.10206191954721525,0.06560132962857021,0.03098325524203265,0.060939756570956065,0.6590815899873639,0.2678289113899583,-0.1772588075640784,mixed
volatility_failure,reset_esn_seed2,22,0.06454922027547995,0.04874355797222476,0.05526391565656459,0.07209470872639488,0.5728653289270109,0.3385985290602655,-0.18891251079479865,recovery
volatility_failure,reset_esn_seed2,15,0.16976283167547893,0.10884336468801882,0.15050823744978953,0.08367841566198268,1.0781494526291344,0.4773682506177677,0.14467180739992447,relapse
