episode_id,branch_idx,branch_date,event_day,event_type,resolved_within_followup,upper_barrier,lower_barrier
26,5281,1970-06-18,,,False,0.05987767980362668,-0.07620795611370668
27,5357,1970-10-06,41.0,relapse,True,0.0392582625002135,-0.049965061363908075
28,5579,1971-08-27,78.0,recovery,True,0.10824046938931466,-0.13776059740458227
29,5938,1973-02-09,5.0,recovery,True,0.06017117182271377,-0.07658149141072661
30,5959,1973-03-12,24.0,relapse,True,0.0623106278738809,-0.07930443547584841
31,5993,1973-05-01,51.0,recovery,True,0.06377570348890162,-0.08116907716769296
32,6101,1973-10-02,36.0,relapse,True,0.04429238143450014,-0.05637212182572744
33,6135,1973-11-20,13.0,relapse,True,0.041432879866355764,-0.05273275619354369
34,6163,1974-01-04,20.0,recovery,True,0.06822198662618562,-0.08682798297878168
35,6313,1974-08-12,8.0,relapse,True,0.039676909974309775,-0.0504978854218488
36,6341,1974-09-20,7.0,relapse,True,0.0445084062285522,-0.05664706247270279
37,6370,1974-11-05,16.0,recovery,True,0.08991756150591204,-0.11444053282570621
38,6415,1975-01-14,10.0,recovery,True,0.0387547649574227,-0.04932424630944707
39,6599,1975-10-08,12.0,recovery,True,0.042163036711285566,-0.05366204672345436
40,7129,1977-12-02,56.0,recovery,True,0.04879615084260517,-0.062104191981497484
41,8088,1981-10-06,20.0,recovery,True,0.056879395679119274,-0.07239195813706088
42,8114,1981-11-11,90.0,relapse,True,0.0664752848967728,-0.0846049080504381
43,8208,1982-03-23,30.0,recovery,True,0.046893100865915714,-0.05968212837480181
44,8776,1984-05-25,66.0,recovery,True,0.041933032809515075,-0.05336931448483736
45,8825,1984-08-02,2.0,recovery,True,0.033984393600166696,-0.043252864582030336
46,9382,1986-09-23,18.0,relapse,True,0.04345850202450136,-0.05531082075845627
47,9408,1986-10-29,10.0,recovery,True,0.053310123497968556,-0.0678492480883236
48,9584,1987-07-13,7.0,relapse,True,0.04457078203947635,-0.056726449868424435
49,9658,1987-10-27,107.0,recovery,True,0.15936637586454327,-0.2028299329185096
50,9709,1988-01-14,19.0,recovery,True,0.05799373816471395,-0.07381021220963592
51,10236,1990-03-05,10.0,relapse,True,0.05612819945596692,-0.07143589021668516
52,10260,1990-04-09,87.0,relapse,True,0.10012983571742752,-0.1274379727312714
53,10360,1990-08-30,19.0,relapse,True,0.11159125342407038,-0.142025231630635
54,10387,1990-10-09,98.0,recovery,True,0.12774633664173562,-0.16258624663493623
55,10417,1990-11-22,51.0,recovery,True,0.06673159522525009,-0.08493112119577283
56,10442,1991-01-04,29.0,recovery,True,0.06259510699563978,-0.07966649981263244
57,10559,1991-06-26,8.0,relapse,True,0.04000297095447316,-0.05091287212387492
58,10602,1991-08-26,14.0,recovery,True,0.06819445351586956,-0.08679294083837942
59,10664,1991-11-26,4.0,relapse,True,0.035777354408726564,-0.04553481470201562
60,10686,1991-12-27,49.0,relapse,True,0.06693851497978576,-0.08519447361063641
61,10722,1992-02-25,22.0,relapse,True,0.04990505337846435,-0.06351552248168188
62,10760,1992-04-20,14.0,recovery,True,0.0960341824180342,-0.12222532307749806
63,10781,1992-05-22,17.0,relapse,True,0.06281858443475291,-0.07995092564423095
64,10807,1992-06-30,9.0,recovery,True,0.06030325211754799,-0.07674959360415197
65,10830,1992-07-31,12.0,relapse,True,0.07347891790303586,-0.09351862278568199
66,10850,1992-08-28,,,False,0.09571901905699362,-0.12182420607253731
67,10877,1992-10-08,107.0,recovery,True,0.06344716739948103,-0.08075094032661222
68,10910,1992-11-26,37.0,relapse,True,0.051618559366643675,-0.06569634828481921
69,10939,1993-01-12,17.0,recovery,True,0.035659821067114635,-0.045385226812691346
70,11052,1993-06-29,22.0,recovery,True,0.04126376493487327,-0.05251751900802051
71,11166,1993-12-13,19.0,recovery,True,0.08054163758436016,-0.1025075387437311
72,11212,1994-02-21,72.0,recovery,True,0.08875428006348084,-0.1129599928080665
73,11444,1995-01-30,20.0,relapse,True,0.05717036512552514,-0.07276228288703199
74,11469,1995-03-06,11.0,relapse,True,0.05068371149341481,-0.06450654190070974
75,11493,1995-04-10,43.0,relapse,True,0.07011427367801272,-0.08923634831747071
76,11528,1995-06-01,8.0,relapse,True,0.04459663420072859,-0.0567593526191091
77,11551,1995-07-04,3.0,recovery,True,0.04812431308845866,-0.06124912574894738
78,11891,1996-11-14,25.0,relapse,True,0.0360719419280402,-0.04590974427205116
79,11933,1997-01-22,69.0,recovery,True,0.07857304292167128,-0.10000205462758162
80,11967,1997-03-12,33.0,recovery,True,0.04028435779974997,-0.051271000836045404
81,12076,1997-08-18,21.0,relapse,True,0.0473312968346018,-0.060239832334947736
82,12100,1997-09-22,21.0,relapse,True,0.045057945231549996,-0.05734647574924544
83,12129,1997-11-05,32.0,relapse,True,0.06784435576766512,-0.08634736188611924
84,12153,1997-12-10,,,False,0.1103329422041845,-0.14042374462350754
85,12233,1998-04-09,17.0,relapse,True,0.06324803332742109,-0.08049749696217227
86,12254,1998-05-13,35.0,recovery,True,0.04264998690265363,-0.05428180151246825
87,12286,1998-06-26,3.0,recovery,True,0.051960450255873196,-0.0661314821438386
88,12327,1998-08-25,3.0,relapse,True,0.04134825594327184,-0.052625053018709615
89,12347,1998-09-24,112.0,recovery,True,0.08634814629900073,-0.10989764074418273
90,12407,1998-12-21,8.0,relapse,True,0.04326151498081993,-0.055060109975588994
91,12509,1999-05-26,11.0,recovery,True,0.04694345163365827,-0.059746211170110516
92,12740,2000-05-01,12.0,relapse,True,0.07151328835101722,-0.09101691244674918
93,12775,2000-06-22,25.0,relapse,True,0.04532006413891297,-0.05768008163134378
94,12809,2000-08-10,11.0,recovery,True,0.04927788159130246,-0.06271730384347585
95,12836,2000-09-19,20.0,relapse,True,0.0416176985370821,-0.05296797995628631
96,12866,2000-11-01,34.0,relapse,True,0.05113149133081123,-0.06507644351194156
97,12905,2000-12-28,40.0,relapse,True,0.060240015592338006,-0.07666911075388472
98,12951,2001-03-09,2.0,relapse,True,0.04842064092353789,-0.06162627026632095
99,12976,2001-04-16,81.0,relapse,True,0.10076616344890327,-0.12824784438951323
100,13000,2001-05-23,9.0,relapse,True,0.04822266857830794,-0.061374305463301006
101,13021,2001-06-21,12.0,relapse,True,0.04173351137394251,-0.05311537811229046
102,13045,2001-07-26,24.0,relapse,True,0.057000754571940974,-0.07254641490974305
103,13067,2001-08-27,10.0,relapse,True,0.06711741241369609,-0.08542216125379502
104,13087,2001-09-25,12.0,recovery,True,0.09540414045820021,-0.1214234514922548
105,13116,2001-11-06,56.0,relapse,True,0.05814885573472513,-0.07400763457146833
106,13136,2001-12-05,37.0,relapse,True,0.07087761051337871,-0.09020786792611835
107,13166,2002-01-24,9.0,relapse,True,0.049964833130674846,-0.06359160580267706
108,13217,2002-04-09,9.0,recovery,True,0.05358382004293719,-0.06819758914555642
109,13275,2002-07-03,17.0,relapse,True,0.06787531708169046,-0.08638676719487876
110,13300,2002-08-07,39.0,relapse,True,0.06813432522418378,-0.08671641392168844
111,13325,2002-09-11,16.0,relapse,True,0.05222702219834761,-0.06647075552516966
112,13348,2002-10-17,93.0,relapse,True,0.06537444474624707,-0.08320383876795079
113,13373,2002-11-22,68.0,relapse,True,0.05482996121313456,-0.06978358699853489
114,13394,2002-12-24,49.0,relapse,True,0.044857944278717685,-0.05709192908200432
115,13420,2003-02-05,22.0,relapse,True,0.04293753131601821,-0.05464776712947772
116,13450,2003-03-20,26.0,relapse,True,0.04948538146681914,-0.06298139459413345
117,13470,2003-04-18,27.0,recovery,True,0.055528712713395566,-0.07067290708977617
118,13621,2003-11-27,26.0,recovery,True,0.06571229000995467,-0.0836338236490332
119,13736,2004-05-20,19.0,recovery,True,0.06648117124707861,-0.08461239976900913
120,13966,2005-04-25,38.0,recovery,True,0.04067569310707065,-0.05176906395445355
121,14249,2006-06-20,10.0,recovery,True,0.06393790453923426,-0.08137551486811631
122,14273,2006-07-25,14.0,recovery,True,0.05271429003067378,-0.06709091458449389
123,14542,2007-08-24,31.0,recovery,True,0.06545444806337926,-0.08330566117157359
124,14564,2007-09-27,30.0,relapse,True,0.05456533905927247,-0.06944679516634678
125,14604,2007-11-26,9.0,recovery,True,0.04922256693431504,-0.0626469033709464
126,14643,2008-01-29,33.0,relapse,True,0.09529721407301306,-0.12128736336565296
127,14681,2008-03-25,23.0,recovery,True,0.0765166575510536,-0.0973848368831591
128,14730,2008-06-05,19.0,relapse,True,0.049971991659040746,-0.06360071665696093
129,14752,2008-07-07,40.0,relapse,True,0.04198991147106298,-0.0534417055086256
130,14806,2008-09-24,7.0,relapse,True,0.07456464810745275,-0.09490046122766713
