sample_id,label,index,episode_id,era,split,event_onset,origin_date,lead,level,mean5,mean20,slope5,slope20,std20,max20,target_x_h1,target_x_h2,target_x_h3,target_x_h4,target_x_h5,target_x_h6,target_x_h7,target_x_h8,target_x_h9,target_x_h10,matched_positive_id,match_distance,control_reused_across_leads
N_P_E003_FTSE_L1_3,0,FTSE,E003,train,train,2008-01-15,2007-09-28,1,-4.798523867199327,-4.89995808402219,-4.66675768439186,0.06036605965765634,-0.0075086479353856945,0.4417808118412109,-3.839342534900629,-4.727287218163619,-4.944794077093583,-5.425321529282359,-4.841625406169194,-5.2545884856685445,-5.130885107004856,-4.718190475148955,-5.492971655771574,-4.741237020512992,-5.060604389793694,P_E003_FTSE_L1,0.6765425310783159,False
N_P_E010_FTSE_L1_1,0,FTSE,E010,train,train,2010-05-04,2010-01-25,1,-4.730921779031043,-4.480738618732442,-4.954853957547513,-0.05804932995100586,0.04613088334710635,0.3841718119311575,-4.185471462432838,-4.961010535743071,-4.6385616099708145,-4.165705371128737,-4.627210985485594,-4.607453652446786,-4.68361065816404,-4.864870511844768,-4.1354828450327386,-4.385498996810356,-4.598230429669465,P_E010_FTSE_L1,0.7105734275017381,False
N_P_E010_FTSE_L1_2,0,FTSE,E010,train,train,2010-05-04,2012-04-17,1,-4.3546283317500025,-4.667729709160761,-4.849410287931889,0.019635932844717194,0.03522065042366816,0.40441665223147316,-4.140461522875931,-5.198398345237531,-5.181216432426146,-5.225828758621065,-4.257962971967948,-5.136082041855307,-5.429670686416542,-4.922551041804415,-4.771620309388113,-5.00828850241682,-4.707198498640272,P_E010_FTSE_L1,0.7179946822883663,False
N_P_E010_FTSE_L1_3,0,FTSE,E010,train,train,2010-05-04,2007-08-07,1,-4.465040258241594,-4.571020099197681,-4.752318506332271,-0.050878959050927625,0.03741996935271116,0.4385093287481154,-3.858623862671045,-4.687417104103422,-4.148489430958525,-3.7841416187751817,-3.9362508223484727,-4.353832257046076,-4.601687549119796,-3.6835463725372337,-3.4615151961642816,-4.631034556317106,-4.754811587518232,P_E010_FTSE_L1,0.8781348271641424,False
N_P_E011_FTSE_L1_1,0,FTSE,E011,train,train,2011-08-01,2014-03-12,1,-4.843290228020501,-5.104164479173545,-5.126488431554545,0.1349315205837049,0.01625326037851649,0.406435133058567,-4.399913112916266,-4.935044029992951,-5.31560133527326,-5.131981614926588,-4.76564773844205,-5.550826885494006,-4.906099064391453,-5.765644678399582,-5.159415913404303,-4.862273609896213,-5.575246461831147,P_E011_FTSE_L1,0.5543670540293691,False
N_P_E011_FTSE_L1_2,0,FTSE,E011,train,train,2011-08-01,2012-11-09,1,-4.901484599110861,-5.034231307482801,-5.178247523866132,0.1204722598666697,0.026065161290817988,0.4016906377665923,-4.299552818513633,-5.6680559022779295,-4.845642756807544,-4.96803910970258,-5.291800008656418,-4.803273835326663,-4.254299840225146,-5.3539016011171086,-5.691969388768988,-5.376909476286147,-5.282669425502732,P_E011_FTSE_L1,0.5917401077061661,False
N_P_E011_FTSE_L1_3,0,FTSE,E011,train,train,2011-08-01,2014-10-13,1,-4.735080466888483,-4.869674304390912,-5.055470229092054,0.14430361668829006,0.030792011037317022,0.3801314569632506,-4.453551553385097,-4.669951923594034,-3.9950871095298455,-3.890121677859452,-4.422521387220369,-4.851738688927189,-4.2959350414710356,-5.17312308789471,-4.50732910926011,-5.429109175436064,-4.592992924741257,P_E011_FTSE_L1,0.7734914033576452,False
N_P_E014_FTSE_L1_1,0,FTSE,E014,train,train,2015-08-21,2013-04-18,1,-5.300617012821804,-5.1052403511010676,-5.082932456942199,0.04737364077539868,0.0011450059982518108,0.36284474013736595,-4.368792142525826,-5.445480477980702,-4.839416750177166,-4.4154848109273415,-5.521545036361313,-5.269675334852101,-5.510909626584302,-5.622830339316563,-5.027337030260283,-5.451999341702062,-5.1770397135860735,P_E014_FTSE_L1,0.46012220199313647,True
N_P_E014_FTSE_L1_2,0,FTSE,E014,train,train,2015-08-21,2013-04-12,1,-5.402764886820765,-5.303436677250911,-5.089840620552996,0.024249771746778802,-0.0024165284546325953,0.3442798290147538,-4.368792142525826,-4.830486159894433,-5.431288195829967,-4.56104550013837,-5.300617012821804,-5.445480477980702,-4.839416750177166,-4.4154848109273415,-5.521545036361313,-5.269675334852101,-5.510909626584302,P_E014_FTSE_L1,0.5831519354311803,False
N_P_E014_FTSE_L1_3,0,FTSE,E014,train,train,2015-08-21,2012-02-14,1,-5.421949635388362,-5.264300599106777,-5.08453306393231,0.03245368325154658,-0.007853343879445031,0.35605611467196546,-4.421991655413052,-5.428052565511887,-5.043117217425805,-5.549475187780701,-5.260871302798904,-5.7242965694746095,-5.425812038998077,-5.246404250599117,-5.548194030962962,-4.95451364476767,-5.583998225395402,P_E014_FTSE_L1,0.5864858893176489,False
N_P_E016_FTSE_L1_1,0,FTSE,E016,test,test,2016-01-14,2020-08-19,1,-4.97656200506615,-4.675580728494536,-4.700832532773559,-0.09569688759675213,0.01452191969668604,0.49417567232069703,-3.816403111217272,-4.590869503031886,-4.734126781878464,-4.449542066255659,-4.274896015857903,-5.142412964816752,-5.078945715323942,-4.952272039741344,-4.191803701065354,-4.471392058251634,-4.131451476510484,P_E016_FTSE_L1,1.0187172829533444,False
N_P_E016_FTSE_L1_2,0,FTSE,E016,test,test,2016-01-14,2020-08-20,1,-4.590869503031886,-4.653981847282628,-4.68090262921442,-0.08573959668328959,0.011535424730391302,0.489941992635399,-3.816403111217272,-4.734126781878464,-4.449542066255659,-4.274896015857903,-5.142412964816752,-5.078945715323942,-4.952272039741344,-4.191803701065354,-4.471392058251634,-4.131451476510484,-4.34818199282306,P_E016_FTSE_L1,1.0630024507882025,False
N_P_E016_FTSE_L1_3,0,FTSE,E016,test,test,2016-01-14,2020-08-17,1,-4.860031851892662,-4.445853372491776,-4.725026704208457,-0.13061236058361447,0.02739607751056275,0.5023272800456918,-3.816403111217272,-4.622009280220256,-4.97656200506615,-4.590869503031886,-4.734126781878464,-4.449542066255659,-4.274896015857903,-5.142412964816752,-5.078945715323942,-4.952272039741344,-4.191803701065354,P_E016_FTSE_L1,1.123107950657546,False
N_P_E018_FTSE_L1_1,0,FTSE,E018,test,test,2020-02-24,2022-04-06,1,-5.086701325132125,-5.320491108419406,-5.085255153376008,0.0519763669543789,-0.044703812202971066,0.43429212701949577,-4.305163723789903,-5.27865885444451,-4.678615499088595,-5.392748067077127,-5.122024872198997,-5.594185410771073,-5.181100245335425,-5.36611612637767,-5.592210971316003,-5.3519140287081415,-4.77572824005011,P_E018_FTSE_L1,0.6257848279366188,False
N_P_E018_FTSE_L1_2,0,FTSE,E018,test,test,2020-02-24,2018-07-12,1,-5.186713794916834,-5.224783289845431,-5.068007456404129,0.0639413627034026,-0.028598068667468123,0.46406850910868175,-4.286363362055338,-5.283750621543422,-4.815627261768545,-5.3651933335871265,-5.359916105853209,-5.699210995501156,-5.148834034020465,-5.408629531856355,-4.935822898999725,-5.212035885290065,-5.674847554222095,P_E018_FTSE_L1,0.6387411316051964,False
N_P_E018_FTSE_L1_3,0,FTSE,E018,test,test,2020-02-24,2019-01-25,1,-5.399301789186248,-5.3231417780590435,-4.973555060318867,0.03799575940539903,-0.03230959984421086,0.4607653677555992,-4.252927733329311,-4.967137325155199,-4.605582974965093,-4.45313229746322,-5.373879543775736,-5.344888998582934,-5.579227342165976,-4.387325677349375,-5.760706619937034,-4.840870858964527,-5.44592637890014,P_E018_FTSE_L1,0.6474873286246328,False
N_P_E003_FTSE_L5_1,0,FTSE,E003,train,train,2008-01-15,2014-11-04,5,-5.1051595485806045,-4.881213624450786,-4.745065311948912,-0.050937671735123924,-0.0208751891251436,0.4288063271597775,-3.890121677859452,-4.844254453503382,-4.959896395253877,-5.257173566793454,-5.50823126728446,-6.00326278468973,-5.60726512689755,-5.415923147619148,-5.519957047267931,-5.1310987114878515,-5.572254587368955,P_E003_FTSE_L5,0.8446013023138866,False
N_P_E003_FTSE_L5_2,0,FTSE,E003,train,train,2008-01-15,2014-10-29,5,-4.98704904987291,-4.981222441789415,-4.752363447971613,-0.09199626554262738,-0.006231132476767189,0.4390230774159284,-3.890121677859452,-4.62388923732672,-4.792925329211129,-4.897044957262567,-5.1051595485806045,-4.844254453503382,-4.959896395253877,-5.257173566793454,-5.50823126728446,-6.00326278468973,-5.60726512689755,P_E003_FTSE_L5,0.9066940744214868,False
N_P_E003_FTSE_L5_3,0,FTSE,E003,train,train,2008-01-15,2007-03-21,5,-4.870306288965214,-4.9383694091218135,-4.840680376641431,-0.08359489035806086,-0.0008844389822071554,0.4516676107141702,-3.975088851458628,-4.811918592864592,-5.276639352277921,-4.863597221329304,-5.150104820704397,-5.250921266816292,-5.046209253491831,-5.598871418071958,-5.383620184606122,-5.3406940595879995,-5.7243212487695185,P_E003_FTSE_L5,0.9781370899202193,False
N_P_E010_FTSE_L5_1,0,FTSE,E010,train,train,2010-05-04,2011-03-04,5,-4.9666560489173825,-4.789420551582966,-5.009649417260904,0.007773878595473795,0.03402037161932041,0.37651889278649964,-4.453030167728771,-4.831895901098066,-4.694325702336268,-5.1934111538346555,-4.849948682198348,-5.345686256919468,-4.862983692022917,-4.343165942186457,-4.350367159278965,-4.574168584907981,-5.099188302067542,P_E010_FTSE_L5,0.44820281248522786,False
N_P_E010_FTSE_L5_2,0,FTSE,E010,train,train,2010-05-04,2007-07-25,5,-4.713462822852538,-4.864609580054542,-5.10508228570374,0.0446727870180858,0.03008389173872053,0.3806167828067915,-4.464944155230825,-3.858623862671045,-4.439424081044086,-4.992850484835587,-4.212113236963096,-4.101227628963257,-5.02604472945362,-4.455578817923715,-4.80720906140622,-4.465040258241594,-4.687417104103422,P_E010_FTSE_L5,0.45196960596552166,False
N_P_E010_FTSE_L5_3,0,FTSE,E010,train,train,2010-05-04,2014-12-11,5,-4.89981513005629,-4.892312484310061,-5.220602908137222,0.024611449713408853,0.03167286491516978,0.3672625333584842,-4.3441950696398415,-4.169240908097867,-4.0964144757062355,-4.016578045248387,-4.476021582353446,-4.410268293488071,-4.677825841261993,-4.9756283390697575,-5.526466236928952,-5.838042150615504,-5.147432372861955,P_E010_FTSE_L5,0.4934630921863352,False
N_P_E011_FTSE_L5_1,0,FTSE,E011,train,train,2011-08-01,2013-04-18,5,-5.300617012821804,-5.1052403511010676,-5.082932456942199,0.04737364077539868,0.0011450059982518108,0.36284474013736595,-4.368792142525826,-5.445480477980702,-4.839416750177166,-4.4154848109273415,-5.521545036361313,-5.269675334852101,-5.510909626584302,-5.622830339316563,-5.027337030260283,-5.451999341702062,-5.1770397135860735,P_E011_FTSE_L5,0.4904181820726181,True
N_P_E011_FTSE_L5_2,0,FTSE,E011,train,train,2011-08-01,2013-04-24,5,-5.521545036361313,-5.104508817653665,-5.075601922383983,0.058813961997433946,0.0009913575727132898,0.4049409256904486,-4.368792142525826,-5.269675334852101,-5.510909626584302,-5.622830339316563,-5.027337030260283,-5.451999341702062,-5.1770397135860735,-4.786989575550283,-5.54718911838316,-5.601147418206872,-6.062508158022718,P_E011_FTSE_L5,0.5146521341655139,False
N_P_E011_FTSE_L5_3,0,FTSE,E011,train,train,2011-08-01,2015-04-21,5,-5.053932643471301,-5.082571412350314,-5.1018945975851855,0.08691414803875804,0.0021414504994490087,0.3806051127940148,-4.363167790055363,-4.814037838537717,-5.283561568080877,-5.434447530542193,-4.794512337318065,-4.5821367612605295,-4.639694296462586,-5.194249869097073,-5.026445427871917,-4.529051759683727,-5.23877947400616,P_E011_FTSE_L5,0.6125270594363948,False
N_P_E014_FTSE_L5_1,0,FTSE,E014,train,train,2015-08-21,2013-02-27,5,-5.059290758171829,-4.912165072873152,-5.1237084452043415,-0.056893882178952575,0.0018978455166609436,0.3902424678295175,-4.49829791104443,-5.434682776272575,-4.845939615857738,-5.435830350817603,-4.7446715756711555,-5.536778469698656,-5.803482922971582,-5.364349132514785,-5.830240990065042,-5.548055073850268,-4.994850901775976,P_E014_FTSE_L5,0.5313743143032549,False
N_P_E014_FTSE_L5_2,0,FTSE,E014,train,train,2015-08-21,2015-05-01,5,-5.026445427871917,-4.847407738402034,-5.064324104467065,-0.10759792889442477,0.011279531293012053,0.3460153490616292,-4.449664461224536,-4.529051759683727,-5.23877947400616,-4.527280469881524,-4.277095741319735,-5.301417083301339,-4.399453349901257,-5.119271280241361,-4.817855292190029,-5.079034787611584,-4.930731034561268,P_E014_FTSE_L5,0.5942313186294949,True
