index,onset_date,origin_level,origin_pctile,era,pre_onset_level,onset_level,jump_logvol,peak60,peak_gain60,persist60,recovery_days,episode_id,split
HSI,2015-08-18,-5.064004161035141,0.41085613415710504,train,-5.064004161035141,-4.256972171788787,0.8070319892463544,-3.5654946139746078,1.4985095470605336,20,1.0,E014,train
SPX,2015-08-20,-4.907456919977506,0.5776048421962818,train,-4.907456919977506,-4.427817141028478,0.47963977894902854,-3.481313721937108,1.4261431980403985,12,6.0,E014,train
FTSE,2015-08-21,-5.381683636129151,0.19956896551724138,train,-5.381683636129151,-4.060302826213228,1.3213808099159232,-3.16641408673502,2.215269549394131,19,5.0,E014,train
N225,2015-08-24,-4.683009933097143,0.7215302491103203,train,-4.683009933097143,-3.8668901550573747,0.8161197780397682,-3.3318249514201193,1.3511849816770236,20,3.0,E014,train
N225,2016-01-04,-5.802099633543983,0.060498220640569395,test,-5.802099633543983,-4.02262997323711,1.779469660306873,-3.3562090300809535,2.4458906034630292,28,1.0,E015,test
FTSE,2016-01-14,-4.7990313523339365,0.5793103448275863,test,-4.7990313523339365,-4.311125904920175,0.48790544741376163,-3.7004316129903834,1.0985997393435531,20,2.0,E016,test
SPX,2018-12-04,-5.154123212157566,0.42023346303501946,test,-5.154123212157566,-3.9402605090341107,1.2138627031234557,-3.498609494402646,1.6555137177549204,16,5.0,E017,test
FTSE,2020-02-24,-5.228899724606994,0.29008620689655173,test,-5.228899724606994,-3.731729364844993,1.4971703597620012,-2.6716337297015693,2.557265994905425,43,29.0,E018,test
OMXSPI,2020-02-24,-5.0461937084201445,0.4271465741543799,test,-5.0461937084201445,-3.879012744677117,1.1671809637430273,-2.9516635441850467,2.0945301642350977,32,6.0,E018,test
GDAXI,2020-02-25,-4.451876032500379,0.7106729532790399,test,-4.451876032500379,-4.11154885749712,0.3403271750032584,-2.845282802348736,1.6065932301516428,39,6.0,E018,test
SPX,2020-02-25,-4.782136068156626,0.6567228707306528,test,-4.782136068156626,-3.7215496490111417,1.060586419145484,-2.984389032606096,1.7977470355505298,39,34.0,E018,test
FCHI,2020-02-25,-4.394867321702861,0.7452148022118248,test,-4.394867321702861,-4.105699439675567,0.2891678820272947,-2.914273878281727,1.4805934434211343,42,26.0,E018,test
N225,2020-02-25,-5.225780211739426,0.33807829181494664,test,-5.225780211739426,-4.115768113320249,1.110012098419177,-2.9665400377006472,2.259240174038779,34,1.0,E018,test
KS11,2020-02-28,-4.553412308515412,0.7957931638913234,test,-4.553412308515412,-4.197878336934642,0.35553397158076994,-2.614189390376565,1.9392229181388472,33,4.0,E018,test
HSI,2020-03-10,-4.720571903065441,0.647396293027361,test,-4.720571903065441,-4.251235334685848,0.4693365683795925,-3.15022389591336,1.5703480071520808,19,1.0,E019,test
KS11,2020-05-28,-4.964379350925891,0.5687992988606485,test,-4.964379350925891,-4.19789779178087,0.7664815591450207,-3.556339911972551,1.40803943895334,18,1.0,E020,test
KS11,2020-12-23,-4.727381552734487,0.71034180543383,test,-4.727381552734487,-4.46003946766107,0.26734208507341695,-3.438635762279742,1.2887457904547448,36,2.0,E021,test
HSI,2021-02-17,-5.149492407232705,0.35216240070609,test,-5.149492407232705,-4.346739795850764,0.8027526113819405,-3.6850835043721197,1.4644089028605851,17,8.0,E022,test
HSI,2021-09-14,-4.909315062544629,0.5207413945278023,test,-4.909315062544629,-4.4024413024108835,0.5068737601337459,-3.961674228766185,0.9476408337784443,14,1.0,E023,test
SPX,2022-01-10,-5.150759491140163,0.42153047989623865,test,-5.150759491140163,-4.441219790142651,0.709539700997512,-3.6091145837030605,1.5416449074371026,24,1.0,E024,test
OMXSPI,2022-02-15,-4.516413933857264,0.7233304423243712,test,-4.516413933857264,-4.1893510691995814,0.327062864657683,-3.1479910296436056,1.3684229042136589,28,1.0,E025,test
FCHI,2022-02-15,-4.566425651416398,0.6371756699276904,test,-4.566425651416398,-4.276365802214539,0.29005984920185846,-3.3154394908433584,1.2509861605730395,23,1.0,E025,test
GDAXI,2022-02-21,-4.3417702658282735,0.7715387912558938,test,-4.3417702658282735,-3.7651835793260116,0.576586686502262,-3.399036001833144,0.9427342639951295,23,2.0,E025,test
HSI,2022-03-07,-5.31831957688787,0.23036187113857018,test,-5.31831957688787,-4.249503944171734,1.0688156327161353,-3.0424747717120693,2.2758448051758005,32,3.0,E026,test
SPX,2022-04-21,-5.237637976982173,0.37008214440121057,test,-5.237637976982173,-4.054494126290349,1.183143850691824,-3.7919943495328163,1.4456436274493565,31,4.0,E027,test
