episode_id,event_type,event_day,segment,n_rows,return_sign_switch_rate,repair_sign_switch_rate,directional_coherence,rv_ratio_choppiness,mean_downside_pressure
7,relapse,22,pre_entry,20,0.3684210526315789,0.3684210526315789,0.08809218890175731,0.24156961397271942,0.1050690485107307
7,relapse,22,early_residence,20,0.47368421052631576,0.47368421052631576,0.10837756606843514,0.14812205502282866,0.13032278145389015
7,relapse,22,late_residence,10,0.4444444444444444,0.4444444444444444,0.3616379989881348,0.12411818901160218,0.1131348754557682
8,relapse,49,pre_entry,20,0.3684210526315789,0.3684210526315789,0.007983130884249989,0.123728326308291,0.1405099511933165
8,relapse,49,early_residence,20,0.5789473684210527,0.5789473684210527,0.09693862951474391,0.16937528163155768,0.05986736876676453
8,relapse,49,late_residence,10,0.5555555555555556,0.5555555555555556,0.0705919937964458,0.1381253631754221,0.1531867949658282
9,relapse,4,pre_entry,20,0.631578947368421,0.631578947368421,0.3768440966807828,0.09604129866745224,0.29356353381577377
10,recovery,6,pre_entry,20,0.631578947368421,0.631578947368421,0.08495273818026867,0.09050746682446868,0.22516605090118583
10,recovery,6,early_residence,5,0.5,0.5,0.7382809087062552,0.17110749499035838,0.019713036669671842
10,recovery,6,late_residence,5,0.5,0.5,0.7382809087062552,0.17110749499035838,0.019713036669671842
11,recovery,11,pre_entry,20,0.5263157894736842,0.5263157894736842,0.37315794611949915,0.09171793608249887,0.3414789885678446
11,recovery,11,early_residence,10,0.4444444444444444,0.4444444444444444,0.6783535394091371,0.18670740413003079,0.004750522706228891
11,recovery,11,late_residence,10,0.4444444444444444,0.4444444444444444,0.6783535394091371,0.18670740413003079,0.004750522706228891
12,relapse,7,pre_entry,20,0.631578947368421,0.631578947368421,0.28907078093243166,0.16223685254879008,0.21583476407697377
12,relapse,7,early_residence,6,0.4,0.4,0.29437490219374146,0.09429937757986244,0.19510682692271875
12,relapse,7,late_residence,6,0.4,0.4,0.29437490219374146,0.09429937757986244,0.19510682692271875
13,relapse,47,pre_entry,20,0.5789473684210527,0.5789473684210527,0.214988689423157,0.12459052614638813,0.22651407236662457
13,relapse,47,early_residence,20,0.5263157894736842,0.5263157894736842,0.0018984424597346472,0.10992838936442872,0.0645213983954411
13,relapse,47,late_residence,10,0.4444444444444444,0.4444444444444444,0.17935335352894172,0.11030899064610888,0.22751080772307808
14,relapse,9,pre_entry,20,0.6842105263157895,0.6842105263157895,0.05208420808409957,0.13248939395604317,0.10126239451822147
14,relapse,9,early_residence,8,0.42857142857142855,0.42857142857142855,0.8805452427851701,0.1272066505190531,0.1494075034544704
14,relapse,9,late_residence,8,0.42857142857142855,0.42857142857142855,0.8805452427851701,0.1272066505190531,0.1494075034544704
15,recovery,16,pre_entry,20,0.5263157894736842,0.5263157894736842,0.1880854094639463,0.11410324845058126,0.20813680227978687
15,recovery,16,early_residence,15,0.7142857142857143,0.7142857142857143,0.31743455716980024,0.13121302220743727,0.04050401573087082
15,recovery,16,late_residence,10,0.7777777777777778,0.7777777777777778,0.11090484553006223,0.14933638498208063,0.03733338790686237
16,relapse,27,pre_entry,20,0.6842105263157895,0.6842105263157895,0.08276057648775348,0.11989737599790602,0.11163469265012356
16,relapse,27,early_residence,20,0.5263157894736842,0.42105263157894735,0.05377245487031982,0.1336311616194998,0.08142560269894228
16,relapse,27,late_residence,10,0.5555555555555556,0.5555555555555556,0.7525370084893885,0.19403665700377687,0.1313485465684775
17,relapse,26,pre_entry,20,0.47368421052631576,0.47368421052631576,0.21162354819547025,0.15612038733698866,0.14488087595874774
17,relapse,26,early_residence,20,0.5789473684210527,0.5789473684210527,0.1346625720943647,0.10041063228377348,0.11904093276803515
17,relapse,26,late_residence,10,0.7777777777777778,0.7777777777777778,0.26016491582330464,0.09772046396016432,0.16592049576343834
18,recovery,22,pre_entry,20,0.6842105263157895,0.6842105263157895,0.3675314154184944,0.1516525098699572,0.31127365355642517
18,recovery,22,early_residence,20,0.631578947368421,0.631578947368421,0.12780513913000277,0.142095495390082,0.07128724542719285
18,recovery,22,late_residence,10,0.5555555555555556,0.5555555555555556,0.26727607433720446,0.22789607914595247,0.05577079846555518
19,recovery,5,pre_entry,20,0.3157894736842105,0.3157894736842105,0.4785968066088482,0.10515986657871146,0.23773683280512029
20,relapse,37,pre_entry,20,0.5789473684210527,0.5789473684210527,0.16197411556807254,0.12295914810815625,0.18914493417837203
20,relapse,37,early_residence,20,0.47368421052631576,0.47368421052631576,0.03319759482463721,0.10073462689191995,0.10221187481995937
