model,event,split,n,event_rate,called_rate,precision,recall,f1,average_precision,threshold,n_qubits,features,effective_rank,val_best_f1,roc_auc,elapsed_feature_seconds
QRC_ring_6q,q80,test,800,0.36375,0.99875,0.3642052565707134,1.0,0.5339449541284403,0.3129943770478988,0.12071580955155548,6,12,8.084604663796393,0.15384615384615385,0.43505559718874687,6.530217885971069
QRC_ring_6q,q90,train,1800,0.1,0.029444444444444443,0.660377358490566,0.19444444444444445,0.30042918454935624,0.48093021049336754,0.9608729252973047,6,12,8.084604663796393,0.07407407407407408,0.8731275720164609,6.530217885971069
QRC_ring_6q,q90,val,600,0.035,0.685,0.038929440389294405,0.7619047619047619,0.07407407407407407,0.027609373535924162,0.9608729252973047,6,12,8.084604663796393,0.07407407407407408,0.38695616415823664,6.530217885971069
QRC_ring_6q,q90,test,800,0.26625,0.86125,0.2641509433962264,0.8544600938967136,0.4035476718403548,0.22636538248544613,0.9608729252973047,6,12,8.084604663796393,0.07407407407407408,0.42790987835016914,6.530217885971069
QRC_ring_6q,q95,train,1800,0.05,0.03722222222222222,0.3880597014925373,0.28888888888888886,0.33121019108280253,0.3014219575006888,0.9323780971546908,6,12,8.084604663796393,0.052173913043478265,0.880682261208577,6.530217885971069
QRC_ring_6q,q95,val,600,0.023333333333333334,0.7433333333333333,0.026905829596412557,0.8571428571428571,0.05217391304347826,0.019505448423240934,0.9323780971546908,6,12,8.084604663796393,0.052173913043478265,0.40480253534861044,6.530217885971069
QRC_ring_6q,q95,test,800,0.13,0.9125,0.12054794520547946,0.8461538461538461,0.21103117505995203,0.10027745596276356,0.9323780971546908,6,12,8.084604663796393,0.052173913043478265,0.3736046640141467,6.530217885971069
HAR_plus_QRC_ring_6q,q80,train,1800,0.2,0.8544444444444445,0.2340702210663199,1.0,0.3793466807165437,0.625679140083111,0.019353369427166284,6,20,13.306669601745636,0.16412213740458015,0.8925192901234569,6.530217885971069
HAR_plus_QRC_ring_6q,q80,val,600,0.08333333333333333,0.79,0.09071729957805907,0.86,0.16412213740458015,0.13351525944277481,0.019353369427166284,6,20,13.306669601745636,0.16412213740458015,0.4481818181818182,6.530217885971069
HAR_plus_QRC_ring_6q,q80,test,800,0.36375,0.90625,0.39586206896551723,0.9862542955326461,0.5649606299212598,0.7231385992872307,0.019353369427166284,6,20,13.306669601745636,0.16412213740458015,0.7744786286701909,6.530217885971069
HAR_plus_QRC_ring_6q,q90,train,1800,0.1,0.5372222222222223,0.18614270941054809,1.0,0.31386224934612034,0.49368883499635646,0.13427764081842922,6,20,13.306669601745636,0.07322654462242563,0.8949074074074074,6.530217885971069
HAR_plus_QRC_ring_6q,q90,val,600,0.035,0.6933333333333334,0.038461538461538464,0.7619047619047619,0.07322654462242563,0.02828219363431253,0.13427764081842922,6,20,13.306669601745636,0.07322654462242563,0.4042273213257669,6.530217885971069
HAR_plus_QRC_ring_6q,q90,test,800,0.26625,0.8925,0.2857142857142857,0.9577464788732394,0.4401294498381877,0.586469361437923,0.13427764081842922,6,20,13.306669601745636,0.07322654462242563,0.7358015212227368,6.530217885971069
HAR_plus_QRC_ring_6q,q95,train,1800,0.05,0.49277777777777776,0.10146561443066517,1.0,0.1842374616171955,0.26371448981966816,0.18707508295763392,6,20,13.306669601745636,0.04954954954954954,0.8947628330084471,6.530217885971069
HAR_plus_QRC_ring_6q,q95,val,600,0.023333333333333334,0.7166666666666667,0.02558139534883721,0.7857142857142857,0.04954954954954955,0.017282773826815843,0.18707508295763392,6,20,13.306669601745636,0.04954954954954954,0.3292296440760604,6.530217885971069
HAR_plus_QRC_ring_6q,q95,test,800,0.13,0.9625,0.12727272727272726,0.9423076923076923,0.2242562929061785,0.2888265557150023,0.18707508295763392,6,20,13.306669601745636,0.04954954954954954,0.6038074712643678,6.530217885971069
QRC_ring_8q,q80,train,1800,0.2,0.07111111111111111,0.59375,0.2111111111111111,0.3114754098360656,0.5580047918886739,0.9028023323800215,8,16,11.035747934833253,0.2797927461139897,0.864423225308642,22.427234888076782
QRC_ring_8q,q80,val,600,0.08333333333333333,0.23833333333333334,0.1888111888111888,0.54,0.27979274611398963,0.22031824186615728,0.9028023323800215,8,16,11.035747934833253,0.2797927461139897,0.7537454545454545,22.427234888076782
QRC_ring_8q,q80,test,800,0.36375,0.0875,0.5285714285714286,0.12714776632302405,0.20498614958448755,0.4361204868989871,0.9028023323800215,8,16,11.035747934833253,0.2797927461139897,0.5748621041189854,22.427234888076782
QRC_ring_8q,q90,train,1800,0.1,0.08333333333333333,0.5266666666666666,0.4388888888888889,0.47878787878787876,0.4627102590790115,0.8527121793388369,8,16,11.035747934833253,0.12941176470588234,0.8973765432098766,22.427234888076782
QRC_ring_8q,q90,val,600,0.035,0.24833333333333332,0.0738255033557047,0.5238095238095238,0.12941176470588237,0.0615138653841756,0.8527121793388369,8,16,11.035747934833253,0.12941176470588234,0.7100090467966116,22.427234888076782
QRC_ring_8q,q90,test,800,0.26625,0.0725,0.5,0.13615023474178403,0.2140221402214022,0.3368429414951839,0.8527121793388369,8,16,11.035747934833253,0.12941176470588234,0.5798801897129513,22.427234888076782
QRC_ring_8q,q95,train,1800,0.05,0.09833333333333333,0.2655367231638418,0.5222222222222223,0.352059925093633,0.271403934768568,0.7709893224378264,8,16,11.035747934833253,0.09022556390977443,0.8875373619233268,22.427234888076782
QRC_ring_8q,q95,val,600,0.023333333333333334,0.19833333333333333,0.05042016806722689,0.42857142857142855,0.09022556390977443,0.03774513168702408,0.7709893224378264,8,16,11.035747934833253,0.09022556390977443,0.6844222330570453,22.427234888076782
QRC_ring_8q,q95,test,800,0.13,0.05125,0.4878048780487805,0.19230769230769232,0.27586206896551724,0.28361815856329115,0.7709893224378264,8,16,11.035747934833253,0.09022556390977443,0.6503370910698496,22.427234888076782
HAR_plus_QRC_ring_8q,q80,train,1800,0.2,0.5588888888888889,0.35785288270377735,1.0,0.527086383601757,0.6613928171486875,0.11142665987097143,8,24,16.09762148823631,0.3027027027027027,0.9072762345679012,22.427234888076782
