run_name,leak,ridge_alpha,input_mode,n_qubits,input_scale,feature_seconds_for_leak,n_common_test,rmse,qlike,corr,actual_std,pred_std,q80_amplitude_f1,q90_amplitude_f1,q95_amplitude_f1,top20_pred_actual_ratio,watch_q80_precision,watch_q80_recall,watch_q80_f1,warning_q90_precision,warning_q90_recall,warning_q90_f1,crisis_q95_precision,crisis_q95_recall,crisis_q95_f1,crisis_q95_signal_rate,crisis_q95_tp,crisis_q95_fp,crisis_q95_fn,selection_score
rf_qrc_ring_leak0p5_alpha1000,0.5,1000.0,level_rate,6,1.0471975511965976,9.115602016448975,1058,0.1327878273726838,0.6697201995620853,0.5079105268470615,0.12436660244611399,0.0632586000350329,0.34234234234234234,0.20359281437125748,0.12121212121212122,0.4650901268245964,0.4835443037974684,0.720754716981132,0.5787878787878787,0.5147058823529411,0.2692307692307692,0.35353535353535354,0.5294117647058824,0.35294117647058826,0.4235294117647059,0.03213610586011342,18,16,33,0.38020904275536094
rf_qrc_ring_leak0p3_alpha1000,0.3,1000.0,level_rate,6,1.0471975511965976,9.8815598487854,1058,0.1333193199625997,1.3886844330259858,0.5467332689151554,0.12436660244611399,0.07491557849175055,0.3905325443786982,0.34408602150537637,0.30952380952380953,0.4925343871321571,0.48614609571788414,0.7283018867924528,0.5830815709969788,0.6301369863013698,0.35384615384615387,0.45320197044334976,0.46808510638297873,0.43137254901960786,0.4489795918367347,0.0444234404536862,22,25,29,0.3411065059705871
rf_qrc_ring_leak0p2_alpha1000,0.2,1000.0,level_rate,6,1.0471975511965976,13.104657888412476,1058,0.1352991385336384,1.8407326747197341,0.541336000890486,0.12436660244611399,0.08038724036431844,0.3893805309734513,0.3617021276595745,0.33707865168539325,0.500923386210863,0.48743718592964824,0.7320754716981132,0.5852187028657616,0.6216216216216216,0.35384615384615387,0.4509803921568628,0.43478260869565216,0.39215686274509803,0.4123711340206186,0.043478260869565216,20,26,31,0.235154375675522
rf_qrc_ring_leak0p1_alpha3000,0.1,3000.0,level_rate,6,1.0471975511965976,9.795370817184448,1058,0.14004185960178792,1.508356153766906,0.4666476883585489,0.12436660244611399,0.06924695248089968,0.3465045592705167,0.32786885245901637,0.325,0.4501471677148433,0.48614609571788414,0.7283018867924528,0.5830815709969788,0.578125,0.2846153846153846,0.38144329896907214,0.4186046511627907,0.35294117647058826,0.3829787234042554,0.04064272211720227,18,25,33,0.2160222282996514
rf_qrc_ring_leak0p7_alpha3000,0.7,3000.0,level_rate,6,1.0471975511965976,9.229717016220093,1058,0.1328109674045536,-0.30254906669852016,0.43790344734526443,0.12436660244611399,0.04784612639863927,0.23300970873786409,0.05755395683453238,0.0,0.43169355104613755,0.4770408163265306,0.7056603773584905,0.5692541856925419,0.4318181818181818,0.14615384615384616,0.21839080459770116,0.45454545454545453,0.09803921568627451,0.16129032258064516,0.010396975425330813,5,6,46,0.20107828151755278
rf_qrc_ring_leak0p7_alpha10000,0.7,10000.0,level_rate,6,1.0471975511965976,9.229717016220093,1058,0.12998996854610487,-1.0499357285668245,0.44126529034379075,0.12436660244611399,0.036097199885567574,0.15862068965517243,0.0,0.0,0.42277183691237447,0.4755784061696658,0.6981132075471698,0.5657492354740061,0.4,0.07692307692307693,0.12903225806451613,1.0,0.0196078431372549,0.038461538461538464,0.000945179584120983,1,0,50,0.1592286314590019
rf_qrc_ring_leak0p5_alpha30000,0.5,30000.0,level_rate,6,1.0471975511965976,9.115602016448975,1058,0.12813700173600948,-1.4465678377430164,0.478199783719953,0.12436660244611399,0.024983320532803156,0.0,0.0,0.0,0.4180923334506733,0.46578947368421053,0.6679245283018868,0.5488372093023255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,51,0.13995071380079188
rf_qrc_ring_leak0p7_alpha30000,0.7,30000.0,level_rate,6,1.0471975511965976,9.229717016220093,1058,0.12882503380714574,-1.4578636448072078,0.42373306078795714,0.12436660244611399,0.021748019789341485,0.0,0.0,0.0,0.4145353479353631,0.46578947368421053,0.6679245283018868,0.5488372093023255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,51,0.13075174027402142
rf_qrc_ring_leak0p7_alpha1000,0.7,1000.0,level_rate,6,1.0471975511965976,9.229717016220093,1058,0.13565179884109108,0.11355851327172506,0.39922166389243235,0.12436660244611399,0.050752792914422515,0.2098360655737705,0.0821917808219178,0.0,0.42865314507288405,0.4744897959183674,0.7018867924528301,0.5662100456621005,0.41025641025641024,0.12307692307692308,0.1893491124260355,0.3076923076923077,0.0784313725490196,0.125,0.012287334593572778,4,9,47,0.0840142519861552
rf_qrc_ring_leak0p1_alpha1000,0.1,1000.0,level_rate,6,1.0471975511965976,9.795370817184448,1058,0.14169802834355041,2.6563386260141324,0.4871350574699568,0.12436660244611399,0.08928955267699482,0.3532934131736527,0.3333333333333333,0.30952380952380953,0.49666437660273455,0.48743718592964824,0.7320754716981132,0.5852187028657616,0.5652173913043478,0.3,0.3919597989949749,0.4090909090909091,0.35294117647058826,0.37894736842105264,0.04158790170132325,18,26,33,0.0478923210910297
