run_tag,scalar,lookback,delta_min,delta_max,model,split,n,task,rmse,corr,actual_std,pred_std,precision,recall,f1,positive_rate,average_precision,roc_auc
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_plus_rydberg_temporal,val,1164,regression,0.0534988143222327,0.526001585933234,0.0611704585281584,0.0438401311162331,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_plus_rydberg_temporal,val,1164,q90_warning,,,,,0.0833333333333333,0.03125,0.0454545454545454,0.0103092783505154,0.1079571623595881,0.772830167844523
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_plus_rydberg_temporal,val,1164,q95_crisis,,,,,0.0,0.0,0.0,0.0042955326460481,,
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_plus_rydberg_temporal,test,1166,regression,0.0974907626858834,0.6063094287704323,0.1215041200648765,0.0864184055772093,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_plus_rydberg_temporal,test,1166,q90_warning,,,,,0.3942857142857143,0.5307692307692308,0.4524590163934426,0.1500857632933104,0.5127873266956563,0.8563186813186813
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_plus_rydberg_temporal,test,1166,q95_crisis,,,,,0.4,0.4705882352941176,0.4324324324324324,0.0514579759862778,0.4863082118053906,0.7277235557900289
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_last_baseline,train,5436,regression,0.0609303295617801,0.7901092066103582,0.0992201990193862,0.0747068808843405,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_last_baseline,train,5436,q90_warning,,,,,0.6029411764705882,0.6029411764705882,0.6029411764705882,0.1000735835172921,0.6654493531104065,0.9137021427540764
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_last_baseline,train,5436,q95_crisis,,,,,0.5845588235294118,0.5845588235294118,0.5845588235294118,0.050036791758646,0.6163819481902867,0.9188940971431176
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_last_baseline,val,1164,regression,0.0534271915434915,0.5335705690918268,0.0611704585281584,0.044541634310253,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_last_baseline,val,1164,q90_warning,,,,,0.0526315789473684,0.03125,0.0392156862745098,0.0163230240549828,0.0824749892914194,0.7414973498233215
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_last_baseline,val,1164,q95_crisis,,,,,0.0,0.0,0.0,0.0085910652920962,,
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_last_baseline,test,1166,regression,0.0971308594749556,0.6083992150970652,0.1215041200648765,0.0854151013319957,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_last_baseline,test,1166,q90_warning,,,,,0.4529411764705882,0.5923076923076923,0.5133333333333333,0.1457975986277873,0.5287641430658557,0.8381793881793882
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_last_baseline,test,1166,q95_crisis,,,,,0.4264705882352941,0.5686274509803921,0.4873949579831932,0.0583190394511149,0.5690302280385731,0.7472786423986634
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,rydberg_temporal_features,train,5436,regression,0.0954640615829726,0.2748392044528717,0.0992201990193862,0.0237524603339392,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,rydberg_temporal_features,train,5436,q90_warning,,,,,0.2555147058823529,0.2555147058823529,0.2555147058823529,0.1000735835172921,0.2289223878554982,0.7298478007310855
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,rydberg_temporal_features,train,5436,q95_crisis,,,,,0.2242647058823529,0.2242647058823529,0.2242647058823529,0.050036791758646,0.1683799509057673,0.8319132455460884
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,rydberg_temporal_features,val,1164,regression,0.0727063210397297,0.1316895837151772,0.0611704585281584,0.0249080998353819,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,rydberg_temporal_features,val,1164,q90_warning,,,,,0.0074626865671641,0.03125,0.0120481927710843,0.1151202749140893,0.0242648710915868,0.4625662544169611
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,rydberg_temporal_features,val,1164,q95_crisis,,,,,0.0,0.0,0.0,0.031786941580756,,
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,rydberg_temporal_features,test,1166,regression,0.1169041452365639,0.3050384824621115,0.1215041200648765,0.0263456739270972,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,rydberg_temporal_features,test,1166,q90_warning,,,,,0.2312925170068027,0.2615384615384615,0.2454873646209386,0.1260720411663808,0.2988060244074871,0.6369319869319869
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,rydberg_temporal_features,test,1166,q95_crisis,,,,,0.109090909090909,0.1176470588235294,0.1132075471698113,0.0471698113207547,0.068032077389241,0.6212784665435681
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_plus_rydberg_temporal,train,5436,regression,0.0599448868787592,0.7979137364357816,0.0992201990193862,0.0751074579027085,,,,,,
