episode_id,start_idx,branch_idx,end_idx,start_date,branch_date,end_date,candidate_days,calendar_rows,rv_20d,branch_stress_cut,drawdown_120d,rv_ratio_5_20_branch,rv_5d_change_5d_branch,return_5d_branch,worst_return_5d_in_prior_window,outcome,forward_return_h,worst_forward_drawdown_h,vol_scaled_move_unit,outcome_complete,outcome_horizon
25,9224,9224,9238,1986-09-19,1986-09-19,1986-10-09,12,15,0.22985100413255075,0.1266205043685093,-0.08517509735345408,0.19198663748573758,-0.33821185195561776,0.006654053797295667,-0.08235104797345372,recovery,0.05292620012399696,-0.009904840382662372,0.09157483200782086,True,40
26,9502,9502,9525,1987-10-26,1987-10-26,1987-11-27,11,24,0.9895556214150197,0.12819350594384532,-0.3239599560645453,0.998000795442038,-0.7070201704425183,0.012508182195098527,-0.3192136424960248,mixed,0.09786093450382394,-0.016471208460314024,0.3942483964143019,True,40
27,9534,9534,9544,1987-12-10,1987-12-10,1987-12-24,9,11,0.307961552403119,0.1285209146645867,-0.3064405530662161,1.026696443325257,-0.10056789720745007,0.036448519342481944,-0.08054467233846907,mixed,0.06648969598968968,0.0074924003301966025,0.12269481933574697,True,40
28,9558,9558,9576,1988-01-15,1988-01-15,1988-02-10,13,19,0.34461199783303664,0.12875409348927208,-0.25156631744426217,0.6399797477596786,-0.3444362408997067,0.034921337159032007,-0.05994496675471428,mixed,0.056814092013675266,-0.0373735292794698,0.1372967063099758,True,40
29,10015,10015,10015,1989-11-03,1989-11-03,1989-11-03,1,1,0.2681325990071908,0.13015952691680785,-0.06164534026761492,0.4750962870757353,8.63397709413849e-05,0.0076113752318800465,-0.07261686281212576,recovery,0.06261481829919413,-0.01483919743522899,0.10682658447619375,True,40
30,10209,10209,10228,1990-08-13,1990-08-13,1990-09-10,9,20,0.17644799263270422,0.13026030295283558,-0.08161001456274464,0.8057115722224243,-0.12735450825342645,0.013100440550926074,-0.06172907305428499,relapse,-0.09957499291414684,-0.11176365106385966,0.07029856295141079,True,40
31,10256,10256,10269,1990-10-18,1990-10-18,1990-11-06,8,14,0.23995405418223,0.13067695298728782,-0.17132408153218004,0.9753187866398588,-0.022406508177927442,0.03420160065921962,-0.05667885725437216,recovery,0.06894752980689312,-0.012625058791306598,0.09559998349479217,True,40
32,11135,11135,11146,1994-04-11,1994-04-11,1994-04-26,8,12,0.14040394985145727,0.1302161787549021,-0.06665976116766081,1.2335242590134257,-0.02143048885745502,0.02464144656994538,-0.050312048478915905,mixed,0.01598240051447153,-0.01862761458591955,0.05593827257533774,True,40
33,11890,11890,11904,1997-04-07,1997-04-07,1997-04-25,7,15,0.15832794310122644,0.1288949919819938,-0.06634893800290786,0.7798913516917572,-0.1025688794866626,0.0065953963160572115,-0.05216586468738349,recovery,0.10936451137198522,-0.03212047854291489,0.06307936241721795,True,40
34,12230,12230,12264,1998-08-11,1998-08-11,1998-09-29,20,35,0.20851100687115903,0.1307351418962636,-0.09923742956077519,0.6266571664759454,-0.19228524674891526,-0.002933087604849227,-0.05279199878512042,relapse,-0.09195680891036329,-0.10449208891909678,0.08307277359117654,True,40
