series,period,n,peak_period_days,peak_power,peak_surrogate_p
state__risk4_k3__is_0,full,7775,341.3333333333333,3.686276015160229,0.36327345309381237
state__risk4_k3__is_1,1993_2004,2942,40.96,4.797468204106913,0.6067864271457086
state__risk4_k3__is_1,2005_2014,2517,512.0,10.739092945596687,0.021956087824351298
state__risk4_k3__is_1,2015_2019,1258,36.57142857142857,4.022841524642803,0.8922155688622755
state__risk4_k3__is_1,2020_2024,1058,51.2,4.758116960159988,0.6327345309381237
state__risk4_k3__is_1,full,7775,512.0,3.9761023183861908,0.48303393213572854
state__risk4_k3__is_2,1993_2004,2942,204.8,10.331636766958027,0.2774451097804391
state__risk4_k3__is_2,2005_2014,2517,512.0,28.503084439641157,0.003992015968063872
state__risk4_k3__is_2,2015_2019,1258,102.4,1.9316498700529212,0.19760479041916168
state__risk4_k3__is_2,2020_2024,1058,512.0,5.013312721351952,0.9700598802395209
state__risk4_k3__is_2,full,7775,512.0,11.518480682706068,0.003992015968063872
state__state8_k2__is_0,1993_2004,2942,204.8,9.032042731171014,0.872255489021956
state__state8_k2__is_0,2005_2014,2517,341.3333333333333,25.702797944362942,0.005988023952095809
state__state8_k2__is_0,2015_2019,1258,102.4,5.317300098858001,0.1936127744510978
state__state8_k2__is_0,2020_2024,1058,85.33333333333333,5.519094853027823,0.9441117764471058
state__state8_k2__is_0,full,7775,512.0,11.297992634857659,0.08982035928143713
state__state8_k2__is_1,1993_2004,2942,204.8,9.032042731171014,0.9021956087824351
state__state8_k2__is_1,2005_2014,2517,341.3333333333333,25.702797944362942,0.021956087824351298
state__state8_k2__is_1,2015_2019,1258,102.4,5.3173000988579995,0.18762475049900199
state__state8_k2__is_1,2020_2024,1058,85.33333333333333,5.519094853027823,0.9401197604790419
state__state8_k2__is_1,full,7775,512.0,11.297992634857659,0.0718562874251497
state__vol_level_x_acceleration_grid__is_0,1993_2004,2942,42.666666666666664,1.1231908516317908,0.9960079840319361
state__vol_level_x_acceleration_grid__is_0,2005_2014,2517,256.0,2.066644873029745,0.8223552894211577
state__vol_level_x_acceleration_grid__is_0,2015_2019,1258,256.0,3.544716287234077,0.7425149700598802
state__vol_level_x_acceleration_grid__is_0,2020_2024,1058,51.2,0.7763783000395437,0.9760479041916168
state__vol_level_x_acceleration_grid__is_0,full,7775,1024.0,2.079813331770628,0.8403193612774451
state__vol_level_x_acceleration_grid__is_1,1993_2004,2942,512.0,1.6987373281563534,0.9800399201596807
state__vol_level_x_acceleration_grid__is_1,2005_2014,2517,93.0909090909091,2.3701446362477507,0.9141716566866267
state__vol_level_x_acceleration_grid__is_1,2015_2019,1258,256.0,2.1793476847232656,0.5349301397205589
state__vol_level_x_acceleration_grid__is_1,2020_2024,1058,42.666666666666664,1.3428265798722994,0.656686626746507
state__vol_level_x_acceleration_grid__is_1,full,7775,512.0,1.701586104036495,0.9960079840319361
state__vol_level_x_acceleration_grid__is_2,1993_2004,2942,146.28571428571428,1.783464466364007,0.9261477045908184
