date,spy_open,spy_high,spy_low,spy_close,spy_adj_close,spy_volume,vix_open,vix_high,vix_low,vix_close,spy_log_return,spy_abs_log_return,spy_squared_log_return,spy_log_hl_range,spy_log_oc_return,parkinson_var,garman_klass_var,spy_log_volume,spy_log_volume_change,spy_dollar_volume,spy_log_dollar_volume,rv_5d,rv_10d,rv_20d,rv_60d,future_rv_5d,future_rv_20d,rv_ratio_5_20,rv_ratio_20_60,rv_slope_5_20,rv_slope_20_60,spy_drawdown_20d,vix_log_close,vix_log_change,vix_abs_log_change,vix_log_hl_range,vix_ma_5d,vix_std_5d,vix_ma_20d,vix_std_20d
2010-01-08,113.89,114.62,113.66,114.57,87.8095,126402797,19.27,19.27,18.11,18.13,0.0033217808900110057,0.0033217808900110057,1.103422828124231e-05,0.008410773254615995,0.005952919619274797,2.5514460970402027e-05,2.1681342751590135e-05,18.654984167596766,-0.036418128895068236,11099366403.1715,23.130153862840167,0.12681363718408925,0.10542470273306272,0.10397406997277099,0.15551850540544648,0.12197694291087545,0.20097163876901483,1.2196659918891273,0.668563973796585,0.02283956721131826,-0.05154443543267549,0.0,2.8975680247667595,-0.050023873459296375,0.050023873459296375,0.062085210530953075,19.148,0.6856894340803494,20.3905,1.191489448239001
2010-01-11,115.08,115.13,114.235,114.73,87.9321,106375695,16.93,17.74,16.86,17.55,0.0013952304962341344,0.0013952304962341344,1.946668137621749e-06,0.007804194559126762,-0.0030459968722954534,2.196699864937144e-05,2.6868649826175387e-05,18.482487678326482,-0.1724964892702836,9353838250.3095,22.95905260406612,0.04388650925048329,0.10296257360717152,0.10216891238578359,0.1515601170180112,0.15017369044680992,0.205738550276736,0.42954856057163954,0.6741147631447261,-0.058282403135300295,-0.04939120463222761,0.0,2.865053949911875,-0.032514074854884445,0.032514074854884445,0.050878024307723875,18.65,0.7743707122622611,20.151999999999997,1.2603491579723958
2010-01-12,113.97,114.21,113.22,113.66,87.112,163333406,17.95,19.46,17.95,18.25,-0.009370278695878476,0.009370278695878476,8.780212283843403e-05,0.008706030454001791,-0.0027237199986685184,2.733725548907851e-05,3.5031700227072774e-05,18.911304105298697,0.4288164269722152,14228299663.471998,23.378498752342455,0.07745188911367147,0.1126919401875617,0.10638782576002283,0.1525882573407767,0.15294303009735616,0.20315143125142834,0.7280145877628739,0.697221579262328,-0.028935936646351357,-0.04620043158075386,-0.00932651443557031,2.9041650800285006,0.03911113011662559,0.03911113011662559,0.08077096182357131,18.43,0.6757588327277847,19.985000000000003,1.280894013447616
2010-01-13,113.95,114.94,113.37,114.62,87.8478,161821906,17.94,18.72,17.56,17.85,0.008411124589375873,0.008411124589375873,7.074701685800346e-05,0.013753447050088066,0.005862553431898107,6.822407674181446e-05,8.130189618728199e-05,18.902006942793943,-0.009297162504754652,14215698433.906801,23.37761271442708,0.09767032320353568,0.1201362255199923,0.10781561244633206,0.1527871729344887,0.1970400784681479,0.20431603080676705,0.9059014829800605,0.7056587956670989,-0.010145289242796382,-0.04497156048815665,-0.0009586942652342056,2.8820035082256483,-0.022161571802852276,0.022161571802852276,0.06396888284247543,18.168,0.5672036671334961,19.82,1.3343557483518511
2010-01-14,114.49,115.14,114.42,114.93,88.0854,115783797,18.16,18.27,17.38,17.63,0.0027010268039431296,0.0027010268039431296,7.295545795619237e-06,0.0062728904072807375,0.003835764444946402,1.419220735701733e-05,1.399099376299205e-05,18.56723519103334,-0.33477175176060214,10198862072.263802,23.04554198947042,0.09493581688862525,0.12088444264871105,0.10697023159350397,0.1519541729066984,0.25312995620911644,0.20411236682149742,0.8874975352899064,0.7039637645172463,-0.012034414704878718,-0.04498394131319444,0.0,2.869601996409779,-0.012401511815869348,0.012401511815869348,0.04994025055266949,17.881999999999998,0.3048278202686921,19.627,1.3590209324136913
2010-01-15,114.73,114.84,113.2,113.64,87.0967,212283109,17.63,19.02,17.63,17.91,-0.011287802782019796,0.011287802782019796,0.00012741449164577383,0.014383689483780616,-0.009545984825064519,7.461998294456332e-05,6.824386873841595e-05,19.173431361567616,0.6061961705342753,18489158259.6403,23.640450357222676,0.12197694291087545,0.12441879515921307,0.11409963401767394,0.15332262378257486,0.24284054487062287,0.20767282295330133,1.0690388620526279,0.7441800251179982,0.007877308893201512,-0.03922298976490092,-0.011224334566227845,2.8853592160726205,0.015757219662841493,0.015757219662841493,0.07588906070746536,17.838,0.2744448943044373,19.4955,1.3928481800373353
2010-01-19,113.62,115.13,113.59,115.06,88.185,139172609,18.63,18.85,17.33,17.58,0.01241788486726847,0.01241788486726847,0.00015420386457673526,0.013466450442242813,0.01259418430616662,6.540648674603474e-05,2.940115147722788e-05,18.75122551207668,-0.4222058494909362,12272936524.665,23.230662392599008,0.15017369044680992,0.1106303823472709,0.11454297937677109,0.1543161354565666,0.22822832465609463,0.2036333667038719,1.3110684850691479,0.7422618447376168,0.03563071107003883,-0.03977315607979552,0.0,2.866761892257031,-0.01859732381558965,0.01859732381558965,0.08407381016650531,17.844,0.26679580208423925,19.249000000000002,1.2613105131283329
2010-01-20,114.28,114.45,112.98,113.89,87.2883,216490094,18.51,19.69,18.44,18.68,-0.010220447276893196,0.010220447276893196,0.00010445754253975355,0.012927234501459755,-0.003418507076312589,6.027341542409946e-05,7.904238638421588e-05,19.193055349163714,0.4418298370870346,18897052272.1002,23.662271782409146,0.15294303009735616,0.12122368906826114,0.11846889605758779,0.15434591838963135,0.21899412329253584,0.2014590311502411,1.2909973434968995,0.7675544471381777,0.03447413403976837,-0.03587702233204357,-0.010168395985711842,2.9274534328006965,0.060691540543665656,0.060691540543665656,0.06558867452258632,17.93,0.4420972743749383,19.099,1.1283705065277743
2010-01-21,113.92,114.27,111.56,111.7,85.6099,344859500,18.59,22.3,18.27,22.27,-0.01941550257956237,0.01941550257956237,0.0003769617404169931,0.024001506399334196,-0.019679741588510616,0.0002077741660046542,0.0001384273505540356,19.658647645671497,0.4655922965077828,29523387309.05,24.108448576337366,0.1970400784681479,0.15550608437842015,0.1322740783230741,0.1576405315545054,0.188864508247871,0.18944685334338102,1.4896348624473907,0.8390867311769966,0.06476600014507378,-0.025366453231431274,-0.02920111130010783,3.1032404812692764,0.17578704846857995,0.17578704846857995,0.19932630807615773,18.814,1.9813959725429744,19.188,1.300872581648931
2010-01-22,111.2,111.7416,109.09,109.21,83.7014,345942406,22.27,28.01,22.27,27.31,-0.02254522690650429,0.02254522690650429,0.000508287256265765,0.024015833273538498,-0.01805774760684501,0.0002080222873288161,0.00016241639000316407,19.661782862519154,0.003135216847656608,28955863701.5684,24.08903856627852,0.25312995620911644,0.1911643063685523,0.1540741829428708,0.1627507080941579,0.12676713294557143,0.17171516313224716,1.6429096125921014,0.9466882494528542,0.09905577326624562,-0.008676525151287084,-0.05084311390826102,3.3072529354856135,0.20401245421633707,0.20401245421633707,0.22932110800274094,20.75,4.115318942683425,19.5765,2.2358026346380324
2010-01-25,110.21,110.41,109.41,109.77,84.1306,186937500,27.32,27.32,24.61,25.41,0.005114649597725673,0.005114649597725673,2.615964050751539e-05,0.00909841596234708,-0.004000369004225383,2.9856996950135117e-05,3.5208736327416444e-05,19.04628489435444,-0.6154979681647141,15727164037.5,23.478655247711533,0.24284054487062287,0.19215866469527676,0.15498277382313566,0.16281584699825413,0.16356058999174924,0.17617549374617353,1.5668873312833422,0.9518899829498632,0.08785777104748721,-0.007833073175118471,-0.04597607302829276,3.2351427973320726,-0.07211013815354095,0.07211013815354095,0.10446617029962477,22.25,4.187582835002626,19.8615,2.58909509695074
2010-01-26,109.34,110.47,109.04,109.31,83.7781,211168703,26.03,26.22,22.77,24.55,-0.004198716538907021,0.004198716538907021,1.7629220574091358e-05,0.013029203495906394,-0.00027441116110907884,6.122802937775857e-05,8.485098332969843e-05,19.16816791226264,0.12188301790819978,17691312716.8043,23.596339549080824,0.22822832465609463,0.19318424557626546,0.15479251322768015,0.15829115597647886,0.18209519124525644,0.17852706019892148,1.4744144913546287,0.9778974211969329,0.07343581142841449,-0.0034986427487987137,-0.049973351477008654,3.2007118542405295,-0.03443094309154304,0.03443094309154304,0.14107859825990543,23.644,3.31316766856256,20.115499999999997,2.7900508861614237
2010-01-27,109.17,110.08,108.33,109.83,84.1766,271863625,24.81,25.69,23.14,23.14,0.004745336067309758,0.004745336067309758,2.251821439171084e-05,0.01602525022755755,0.006027415508076412,9.262413959773143e-05,0.00011437034961073788,19.420811119851486,0.2526432075888465,22884555616.175,23.85372809273698,0.21899412329253584,0.18887826303207422,0.15552246080430054,0.15250642705540252,0.18243282048144271,0.17779570242398302,1.4081189441061117,1.0197764370140439,0.0634716624882353,0.0030160337488980282,-0.045454442365481795,3.1415627217655304,-0.05914913247499909,0.05914913247499909,0.10453908935626166,24.535999999999998,1.9712128246356462,20.276000000000003,2.8700016504674575
2010-01-28,110.19,110.25,107.91,108.57,83.2109,316104000,22.79,25.3,22.69,23.73,-0.011538624023958555,0.011538624023958555,0.00013313984436627352,0.021452967951313125,-0.014811022255924962,0.00016599282476640836,0.00014537492124418798,19.57158183132913,0.15077071147764443,26303298333.6,23.992960180190668,0.188864508247871,0.19299558932582325,0.16074826621368624,0.14207985441495102,0.2758867306373657,0.17302831236855495,1.1749085243433308,1.1313937987592049,0.028116242034184752,0.018668411798735213,-0.056405284345410256,3.166740070447672,0.02517734868214161,0.02517734868214161,0.10888009694172414,24.828,1.630282184165664,20.461999999999996,2.970634523748407
2010-01-29,109.04,109.8,107.22,107.39,82.3066,310677594,23.73,25.03,22.11,24.62,-0.010927049983220805,0.010927049983220805,0.00011940042133580578,0.02377773067603857,-0.015247719518152087,0.0002039179022720305,0.00019287952227120054,19.554266257182913,-0.01731557414621676,25570816458.3204,23.96471755606123,0.12676713294557143,0.2001807692133151,0.16535626513277935,0.14305126859004175,0.26516182480775224,0.17256652928040656,0.7666303592656665,1.1559230950035093,-0.038589132187207914,0.0223049965427376,-0.06665986278845604,3.2035591207563074,0.036819050308635415,0.036819050308635415,0.12404511057432797,24.290000000000003,0.8756426211692232,20.695,3.1087304905957356
2010-02-01,108.15,109.07,107.5008,109.06,83.5865,187864891,24.33,24.33,22.58,22.59,0.015430724918926053,0.015430724918926053,0.00023810727152356545,0.014491588540159493,0.008379037098847748,7.574370361271347e-05,7.788201322211328e-05,19.0512335975372,-0.5030326596457151,15702968711.5715,23.47711562133444,0.16356058999174924,0.20703091173965996,0.1707949574850281,0.1463619105978295,0.24689355383367376,0.1639375285010068,0.9576429679200978,1.166935829051421,-0.007234367493278854,0.024433046887198606,-0.05214605658558713,3.1175073304799117,-0.08605179027639576,0.08605179027639576,0.0746455980739153,23.726,0.882060088660773,20.7405,3.130489242073601
2010-02-02,109.26,110.59,108.88,110.38,84.5982,216327906,22.59,22.99,21.08,21.48,0.012030965992839704,0.012030965992839704,0.00014474414272086544,0.015583310744057994,0.01019859504378344,8.758586219369029e-05,8.124079240346321e-05,19.192305897858123,0.14107230032092488,18300951457.3692,23.630218887648205,0.18209519124525644,0.2064543858216312,0.1656238130875061,0.14833022603254087,0.2480210477510009,0.15830895701803618,1.0994505430752752,1.1165884224512093,0.01647137815775035,0.017293587054965226,-0.04067358394284737,3.067122269640664,-0.050385060839247764,0.050385060839247764,0.08673461510192858,23.112000000000002,1.182442387606435,20.8125,3.1300897498485516
2010-02-03,109.88,110.4815,109.51,109.83,84.1766,172730594,22.11,22.11,21.33,21.6,-0.004996016904586398,0.004996016904586398,2.4960184910913053e-05,0.008832216839230982,-0.00045514542681859046,2.8135458270268824e-05,3.8924003427737513e-05,18.967243678556624,-0.22506221930149906,14539874118.900398,23.40016065144212,0.18243282048144271,0.2015442383516338,0.1663058369451575,0.1439131550335719,0.24586639786106296,0.15768035902882677,1.096971843156674,1.1555985754489355,0.016126983536285222,0.022392681911585582,-0.045454442365481795,3.0726933146901194,0.005571045049455492,0.005571045049455492,0.035915462386095866,22.804000000000002,1.360488882721385,20.925,3.115157341637754
2010-02-04,108.98,109.03,106.42,106.44,81.5784,356715594,22.63,26.32,22.63,26.08,-0.031352451838573714,0.031352451838573714,0.0009829762362900843,0.024229544550067136,-0.023582933045463935,0.00021174104344961572,7.869597804602824e-05,19.69244936678313,0.7252056882265059,29100287413.5696,24.09401388783005,0.2758867306373657,0.23641413940105627,0.2000922132261153,0.15751426564226467,0.12795342370686882,0.12252322884403517,1.3787979361575573,1.2703116915172032,0.07579451741125037,0.04257794758385064,-0.07491750297669675,3.261168737058452,0.1884754223683327,0.1884754223683327,0.15105264681167047,23.274,2.010840620240292,21.270999999999997,3.2882916697374722
2010-02-05,106.56,106.88,104.58,106.66,81.7471,493585781,25.69,29.22,25.37,26.11,0.002065814095106866,0.002065814095106866,4.267587875542199e-06,0.02175438102835097,0.0009379983803770382,0.0001706899729233438,0.00023628666936119383,20.017207223414438,0.3247578566313081,40349206197.9851,24.420837558556464,0.26516182480775224,0.20782288051441414,0.19966740056238297,0.15066079522754786,0.12724762904214876,0.12230519063433695,1.3280176135958988,1.3252777556418633,0.06549442424536928,0.04900660533483511,-0.073004479219822,3.2623183827110376,0.0011496456525854626,0.0011496456525854626,0.14128603271136284,23.571999999999996,2.3431325186613514,21.6235,3.41426307838496
2010-02-08,106.74,107.33,105.8099,105.89,81.1569,224166797,26.11,27.11,25.48,26.51,-0.007246017069649113,0.007246017069649113,5.250476337364632e-05,0.014264112668065373,-0.007995151463435672,7.338445423773415e-05,7.70395743081839e-05,19.22790096218463,-0.7893062612298074,18192682327.4493,23.62428528025701,0.24689355383367376,0.20941405578789346,0.20097163876901483,0.1513904036932195,0.16072330825814415,0.11971535628224363,1.228499480553268,1.3275057986916248,0.045921915064658925,0.049581235075795344,-0.07969722741962926,3.277522020300934,0.015203637589896513,0.015203637589896513,0.06200883280661162,24.356,2.576592711316264,22.042499999999997,3.476604324852144
2010-02-09,107.13,108.15,106.27,107.22,82.1763,337820406,26.51,26.56,24.78,26.0,0.012482621249331416,0.012482621249331416,0.0001558158332542602,0.01753612701446403,0.0008397481249249648,0.00011091286212078169,0.00015348546946850205,19.638024969039208,0.41012400685457706,27760831029.5778,24.04689190836092,0.2480210477510009,0.21756964264592432,0.205738550276736,0.1531808398777026,0.1382205670771772,0.11232789990525673,1.2055156771416504,1.3431089060550572,0.04228249747426491,0.0525577103990334,-0.06813743833985375,3.258096538021482,-0.019425482279451955,0.019425482279451955,0.06936944840723658,25.259999999999998,2.055516966606667,22.464999999999996,3.414812162515654
2010-02-10,107.05,107.6,106.11,107.01,82.0153,240511500,26.36,26.77,24.8,25.4,-0.0019611240964891863,0.0019611240964891863,3.846007721830527e-06,0.013944355842185058,-0.00037372699678186485,7.013123089399352e-05,9.716857547167705e-05,19.298278463414707,-0.3397465056245004,19725622825.95,23.70518427863993,0.24586639786106296,0.21648558795678347,0.20315143125142834,0.1517953874205394,0.1437098441489685,0.11308327889927164,1.210261706484208,1.3383241395116328,0.042714966609634614,0.05135604383088893,-0.06996314565969275,3.2347491740244907,-0.023347363996991444,0.023347363996991444,0.07643820436132458,26.02,0.39893608511601564,22.822499999999998,3.3233604980503806
2010-02-11,106.87,108.25,106.25,108.13,82.8737,223591500,25.82,26.11,23.87,23.96,0.010411946883263745,0.010411946883263745,0.00010840863789990562,0.018648559078072995,0.011721064420640233,0.00012543106480193737,0.00012081396398210955,19.225331284211386,-0.07294717920332161,18529854893.55,23.64264904631987,0.12795342370686882,0.21504135274416813,0.20431603080676705,0.15288841793128705,0.12411716928386969,0.10687362665840887,0.6262524932655991,1.336373504097565,-0.07636260709989823,0.051427612875480005,-0.06022906389975624,3.1763857732472487,-0.058363400777242,0.058363400777242,0.08969594236029868,25.596,0.9972111110531179,23.128,3.116605103060496
2010-02-12,106.99,108.1012,106.51,108.04,82.8047,304622031,23.96,25.54,22.73,22.73,-0.0008329390432226802,0.0008329390432226802,6.937874497247139e-07,0.014828947961036976,0.00976615677389985,7.931132946883759e-05,7.310493549511067e-05,19.53458232345263,0.30925103924124286,25224135890.3457,23.951067146517893,0.12724762904214876,0.20796965215173224,0.20411236682149742,0.15002266348440935,0.12398278336395012,0.10683670396202591,0.6234194969353853,1.3605435477600967,-0.07686473777934866,0.05408970333708807,-0.06101150989397297,3.123685637864452,-0.05270013538279672,0.05270013538279672,0.1165602127399413,24.92,1.5526268064180646,23.383000000000003,2.8393959698650484
2010-02-16,108.86,109.85,107.821,109.74,84.1077,159317406,23.51,23.57,22.13,22.25,0.015613297391932512,0.015613297391932512,0.0002437750554489266,0.0186433541329853,0.008051278624775367,0.00012536105717371554,0.00014874653349472743,18.886409034447958,-0.6481732890046707,13399820588.6262,23.318507154905152,0.16072330825814415,0.2083127561409325,0.20767282295330133,0.15337862686547324,0.10300846104238304,0.0955810456711969,0.7739255718322153,1.3539880177402355,-0.04694951469515718,0.054294196087828095,-0.04623575437999672,3.1023420086122493,-0.021343629252202678,0.021343629252202678,0.06304056288508146,24.068,1.628947512969084,23.6,2.5502259961777143
2010-02-17,110.27,110.41,109.74,110.26,84.5062,168844984,22.25,22.6,21.7,21.72,0.004726783995346651,0.004726783995346651,2.2342486938665246e-05,0.006086777820216316,-9.069060904953684e-05,1.3362553174763003e-05,1.8521254927665323e-05,18.944491597514205,0.058082563066246706,14268447986.9008,23.381316501966744,0.1382205670771772,0.20077271389638623,0.2036333667038719,0.15367897568044836,0.11708809046094679,0.09640746128815882,0.6787717028623339,1.3250567672138571,-0.06541279962669469,0.04995439102342353,-0.031872541909969576,3.0782334950657346,-0.024108513546514665,0.024108513546514665,0.040637645731826474,23.212,1.4773862054345752,23.807,2.1765063749049
2010-02-18,110.08,111.14,110.035,110.91,85.0044,193708500,21.72,22.21,20.6,20.63,0.0058781154039095895,0.0058781154039095895,3.4552240701679194e-05,0.009992170850276837,0.007511687431616768,3.601092275253343e-05,2.8124906737337365e-05,19.08186500970663,0.13737341219242438,16466074817.400002,23.52456802956308,0.1437098441489685,0.20137378789516644,0.2014590311502411,0.1517882285235672,0.10982125618677463,0.09414154970590513,0.7133452559979538,1.327237514462209,-0.0577491870012726,0.04967080262667392,-0.007072780134073198,3.0267463270831603,-0.051487167982574356,0.051487167982574356,0.07525156211080067,22.258,1.2308005524895589,23.9045,1.9684818489067537
2010-02-19,110.62,111.57,110.36,111.14,85.1807,222684797,21.07,21.14,19.71,20.02,0.0020718624963720345,0.0020718624963720345,4.292614203872958e-06,0.010904447256003025,0.004689763285243106,4.288662397172822e-05,5.0957373283181993e-05,19.22126786317078,0.13940285346415138,18968446887.8179,23.666042745523605,0.12411716928386969,0.12604989160913607,0.18944685334338102,0.15167247673287856,0.10892451070955979,0.09555078231705312,0.655155612740116,1.2490522830785553,-0.06532968405951133,0.03777437661050245,0.0,2.9967317738870745,-0.030014553196085814,0.030014553196085814,0.07004085927746279,21.47,1.1254554633608513,23.792,2.124891576181708
2010-02-22,111.55,111.58,110.83,111.16,85.196,132346797,20.16,21.0,19.59,19.94,0.00017960202352984567,0.00017960202352984567,3.2256886856015234e-08,0.006744326629820639,-0.003502316004238543,1.6405585626476508e-05,1.800460023345659e-05,18.700936285362292,-0.5203315778084878,11275417717.212,23.145890769738646,0.12398278336395012,0.12562581276855508,0.17171516313224716,0.14945088258869443,0.13131011045858132,0.09742021953727316,0.7220258310471059,1.1489738980319475,-0.04773237976829704,0.022264280543552728,0.0,2.9927277645336923,-0.0040040093533821874,0.0040040093533821874,0.06950320576697364,20.912,1.0323613708430395,23.4235,2.1217402862053905
2010-02-23,110.86,111.2,109.52,109.81,84.1613,207496891,20.39,21.94,20.06,21.37,-0.012219288738193335,0.012219288738193335,0.00014931101726733845,0.015223200836288682,-0.009516544382036744,8.3584644863869e-05,8.088832099645872e-05,19.150626914390248,0.4496906290279554,17463208092.5183,23.58336211002841,0.10300846104238304,0.1349865268531682,0.17617549374617353,0.15150182635239576,0.10051318926235835,0.09068871087707514,0.5846923363291006,1.1628605277429884,-0.07316703270379049,0.02467366739377777,-0.012144936381989768,3.0619880693310564,0.06926030479736411,0.06926030479736411,0.08958367231329474,20.736,0.7949402493325911,23.2215,2.11496491199004
